parm,estimate,stderr,z,p,min95,max95
"1._at#0.inner",94.999738,101.57372,.9352787,.34964469,-104.0811,294.08057
"1._at#1.inner",3712.1428,2497.4682,1.4863624,.13718329,-1182.8049,8607.0906
"2._at#0.inner",140.54066,82.560006,1.702285,.08870195,-21.273976,302.3553
"2._at#1.inner",3576.441,2399.5073,1.4904898,.1360955,-1126.5067,8279.3888
"3._at#0.inner",182.71564,67.062426,2.7245605,.00643871,51.275695,314.15558
"3._at#1.inner",3443.9873,2304.1029,1.4947194,.13498769,-1071.9714,7959.9459
"4._at#0.inner",221.66338,55.378161,4.0027219,.00006262,113.12418,330.20258
"4._at#1.inner",3314.7435,2211.2218,1.4990552,.13385931,-1019.1716,7648.6585
"5._at#0.inner",257.52262,47.764428,5.3915148,6.987e-08,163.90606,351.13918
"5._at#1.inner",3188.6717,2120.8307,1.5035013,.13270982,-968.08009,7345.4235
"6._at#0.inner",290.43208,44.094187,6.5866296,4.499e-11,204.00906,376.8551
"6._at#1.inner",3065.7339,2032.8964,1.5080621,.13153864,-918.66974,7050.1376
"7._at#0.inner",320.53048,43.571295,7.3564598,1.889e-13,235.13231,405.92865
"7._at#1.inner",2945.8922,1947.3855,1.5127422,.13034517,-870.91331,6762.6977
"8._at#0.inner",347.95655,44.970481,7.7374434,1.014e-14,259.81603,436.09707
"8._at#1.inner",2829.1084,1864.2649,1.5175464,.12912879,-824.78359,6483.0004
"9._at#0.inner",372.84901,47.168938,7.9045454,2.689e-15,280.39959,465.29843
"9._at#1.inner",2715.3447,1783.5012,1.5224799,.12788888,-780.25337,6210.9428
"10._at#0.inner",395.34658,49.408346,8.0016154,1.228e-15,298.508,492.18516
"10._at#1.inner",2604.563,1705.0611,1.5275482,.12662476,-737.29544,5946.4214
"11._at#0.inner",415.588,51.265336,8.1066083,5.205e-16,315.10979,516.06621
"11._at#1.inner",2496.7253,1628.9115,1.5327569,.12533577,-695.88261,5689.3333
"12._at#0.inner",433.71197,52.543276,8.2543763,1.527e-16,330.72905,536.6949
"12._at#1.inner",2391.7937,1555.0191,1.5381121,.1240212,-655.98767,5439.5751
"13._at#0.inner",449.85724,53.185734,8.4582313,2.715e-17,345.61512,554.09936
"13._at#1.inner",2289.7301,1483.3505,1.5436204,.12268032,-617.58344,5197.0437
"14._at#0.inner",464.16251,53.223338,8.7210334,2.757e-18,359.84669,568.47834
"14._at#1.inner",2190.4966,1413.8726,1.5492885,.12131237,-580.64273,4961.6358
"15._at#0.inner",476.76652,52.743739,9.0393007,1.577e-19,373.39069,580.14235
"15._at#1.inner",2094.055,1346.552,1.5551238,.11991659,-545.13835,4733.2484
"16._at#0.inner",487.80799,51.874696,9.4035826,5.274e-21,386.13545,589.48053
"16._at#1.inner",2000.3676,1281.3555,1.5611339,.11849216,-511.04312,4511.7783
"17._at#0.inner",497.42564,50.773535,9.7969472,1.160e-22,397.91134,596.93994
"17._at#1.inner",1909.3962,1218.25,1.5673271,.11703825,-478.32987,4297.1222
"18._at#0.inner",505.7582,49.618236,10.19299,2.131e-24,408.50824,603.00816
"18._at#1.inner",1821.1028,1157.202,1.5737121,.11555402,-446.97144,4089.1771
"19._at#0.inner",512.94439,48.596365,10.555201,4.806e-26,417.69726,608.19151
"19._at#1.inner",1735.4496,1098.1785,1.5802983,.11403857,-416.94067,3887.8398
"20._at#0.inner",519.12293,47.889046,10.840118,2.222e-27,425.26213,612.98374
"20._at#1.inner",1652.3984,1041.1461,1.5870956,.11249098,-388.2104,3693.0071
"21._at#0.inner",524.43255,47.649484,11.006049,3.573e-28,431.04128,617.82383
"21._at#1.inner",1571.9112,986.07155,1.5941148,.11091033,-360.7535,3504.576
"22._at#0.inner",529.01198,47.979642,11.025759,2.871e-28,434.97361,623.05035
"22._at#1.inner",1493.9502,932.92174,1.6013671,.10929564,-334.54283,3322.4432
"23._at#0.inner",532.99993,48.912694,10.896965,1.192e-27,437.13281,628.86705
"23._at#1.inner",1418.4772,881.66339,1.6088648,.10764591,-309.55129,3146.5057
"24._at#0.inner",536.53513,50.408763,10.643688,1.866e-26,437.73577,635.33449
"24._at#1.inner",1345.4543,832.26328,1.616621,.10596011,-285.75176,2976.6604
"25._at#0.inner",539.7563,52.36564,10.307452,6.521e-25,437.12153,642.39107
"25._at#1.inner",1274.8435,784.68822,1.6246497,.10423721,-263.11715,2812.8042
"26._at#0.inner",542.80218,54.639089,9.9343196,2.952e-23,435.71153,649.89282
"26._at#1.inner",1206.6068,738.90501,1.6329661,.10247613,-241.6204,2654.834
"27._at#0.inner",545.81147,57.064603,9.5647992,1.124e-21,433.9669,657.65604
"27._at#1.inner",1140.7062,694.88044,1.6415863,.10067577,-221.23445,2502.6468
"28._at#0.inner",548.92291,59.475018,9.2294703,2.720e-20,432.35402,665.49181
"28._at#1.inner",1077.1037,652.58136,1.6505278,.09883503,-201.93227,2356.1397
"29._at#0.inner",552.27523,61.712528,8.9491591,3.582e-19,431.32089,673.22956
"29._at#1.inner",1015.7613,611.9746,1.6598096,.09695277,-183.68687,2215.2095
"30._at#0.inner",556.00713,63.636408,8.7372489,2.389e-18,431.28207,680.7322
"30._at#1.inner",956.64102,573.02701,1.6694519,.09502786,-166.47127,2079.7533
"31._at#0.inner",560.25736,65.128732,8.6023071,7.813e-18,432.60739,687.90733
"31._at#1.inner",899.70486,535.70546,1.6794767,.09305917,-150.25855,1949.6683
"32._at#0.inner",565.16462,66.100381,8.5500963,1.230e-17,435.61026,694.71899
"32._at#1.inner",844.91481,499.97684,1.6899079,.09104558,-135.0218,1824.8514
"33._at#0.inner",570.86765,66.499525,8.5845373,9.120e-18,440.53098,701.20433
"33._at#1.inner",792.2329,465.80809,1.700771,.08898599,-120.73418,1705.2
"34._at#0.inner",577.50518,66.324962,8.7072071,3.115e-18,447.51064,707.49971
"34._at#1.inner",741.62111,433.16613,1.7120939,.08687936,-107.36891,1590.6111
"35._at#0.inner",585.21591,65.647141,8.9145681,4.897e-19,456.54988,713.88195
"35._at#1.inner",693.04145,402.01796,1.7239067,.08472469,-94.899272,1480.9822
"36._at#0.inner",594.13859,64.639932,9.19151,3.874e-20,467.44665,720.83053
"36._at#1.inner",646.45593,372.3306,1.7362418,.0825211,-83.298629,1376.2105
"37._at#0.inner",604.41192,63.62416,9.4997234,2.104e-21,479.71086,729.11298
"37._at#1.inner",601.82656,344.07112,1.7491342,.08026783,-72.540444,1276.1936
"38._at#0.inner",616.17464,63.114831,9.7627552,1.627e-22,492.47185,739.87744
"38._at#1.inner",559.11533,317.20666,1.7626217,.07796432,-62.598295,1180.829
"39._at#0.inner",629.56547,63.841277,9.8614173,6.118e-23,504.43887,754.69208
"39._at#1.inner",518.28426,291.70442,1.7767446,.07561027,-53.445905,1090.0144
"40._at#0.inner",644.72314,66.681818,9.6686496,4.097e-22,514.02918,775.4171
"40._at#1.inner",479.29534,267.53171,1.7915459,.07320573,-45.057171,1003.6478
"41._at#0.inner",661.78636,72.477349,9.1309405,6.791e-20,519.73337,803.83935
"41._at#1.inner",442.11058,244.65591,1.8070709,.07075123,-37.406201,921.62736
"42._at#0.inner",680.89387,81.810429,8.3228247,8.589e-17,520.54837,841.23936
"42._at#1.inner",406.69198,223.04459,1.8233663,.06824793,-30.467373,843.85134
"43._at#0.inner",702.18437,94.92107,7.3975607,1.387e-13,516.1425,888.22625
"43._at#1.inner",373.00156,202.66543,1.8404794,.06569789,-24.215395,770.21851
"44._at#0.inner",725.79661,111.80017,6.4919099,8.475e-11,506.67231,944.92091
"44._at#1.inner",341.0013,183.48638,1.8584557,.06310434,-18.625396,700.628
"45._at#0.inner",751.86931,132.33795,5.6814336,1.336e-08,492.49168,1011.2469
"45._at#1.inner",310.65323,165.47563,1.8773353,.06047216,-13.673041,634.9795
"46._at#0.inner",780.54117,156.42401,4.9899066,6.041e-07,473.95576,1087.1266
"46._at#1.inner",281.91933,148.60172,1.8971472,.05780852,-9.3346872,573.17336
"47._at#0.inner",811.95095,183.987,4.4130887,.00001019,451.34305,1172.5588
"47._at#1.inner",254.76163,132.83368,1.9178994,.05512377,-5.5875922,515.11085
"48._at#0.inner",846.23734,215.00043,3.9359797,.00008286,424.84424,1267.6304
"48._at#1.inner",229.14211,118.14111,1.9395629,.05243283,-2.4102073,460.69443
"49._at#0.inner",883.53909,249.47586,3.5415815,.00039774,394.57539,1372.5028
"49._at#1.inner",205.02279,104.49445,1.9620447,.04975728,.21742054,409.82816
"50._at#0.inner",923.9949,287.45388,3.2144109,.00130712,360.59564,1487.3942
"50._at#1.inner",182.36567,91.865254,1.985143,.04712856,2.3130762,362.41826
"51._at#0.inner",967.74352,328.99638,2.941502,.00326625,322.92246,1612.5646
"51._at#1.inner",161.13275,80.226571,2.0084711,.04459326,3.8915574,318.37394
"52._at#0.inner",1014.9237,374.18055,2.7123902,.00667999,281.54326,1748.3041
"52._at#1.inner",141.28604,69.553601,2.031326,.04222194,4.9634825,277.60859
"53._at#0.inner",1065.674,423.09463,2.5187605,.01177687,236.4238,1894.9243
"53._at#1.inner",122.78754,59.824567,2.0524601,.04012497,5.5335415,240.04153
"54._at#0.inner",1120.1334,475.83489,2.354038,.01857071,187.51414,2052.7526
"54._at#1.inner",105.59926,51.022031,2.0696796,.03848236,5.5979119,205.6006
"55._at#0.inner",1178.4404,532.50346,2.2130193,.02689631,134.75284,2222.128
"55._at#1.inner",89.683195,43.134835,2.0791361,.03760484,5.1404717,174.22592
"56._at#0.inner",1240.7339,593.2068,2.0915706,.03647695,78.06993,2403.3979
