parm,estimate,stderr,z,p,min95,max95
"1._at#0.inner",56101.425,6163.6269,9.1020152,8.867e-20,44020.939,68181.912
"1._at#1.inner",303025.77,65598.889,4.6193734,3.849e-06,174454.31,431597.23
"2._at#0.inner",57028.102,5275.8943,10.809182,3.114e-27,46687.539,67368.664
"2._at#1.inner",291540.92,62986.9,4.6285961,3.682e-06,168088.86,414992.97
"3._at#0.inner",57995.991,4548.9539,12.749303,3.145e-37,49080.205,66911.777
"3._at#1.inner",280350.4,60444.046,4.6381807,3.515e-06,161882.25,398818.56
"4._at#0.inner",59002.811,3982.9358,14.8139,1.191e-49,51196.4,66809.222
"4._at#1.inner",269450.48,57969.416,4.6481489,3.349e-06,155832.51,383068.45
"5._at#0.inner",60046.278,3572.4749,16.808033,2.131e-63,53044.356,67048.2
"5._at#1.inner",258837.39,55562.101,4.6585242,3.185e-06,149937.67,367737.11
"6._at#0.inner",61124.11,3302.7183,18.507213,1.806e-76,54650.901,67597.319
"6._at#1.inner",248507.39,53221.188,4.6693318,3.022e-06,144195.77,352819
"7._at#0.inner",62234.024,3148.0975,19.768773,5.530e-87,56063.866,68404.182
"7._at#1.inner",238456.72,50945.768,4.6805991,2.860e-06,138604.85,338308.59
"8._at#0.inner",63373.737,3076.0668,20.602198,2.623e-94,57344.757,69402.717
"8._at#1.inner",228681.63,48734.93,4.6923558,2.701e-06,133162.92,324200.34
"9._at#0.inner",64540.967,3053.8401,21.134363,3.843e-99,58555.55,70526.383
"9._at#1.inner",219178.37,46587.764,4.7046339,2.543e-06,127868.04,310488.71
"10._at#0.inner",65733.429,3053.8903,21.524489,9.18e-103,59747.914,71718.944
"10._at#1.inner",209943.2,44503.359,4.7174687,2.388e-06,122718.22,297168.18
"11._at#0.inner",66948.843,3056.1513,21.90626,2.26e-106,60958.897,72938.789
"11._at#1.inner",200972.36,42480.804,4.7308981,2.235e-06,117711.51,284233.2
"12._at#0.inner",68184.924,3047.6897,22.37266,7.27e-111,62211.562,74158.286
"12._at#1.inner",192262.09,40519.192,4.7449637,2.085e-06,112845.94,271678.25
"13._at#0.inner",69439.391,3021.3559,22.982857,6.92e-117,63517.642,75361.14
"13._at#1.inner",183808.65,38617.61,4.7597108,1.939e-06,108119.53,259497.78
"14._at#0.inner",70709.96,2974.3785,23.77302,6.35e-125,64880.285,76539.634
"14._at#1.inner",175608.3,36775.149,4.7751892,1.795e-06,103530.33,247686.26
"15._at#0.inner",71994.348,2907.2609,24.763635,2.21e-135,66296.221,77692.475
"15._at#1.inner",167657.26,34990.9,4.7914533,1.656e-06,99076.359,236238.17
"16._at#0.inner",73290.273,2823.0185,25.961669,1.34e-148,67757.258,78823.287
"16._at#1.inner",159951.81,33263.954,4.8085627,1.520e-06,94755.655,225147.96
"17._at#0.inner",74595.451,2726.6834,27.357578,8.77e-165,69251.25,79939.653
"17._at#1.inner",152488.17,31593.4,4.8265832,1.389e-06,90566.246,214410.1
"18._at#0.inner",75907.601,2624.9655,28.917561,7.18e-184,70762.763,81052.439
"18._at#1.inner",145262.61,29978.331,4.8455871,1.262e-06,86506.165,204019.06
"19._at#0.inner",77224.439,2525.942,30.57253,2.84e-205,72273.684,82175.195
"19._at#1.inner",138271.38,28417.836,4.8656546,1.141e-06,82573.44,193969.31
"20._at#0.inner",78543.683,2438.6143,32.208326,1.35e-227,73764.086,83323.279
"20._at#1.inner",131510.71,26911.009,4.886874,1.024e-06,78766.102,184255.32
"21._at#0.inner",79863.049,2372.1653,33.66673,1.77e-248,75213.69,84512.407
"21._at#1.inner",124976.87,25456.941,4.9093434,9.138e-07,75082.179,174871.55
"22._at#0.inner",81180.254,2334.8215,34.769362,7.07e-265,76604.088,85756.421
"22._at#1.inner",118666.09,24054.724,4.933172,8.090e-07,71519.699,165812.48
"23._at#0.inner",82493.017,2332.4508,35.367528,5.39e-274,77921.498,87064.537
