parm,estimate,stderr,z,p,min95,max95
"1._at#0.inner",23306.528,497.46525,46.850565,0,22331.514,24281.542
"1._at#1.inner",10758.409,5517.1576,1.9499912,.05117716,-55.021243,21571.839
"2._at#0.inner",23744.179,430.74606,55.123379,0,22899.932,24588.425
"2._at#1.inner",10330.374,5288.0341,1.9535377,.05075592,-33.982455,20694.73
"3._at#0.inner",24149.82,378.97165,63.724609,0,23407.049,24892.591
"3._at#1.inner",9917.4693,5065.2112,1.9579577,.05023498,-10.162212,19845.101
"4._at#0.inner",24523.225,341.65536,71.777667,0,23853.592,25192.857
"4._at#1.inner",9519.4673,4848.6028,1.9633424,.0496064,16.380571,19022.554
"5._at#0.inner",24864.164,317.39822,78.337439,0,24242.075,25486.253
"5._at#1.inner",9136.1403,4638.1226,1.9697927,.04886213,45.586974,18226.694
"6._at#0.inner",25172.409,303.79621,82.859523,0,24576.979,25767.838
"6._at#1.inner",8767.2605,4433.6847,1.9774208,.04799408,77.398074,17457.123
"7._at#0.inner",25447.732,297.80696,85.450427,0,24864.041,26031.422
"7._at#1.inner",8412.6002,4235.203,1.9863511,.04699435,111.75494,16713.445
"8._at#0.inner",25689.904,296.37458,86.680524,0,25109.02,26270.787
"8._at#1.inner",8071.9317,4042.5912,1.9967222,.04585536,148.59863,15995.265
"9._at#0.inner",25898.697,296.92744,87.22231,0,25316.73,26480.664
"9._at#1.inner",7745.0273,3855.7633,2.0086885,.04457018,187.8702,15302.184
"10._at#0.inner",26073.883,297.57414,87.621467,0,25490.648,26657.117
"10._at#1.inner",7431.6593,3674.6331,2.0224221,.04313276,229.5107,14633.808
"11._at#0.inner",26215.233,297.07267,88.245185,0,25632.981,26797.485
"11._at#1.inner",7131.6,3499.1147,2.0381155,.04153838,273.46116,13989.739
"12._at#0.inner",26322.519,294.70876,89.317055,0,25744.9,26900.137
"12._at#1.inner",6844.6216,3329.1219,2.0559841,.03978405,319.66261,13369.581
"13._at#0.inner",26395.512,290.16958,90.965814,0,25826.79,26964.234
"13._at#1.inner",6570.4964,3164.5685,2.0762693,.03786905,368.05606,12772.937
"14._at#0.inner",26433.984,283.44527,93.259571,0,25878.442,26989.527
"14._at#1.inner",6308.9968,3005.3686,2.0992422,.03579555,418.58251,12199.411
"15._at#0.inner",26437.708,274.76285,96.220094,0,25899.182,26976.233
"15._at#1.inner",6059.895,2851.4361,2.1252081,.03356926,471.18294,11648.607
"16._at#0.inner",26406.453,264.54726,99.817526,0,25887.95,26924.956
"16._at#1.inner",5822.9633,2702.6849,2.1545106,.03120015,525.79832,11120.128
"17._at#0.inner",26339.993,253.40171,103.9456,0,25843.334,26836.651
"17._at#1.inner",5597.974,2559.0289,2.1875384,.02870324,582.3696,10613.578
"18._at#0.inner",26238.098,242.09761,108.37818,0,25763.595,26712.6
"18._at#1.inner",5384.6994,2420.3821,2.2247311,.02609929,640.8377,10128.561
"19._at#0.inner",26100.54,231.56001,112.71609,0,25646.69,26554.389
"19._at#1.inner",5182.9117,2286.6584,2.2665876,.02341543,701.14351,9664.6799
"20._at#0.inner",25927.091,222.82719,116.35515,0,25490.357,26363.824
"20._at#1.inner",4992.3833,2157.772,2.3136751,.02068555,763.2279,9221.5387
"21._at#0.inner",25717.522,216.95851,118.53659,0,25292.291,26142.753
"21._at#1.inner",4812.8864,2033.6367,2.3666402,.01795037,827.03171,8798.7411
"22._at#0.inner",25471.606,214.87708,118.54036,0,25050.454,25892.757
"22._at#1.inner",4644.1934,1914.1666,2.4262221,.01525693,892.49572,8395.891
"23._at#0.inner",25189.113,217.17728,115.98411,0,24763.453,25614.773
"23._at#1.inner",4486.0764,1799.2758,2.4932678,.01265733,959.56068,8012.5922
"24._at#0.inner",24869.815,223.98037,111.03569,0,24430.822,25308.809
"24._at#1.inner",4338.3079,1688.8783,2.5687511,.01020657,1028.1673,7648.4485
"25._at#0.inner",24513.485,234.92114,104.34772,0,24053.048,24973.922
"25._at#1.inner",4200.6601,1582.8882,2.6537945,.00795923,1098.2561,7303.064
