parm,estimate,stderr,z,p,min95,max95
"1._at#0.inner",134.02196,80.41009,1.6667307,.09556797,-23.578917,291.62285
"1._at#1.inner",2992.7992,1363.4103,2.1950833,.02815762,320.56409,5665.0343
"2._at#0.inner",137.77496,65.900467,2.0906523,.03655924,8.6124231,266.93751
"2._at#1.inner",2875.9671,1309.9939,2.1954049,.02813456,308.4262,5443.508
"3._at#0.inner",142.65645,54.350082,2.6247698,.00867076,36.132251,249.18066
"3._at#1.inner",2762.1655,1257.9688,2.1957346,.02811095,296.59207,5227.739
"4._at#0.inner",148.62266,45.96118,3.2336563,.00122216,58.5404,238.70492
"4._at#1.inner",2651.3554,1207.3168,2.1960726,.02808675,285.05791,5017.6528
"5._at#0.inner",155.6298,40.800677,3.8143925,.00013652,75.661938,235.59765
"5._at#1.inner",2543.4974,1158.02,2.1964193,.02806195,273.81995,4813.1748
"6._at#0.inner",163.63409,38.552747,4.244421,.00002192,88.072096,239.19609
"6._at#1.inner",2438.5524,1110.0602,2.1967749,.02803653,262.87437,4614.2303
"7._at#0.inner",172.59177,38.454146,4.4882486,7.181e-06,97.223026,247.96051
"7._at#1.inner",2336.4812,1063.4194,2.1971398,.02801046,252.21739,4420.7449
"8._at#0.inner",182.45905,39.572367,4.6107691,4.012e-06,104.89863,260.01946
"8._at#1.inner",2237.2446,1018.0796,2.1975144,.02798373,241.84523,4232.644
"9._at#0.inner",193.19215,41.130368,4.6970683,2.639e-06,112.57811,273.80619
"9._at#1.inner",2140.8035,974.0227,2.197899,.02795631,231.75407,4049.8529
"10._at#0.inner",204.7473,42.61809,4.8042345,1.553e-06,121.21738,288.27722
"10._at#1.inner",2047.1186,931.23064,2.1982939,.02792817,221.94013,3872.2972
"11._at#0.inner",217.08072,43.751618,4.9616615,6.989e-07,131.32912,302.83231
"11._at#1.inner",1956.1509,889.68538,2.1986996,.02789929,212.3996,3699.9022
"12._at#0.inner",230.14863,44.401156,5.1833927,2.179e-07,143.12396,317.17329
"12._at#1.inner",1867.8611,849.36885,2.1991165,.02786964,203.1287,3532.5934
"13._at#0.inner",243.90725,44.535814,5.4766542,4.334e-08,156.61866,331.19584
"13._at#1.inner",1782.2099,810.26302,2.199545,.0278392,194.1236,3370.2963
"14._at#0.inner",258.31281,44.18946,5.8455752,5.048e-09,171.70306,344.92256
"14._at#1.inner",1699.1584,772.34984,2.1999854,.02780793,185.38052,3212.9362
"15._at#0.inner",273.32153,43.441367,6.2917341,3.139e-10,188.17802,358.46505
"15._at#1.inner",1618.6672,735.61124,2.2004383,.02777581,176.89563,3060.4387
"16._at#0.inner",288.88963,42.405575,6.812539,9.589e-12,205.77623,372.00303
"16._at#1.inner",1540.6972,700.0292,2.2009041,.02774281,168.66514,2912.7292
"17._at#0.inner",304.97334,41.224485,7.397869,1.384e-13,224.17483,385.77184
"17._at#1.inner",1465.2091,665.58565,2.2013833,.0277089,160.68523,2769.733
"18._at#0.inner",321.52887,40.062907,8.0256001,1.010e-15,243.00702,400.05072
"18._at#1.inner",1392.1639,632.26257,2.2018763,.02767405,152.95208,2631.3758
"19._at#0.inner",338.51245,39.098791,8.657875,4.806e-18,261.88023,415.14467
"19._at#1.inner",1321.5224,600.0419,2.2023835,.02763823,145.46187,2497.5829
"20._at#0.inner",355.8803,38.507284,9.2418955,2.422e-20,280.40741,431.35319
"20._at#1.inner",1253.2453,568.90561,2.2029055,.02760141,138.21077,2368.2798
"21._at#0.inner",373.58864,38.43726,9.71944,2.491e-22,298.253,448.92429
"21._at#1.inner",1187.2935,538.83567,2.2034426,.02756357,131.19496,2243.392
"22._at#0.inner",391.5937,38.98512,10.044697,9.695e-24,315.18427,468.00313
"22._at#1.inner",1123.6277,509.81403,2.2039953,.02752467,124.4106,2122.8449
"23._at#0.inner",409.8517,40.17622,10.20135,1.955e-24,331.10775,488.59564
"23._at#1.inner",1062.2089,481.82267,2.204564,.0274847,117.85384,2006.564
"24._at#0.inner",428.31886,41.963284,10.206991,1.845e-24,346.07233,510.56538
"24._at#1.inner",1002.9978,454.84356,2.205149,.02744364,111.52084,1894.4748
"25._at#0.inner",446.9514,44.242045,10.102413,5.390e-24,360.23858,533.66421
