parm,estimate,stderr,z,p,min95,max95
"1._at#0.inner",22131.946,2891.2278,7.6548608,1.935e-14,16465.244,27798.648
"1._at#1.inner",271676.98,59017.158,4.6033559,4.157e-06,156005.48,387348.49
"2._at#0.inner",21728.475,2345.4846,9.2639596,1.970e-20,17131.409,26325.54
"2._at#1.inner",261434.58,56673.085,4.613029,3.968e-06,150357.38,372511.79
"3._at#0.inner",21442.913,1908.9419,11.232879,2.812e-29,17701.455,25184.37
"3._at#1.inner",251449.79,54390.909,4.6230113,3.782e-06,144845.57,358054.01
"4._at#0.inner",21272.482,1590.0269,13.378693,8.055e-41,18156.086,24388.877
"4._at#1.inner",241719.37,52169.82,4.6333181,3.599e-06,139468.4,343970.34
"5._at#0.inner",21214.403,1393.1321,15.227848,2.311e-52,18483.915,23944.892
"5._at#1.inner",232240.08,50009.001,4.6439655,3.418e-06,134224.23,330255.92
"6._at#0.inner",21265.9,1307.8136,16.26065,1.877e-59,18702.632,23829.167
"6._at#1.inner",223008.67,47907.642,4.6549707,3.240e-06,129111.41,316905.92
"7._at#0.inner",21424.193,1304.4868,16.423465,1.299e-60,18867.445,23980.94
"7._at#1.inner",214021.9,45864.927,4.6663521,3.066e-06,124128.29,303915.5
"8._at#0.inner",21686.504,1345.8664,16.113415,2.054e-58,19048.654,24324.353
"8._at#1.inner",205276.53,43880.044,4.6781296,2.895e-06,119273.23,291279.84
"9._at#0.inner",22050.055,1401.2312,15.7362,8.542e-56,19303.692,24796.417
"9._at#1.inner",196769.32,41952.179,4.6903242,2.728e-06,114544.56,278994.08
"10._at#0.inner",22512.068,1451.0012,15.514851,2.753e-54,19668.158,25355.978
"10._at#1.inner",188497.03,40080.52,4.7029586,2.564e-06,109940.65,267053.4
"11._at#0.inner",23069.764,1484.6712,15.538635,1.900e-54,20159.862,25979.666
"11._at#1.inner",180456.41,38264.253,4.7160572,2.405e-06,105459.85,255452.97
"12._at#0.inner",23720.366,1497.6865,15.838005,1.701e-56,20784.955,26655.778
"12._at#1.inner",172644.22,36502.566,4.729646,2.249e-06,101100.5,244187.93
"13._at#0.inner",24461.096,1489.208,16.425574,1.255e-60,21542.302,27379.89
"13._at#1.inner",165057.22,34794.646,4.7437533,2.098e-06,96860.964,233253.47
"14._at#0.inner",25289.175,1460.816,17.311677,3.841e-67,22426.028,28152.321
"14._at#1.inner",157692.16,33139.68,4.7584094,1.951e-06,92739.584,222644.74
"15._at#0.inner",26201.824,1415.843,18.506165,1.842e-76,23426.823,28976.825
"15._at#1.inner",150545.81,31536.855,4.773647,1.809e-06,88734.714,212356.91
"16._at#0.inner",27196.266,1359.0844,20.010727,4.441e-89,24532.51,29860.023
"16._at#1.inner",143614.93,29985.359,4.7895016,1.672e-06,84844.702,202385.15
"17._at#0.inner",28269.723,1296.7136,21.801054,2.27e-105,25728.211,30811.235
"17._at#1.inner",136896.26,28484.38,4.8060115,1.540e-06,81067.899,192724.62
"18._at#0.inner",29419.417,1236.2308,23.797674,3.53e-125,26996.449,31842.384
"18._at#1.inner",130386.57,27033.106,4.8232182,1.413e-06,77402.654,183370.48
"19._at#0.inner",30642.568,1186.202,25.832504,3.83e-147,28317.655,32967.481
"19._at#1.inner",124082.61,25630.725,4.8411667,1.291e-06,73847.316,174317.91
"20._at#0.inner",31936.4,1155.455,27.639673,3.71e-168,29671.749,34201.05
"20._at#1.inner",117981.15,24276.426,4.8599062,1.174e-06,70400.233,165562.07
"21._at#0.inner",33298.133,1151.5168,28.916757,7.35e-184,31041.201,35555.064
"21._at#1.inner",112078.94,22969.397,4.87949,1.064e-06,67059.753,157098.14
"22._at#0.inner",34724.99,1178.6708,29.461143,9.06e-191,32414.837,37035.142
"22._at#1.inner",106372.74,21708.828,4.8999764,9.585e-07,63824.223,148921.26
"23._at#0.inner",36214.192,1236.7405,29.281965,1.76e-188,33790.225,38638.159
"23._at#1.inner",100859.31,20493.907,4.9214291,8.591e-07,60691.99,141026.63
"24._at#0.inner",37762.962,1321.4842,28.576173,1.33e-179,35172.9,40353.023
"24._at#1.inner",95535.401,19323.825,4.9439178,7.657e-07,57661.4,133409.4
"25._at#0.inner",39368.52,1426.22,27.6034,1.01e-167,36573.181,42163.86
"25._at#1.inner",90397.773,18197.771,4.9675189,6.781e-07,54730.797,126064.75
"26._at#0.inner",41028.09,1543.5422,26.580478,1.14e-155,38002.803,44053.377
"26._at#1.inner",85443.186,17114.937,4.9923166,5.966e-07,51898.525,118987.85
"27._at#0.inner",42738.892,1666.4204,25.647124,4.55e-145,39472.768,46005.016
"27._at#1.inner",80668.397,16074.514,5.0184033,5.210e-07,49162.928,112173.87
"28._at#0.inner",44498.149,1788.6684,24.877809,1.29e-136,40992.424,48003.875
"28._at#1.inner",76070.163,15075.694,5.0458812,4.514e-07,46522.345,105617.98
"29._at#0.inner",46303.082,1905.0505,24.305436,1.72e-130,42569.252,50036.913
"29._at#1.inner",71645.243,14117.67,5.074863,3.878e-07,43975.117,99315.368
"30._at#0.inner",48150.914,2011.2587,23.940687,1.16e-126,44208.919,52092.908
"30._at#1.inner",67390.394,13199.636,5.1054737,3.300e-07,41519.583,93261.205
"31._at#0.inner",50038.865,2103.8883,23.783993,4.89e-125,45915.32,54162.41
"31._at#1.inner",63302.373,12320.786,5.1378519,2.779e-07,39154.077,87450.67
"32._at#0.inner",51964.158,2180.4756,23.831571,1.57e-125,47690.504,56237.811
"32._at#1.inner",59377.94,11480.317,5.1721517,2.314e-07,36876.933,81878.947
"33._at#0.inner",53924.014,2239.6303,24.077194,4.33e-128,49534.42,58313.609
"33._at#1.inner",55613.851,10677.426,5.2085449,1.903e-07,34686.481,76541.221
"34._at#0.inner",55915.656,2281.2925,24.510516,1.14e-132,51444.405,60386.907
"34._at#1.inner",52006.864,9911.3124,5.2472228,1.544e-07,32581.049,71432.679
"35._at#0.inner",57936.306,2307.1457,25.11168,3.71e-139,53414.383,62458.228
"35._at#1.inner",48553.737,9181.1782,5.2883994,1.234e-07,30558.959,66548.516
"36._at#0.inner",59983.184,2321.2188,25.841245,3.05e-147,55433.678,64532.689
"36._at#1.inner",45251.229,8486.2272,5.332314,9.697e-08,28618.529,61883.928
"37._at#0.inner",62053.513,2330.6725,26.624724,3.51e-156,57485.479,66621.547
"37._at#1.inner",42096.095,7825.6663,5.3792346,7.480e-08,26758.071,57434.12
"38._at#0.inner",64144.514,2346.6603,27.334384,1.66e-164,59545.145,68743.884
"38._at#1.inner",39085.095,7198.7062,5.4294611,5.652e-08,24975.891,53194.3
"39._at#0.inner",66253.411,2384.9078,27.780281,7.51e-170,61579.077,70927.744
"39._at#1.inner",36214.987,6604.5618,5.4833292,4.174e-08,23270.283,49159.69
"40._at#0.inner",68377.423,2465.3264,27.735647,2.60e-169,63545.472,73209.374
"40._at#1.inner",33482.527,6042.4537,5.5412137,3.004e-08,21639.535,45325.519
"41._at#0.inner",70513.773,2609.9215,27.017584,9.19e-161,65398.421,75629.126
"41._at#1.inner",30884.474,5511.6089,5.6035315,2.100e-08,20081.919,41687.029
"42._at#0.inner",72659.684,2839.109,25.592425,1.85e-144,67095.133,78224.235
"42._at#1.inner",28417.586,5011.2628,5.6707434,1.422e-08,18595.691,38239.48
"43._at#0.inner",74812.376,3168.1083,23.614211,2.75e-123,68602.998,81021.754
"43._at#1.inner",26078.619,4540.6613,5.7433527,9.282e-09,17179.087,34978.152
"44._at#0.inner",76969.072,3605.5273,21.347521,4.11e-101,69902.368,84035.775
"44._at#1.inner",23864.333,4099.0633,5.8218992,5.818e-09,15830.317,31898.35
"45._at#0.inner",79126.993,4154.5452,19.045886,7.107e-81,70984.234,87269.751
"45._at#1.inner",21771.485,3685.7443,5.9069439,3.485e-09,14547.559,28995.411
"46._at#0.inner",81283.361,4815.2617,16.880362,6.276e-64,71845.621,90721.1
"46._at#1.inner",19796.832,3300.0016,5.9990372,1.985e-09,13328.948,26264.717
"47._at#0.inner",83435.398,5586.7256,14.93458,1.963e-50,72485.617,94385.179
"47._at#1.inner",17937.133,2941.16,6.0986595,1.070e-09,12172.566,23701.701
"48._at#0.inner",85580.326,6468.1169,13.231104,5.803e-40,72903.049,98257.602
