parm,estimate,stderr,z,p,min95,max95
"1._at#0.inner",10359.658,3180.8416,3.2568921,.00112639,4125.3228,16593.993
"1._at#1.inner",18335.985,4794.1824,3.8246323,.00013097,8939.5599,27732.41
"2._at#0.inner",11245.53,2775.7131,4.0514023,.00005091,5805.2326,16685.828
"2._at#1.inner",17627.195,4603.834,3.8288078,.00012877,8603.8465,26650.544
"3._at#0.inner",12084.948,2436.7173,4.9595201,7.067e-07,7309.0703,16860.827
"3._at#1.inner",16936.693,4418.5126,3.8331209,.00012653,8276.5676,25596.819
"4._at#0.inner",12878.736,2163.0409,5.9539956,2.617e-09,8639.2538,17118.218
"4._at#1.inner",16264.243,4238.1523,3.8375787,.00012425,7957.6173,24570.869
"5._at#0.inner",13627.717,1952.1932,6.9807218,2.937e-12,9801.489,17453.946
"5._at#1.inner",15609.61,4062.6869,3.8421887,.00012194,7646.8897,23572.33
"6._at#0.inner",14332.716,1799.0418,7.9668608,1.628e-15,10806.659,17858.773
"6._at#1.inner",14972.557,3892.0503,3.8469588,.00011959,7344.2789,22600.836
"7._at#0.inner",14994.556,1695.3844,8.8443401,9.207e-19,11671.664,18317.448
"7._at#1.inner",14352.851,3726.1764,3.8518978,.00011721,7049.6791,21656.022
"8._at#0.inner",15614.061,1630.5603,9.5758868,1.010e-21,12418.222,18809.901
"8._at#1.inner",13750.254,3564.9991,3.8570147,.00011478,6762.9841,20737.524
"9._at#0.inner",16192.055,1592.9773,10.164649,2.851e-24,13069.877,19314.234
"9._at#1.inner",13164.532,3408.4524,3.8623195,.00011232,6484.0883,19844.976
"10._at#0.inner",16729.363,1571.7958,10.643471,1.870e-26,13648.7,19810.026
"10._at#1.inner",12595.449,3256.47,3.8678229,.00010981,6212.8854,18978.013
"11._at#0.inner",17226.808,1558.0641,11.056546,2.038e-28,14173.058,20280.557
"11._at#1.inner",12042.77,3108.986,3.8735364,.00010727,5949.2697,18136.271
"12._at#0.inner",17685.213,1545.1187,11.445861,2.466e-30,14656.836,20713.59
"12._at#1.inner",11506.26,2965.9343,3.8794722,.00010468,5693.1352,17319.384
"13._at#0.inner",18105.404,1528.468,11.845458,2.272e-32,15109.661,21101.146
"13._at#1.inner",10985.681,2827.2487,3.8856438,.00010206,5444.3757,16526.987
"14._at#0.inner",18488.203,1505.4495,12.280853,1.148e-34,15537.576,21438.83
"14._at#1.inner",10480.801,2692.8634,3.8920655,.00009939,5202.8854,15758.716
"15._at#0.inner",18834.435,1474.8571,12.770345,2.401e-37,15943.768,21725.102
"15._at#1.inner",9991.3817,2562.7121,3.898753,.00009669,4968.5582,15014.205
"16._at#0.inner",19144.923,1436.626,13.32631,1.628e-40,16329.188,21960.659
"16._at#1.inner",9517.189,2436.729,3.9057233,.00009394,4741.288,14293.09
"17._at#0.inner",19420.493,1391.5959,13.955555,2.910e-44,16693.015,22147.97
"17._at#1.inner",9057.9872,2314.8479,3.9129946,.00009116,4520.9687,13595.006
"18._at#0.inner",19661.966,1341.3458,14.658387,1.191e-48,17032.977,22290.956
"18._at#1.inner",8613.5408,2197.0029,3.9205869,.00008833,4307.4943,12919.587
"19._at#0.inner",19870.168,1288.0782,15.426212,1.091e-53,17345.581,22394.755
"19._at#1.inner",8183.6142,2083.1279,3.9285221,.00008547,4100.7585,12266.47
"20._at#0.inner",20045.923,1234.5235,16.237782,2.726e-59,17626.301,22465.544
"20._at#1.inner",7767.9721,1973.1571,3.9368239,.00008257,3900.6552,11635.289
"21._at#0.inner",20190.054,1183.8281,17.054886,3.215e-65,17869.793,22510.314
"21._at#1.inner",7366.3789,1867.0245,3.9455181,.00007963,3707.0782,11025.68
"22._at#0.inner",20303.385,1139.3791,17.819692,4.971e-71,18070.243,22536.527
"22._at#1.inner",6978.5992,1764.6641,3.9546332,.00007665,3519.9212,10437.277
"23._at#0.inner",20386.74,1104.5192,18.457569,4.533e-76,18221.922,22551.557
"23._at#1.inner",6604.3975,1666.01,3.9642003,.00007364,3339.0778,9869.7172
"24._at#0.inner",20440.943,1082.1365,18.889431,1.393e-79,18319.994,22561.891
"24._at#1.inner",6243.5383,1570.9965,3.9742535,.0000706,3164.4418,9322.6349
"25._at#0.inner",20466.818,1074.1848,19.053349,6.163e-81,18361.454,22572.181
"25._at#1.inner",5895.7861,1479.5576,3.9848304,.00006753,2995.9065,8795.6658
"26._at#0.inner",20465.189,1081.2816,18.926789,6.862e-80,18345.916,22584.462
"26._at#1.inner",5560.9055,1391.6276,3.9959725,.00006443,2833.3656,8288.4455
"27._at#0.inner",20436.879,1102.5541,18.535943,1.059e-76,18275.913,22597.846
"27._at#1.inner",5238.661,1307.1407,4.0077255,.00006131,2676.7123,7800.6097
"28._at#0.inner",20382.714,1135.8067,17.945583,5.196e-72,18156.574,22608.854
"28._at#1.inner",4928.8171,1226.0312,4.0201399,.00005816,2525.8401,7331.7942
"29._at#0.inner",20303.516,1177.9272,17.236648,1.410e-66,17994.821,22612.211
"29._at#1.inner",4631.1383,1148.2336,4.033272,.00005501,2380.6419,6881.6348
"30._at#0.inner",20200.11,1225.3535,16.485128,4.693e-61,17798.461,22601.759
"30._at#1.inner",4345.3892,1073.6822,4.047184,.00005184,2241.0109,6449.7676
"31._at#0.inner",20073.319,1274.4647,15.750392,6.826e-56,17575.414,22571.224
