parm,estimate,stderr,z,p,min95,max95
"1._at#0.inner",13.84328,5.9186746,2.3389156,.0193398,2.2428914,25.44367
"1._at#1.inner",-6005.0309,3106.1068,-1.9332983,.05319947,-12092.888,82.826615
"2._at#0.inner",17.416826,4.7627878,3.6568553,.00025533,8.0819334,26.751718
"2._at#1.inner",-5795.8553,2974.2618,-1.9486702,.05133482,-11625.301,33.590709
"3._at#0.inner",20.622248,3.8489193,5.3579321,8.418e-08,13.078505,28.165992
"3._at#1.inner",-5591.0713,2846.1215,-1.9644528,.04947761,-11169.367,-12.775673
"4._at#0.inner",23.477544,3.2005219,7.3355364,2.208e-13,17.204637,29.750452
"4._at#1.inner",-5390.631,2721.6342,-1.9806596,.04762945,-10724.936,-56.326029
"5._at#0.inner",26.000711,2.8295024,9.1891461,3.960e-20,20.454988,31.546434
"5._at#1.inner",-5194.4867,2600.7482,-1.9973047,.04579209,-10291.859,-97.11386
"6._at#0.inner",28.209744,2.7065261,10.42286,1.950e-25,22.905051,33.514438
"6._at#1.inner",-5002.5904,2483.4118,-2.0144023,.04396732,-9869.9882,-135.19267
"7._at#0.inner",30.122641,2.7549887,10.933853,7.940e-28,24.722963,35.52232
"7._at#1.inner",-4814.8946,2369.5734,-2.0319668,.04215702,-9459.1732,-170.61595
"8._at#0.inner",31.757399,2.8869112,11.000477,3.801e-28,26.099157,37.415641
"8._at#1.inner",-4631.3512,2259.1813,-2.0500131,.04036316,-9059.2651,-203.43721
"9._at#0.inner",33.132013,3.0360521,10.91286,1.001e-27,27.18146,39.082566
"9._at#1.inner",-4451.9124,2152.1837,-2.068556,.03858777,-8670.1149,-233.70995
"10._at#0.inner",34.264481,3.1632618,10.832009,2.428e-27,28.064602,40.464361
"10._at#1.inner",-4276.5306,2048.5289,-2.0876106,.03683298,-8291.5735,-261.48768
"11._at#0.inner",35.1728,3.2489536,10.825885,2.596e-27,28.804968,41.540632
"11._at#1.inner",-4105.1578,1948.1654,-2.1071917,.03510097,-7923.4918,-286.82391
"12._at#0.inner",35.874965,3.2855673,10.918956,9.357e-28,29.435372,42.314559
"12._at#1.inner",-3937.7463,1851.0412,-2.1273142,.03339399,-7565.7205,-309.77213
"13._at#0.inner",36.388975,3.2728196,11.11854,1.019e-28,29.974366,42.803583
"13._at#1.inner",-3774.2482,1757.1049,-2.1479925,.03171435,-7218.1106,-330.38585
"14._at#0.inner",36.732824,3.2151307,11.424986,3.137e-30,30.431284,43.034365
"14._at#1.inner",-3614.6157,1666.3047,-2.1692406,.03006442,-6880.5129,-348.71859
"15._at#0.inner",36.924511,3.1203685,11.833381,2.624e-32,30.808701,43.040321
"15._at#1.inner",-3458.8011,1578.5888,-2.1910716,.02844661,-6552.7783,-364.82385
"16._at#0.inner",36.982032,2.9993503,12.330014,6.244e-35,31.103413,42.86065
"16._at#1.inner",-3306.7564,1493.9056,-2.2134975,.02686337,-6234.7577,-378.75514
"17._at#0.inner",36.923382,2.8657366,12.88443,5.508e-38,31.306642,42.540123
"17._at#1.inner",-3158.4339,1412.2035,-2.2365289,.02531714,-5926.3019,-390.56598
"18._at#0.inner",36.76656,2.7359704,13.438216,3.610e-41,31.404157,42.128964
"18._at#1.inner",-3013.7858,1333.4306,-2.2601745,.02381042,-5627.2617,-400.30987
"19._at#0.inner",36.529562,2.6287514,13.896165,6.683e-44,31.377304,41.68182
"19._at#1.inner",-2872.7642,1257.5353,-2.2844402,.02234567,-5337.4881,-408.04034
"20._at#0.inner",36.230384,2.563348,14.134009,2.344e-45,31.206314,41.254454
"20._at#1.inner",-2735.3214,1184.4659,-2.3093289,.02092533,-5056.8319,-413.81088
"21._at#0.inner",35.887024,2.5562946,14.038688,9.037e-45,30.876778,40.897269
"21._at#1.inner",-2601.4095,1114.1707,-2.3348392,.01955182,-4785.144,-417.67503
"22._at#0.inner",35.517477,2.6172576,13.570493,5.992e-42,30.387746,40.647207
"22._at#1.inner",-2470.9807,1046.598,-2.3609644,.01822748,-4522.2752,-419.68628
"23._at#0.inner",35.13974,2.7463851,12.794906,1.751e-37,29.756924,40.522556
"23._at#1.inner",-2343.9873,981.69615,-2.3876912,.01695458,-4268.0764,-419.89817
"24._at#0.inner",34.771811,2.9350441,11.847117,2.227e-32,29.01923,40.524392
