parm,estimate,stderr,z,p,min95,max95
"1._at#0.inner",21935.192,1067.7057,20.544231,8.667e-94,19842.527,24027.857
"1._at#1.inner",89642.212,18627.641,4.8123224,1.492e-06,53132.707,126151.72
"2._at#0.inner",23423.149,808.42898,28.973663,1.41e-184,21838.657,25007.641
"2._at#1.inner",86460.345,17882.849,4.8348194,1.333e-06,51410.605,121510.09
"3._at#0.inner",24744.046,600.73877,41.189362,0,23566.62,25921.473
"3._at#1.inner",83362.534,17157.92,4.8585454,1.183e-06,49733.628,116991.44
"4._at#0.inner",25906.5,456.28016,56.777616,0,25012.207,26800.792
"4._at#1.inner",80347.688,16452.59,4.8835891,1.042e-06,48101.205,112594.17
"5._at#0.inner",26919.124,389.49058,69.113673,0,26155.737,27682.512
"5._at#1.inner",77414.72,15766.593,4.9100474,9.105e-07,46512.765,108316.68
"6._at#0.inner",27790.536,395.65161,70.239916,0,27015.073,28565.999
"6._at#1.inner",74562.541,15099.667,4.9380256,7.892e-07,44967.738,104157.34
"7._at#0.inner",28529.349,442.30421,64.501643,0,27662.448,29396.249
"7._at#1.inner",71790.063,14451.546,4.9676391,6.777e-07,43465.554,100114.57
"8._at#0.inner",29144.178,498.70376,58.439861,0,28166.737,30121.62
"8._at#1.inner",69096.196,13821.966,4.9990138,5.762e-07,42005.641,96186.751
"9._at#0.inner",29643.641,548.92697,54.002886,0,28567.764,30719.518
"9._at#1.inner",66479.852,13210.663,5.0322875,4.847e-07,40587.43,92372.275
"10._at#0.inner",30036.351,586.50437,51.212492,0,28886.823,31185.878
"10._at#1.inner",63939.943,12617.372,5.0676117,4.028e-07,39210.348,88669.539
"11._at#0.inner",30330.923,609.3641,49.774713,0,29136.592,31525.255
"11._at#1.inner",61475.38,12041.831,5.1051523,3.305e-07,37873.825,85076.934
"12._at#0.inner",30535.974,617.48718,49.451997,0,29325.721,31746.227
"12._at#1.inner",59085.073,11483.773,5.1450923,2.674e-07,36577.291,81592.856
"13._at#0.inner",30660.118,611.93877,50.103245,0,29460.74,31859.496
"13._at#1.inner",56767.936,10942.936,5.1876329,2.130e-07,35320.175,78215.696
"14._at#0.inner",30711.971,594.49129,51.660927,0,29546.79,31877.153
"14._at#1.inner",54522.877,10419.055,5.2329963,1.668e-07,34101.904,74943.851
"15._at#0.inner",30700.148,567.52694,54.094609,0,29587.816,31812.48
"15._at#1.inner",52348.811,9911.8665,5.2814281,1.282e-07,32921.909,71775.712
"16._at#0.inner",30633.264,534.10549,57.354332,0,29586.436,31680.091
"16._at#1.inner",50244.646,9421.1059,5.3332004,9.650e-08,31779.618,68709.674
"17._at#0.inner",30519.934,498.14674,61.266957,0,29543.585,31496.284
"17._at#1.inner",48209.295,8946.5094,5.3886151,7.100e-08,30674.459,65744.132
"18._at#0.inner",30368.775,464.64378,65.359263,0,29458.09,31279.46
"18._at#1.inner",46241.67,8487.8133,5.4480074,5.094e-08,29605.862,62877.478
"19._at#0.inner",30188.4,439.65058,68.664528,0,29326.701,31050.099
"19._at#1.inner",44340.681,8044.7537,5.5117512,3.553e-08,28573.253,60108.108
"20._at#0.inner",29987.425,429.51524,69.816906,0,29145.591,30829.26
"20._at#1.inner",42505.24,7617.0669,5.5802634,2.402e-08,27576.063,57434.417
"21._at#0.inner",29774.467,438.99976,67.823423,0,28914.043,30634.89
"21._at#1.inner",40734.258,7204.4893,5.6540105,1.567e-08,26613.718,54854.797
"22._at#0.inner",29558.139,469.26838,62.987706,0,28638.389,30477.888
"22._at#1.inner",39026.647,6806.7572,5.7335153,9.837e-09,25685.648,52367.646
"23._at#0.inner",29347.057,517.70262,56.687093,0,28332.378,30361.735
"23._at#1.inner",37381.317,6423.6074,5.8193651,5.907e-09,24791.278,49971.356
"24._at#0.inner",29149.836,579.64843,50.288821,0,28013.746,30285.926
"24._at#1.inner",35797.181,6054.7765,5.9122217,3.375e-09,23930.037,47664.325
"25._at#0.inner",28975.092,650.25092,44.559863,0,27700.624,30249.56
"25._at#1.inner",34273.149,5700.0014,6.0128317,1.823e-09,23101.352,45444.947
"26._at#0.inner",28831.44,725.32971,39.749427,0,27409.82,30253.06
"26._at#1.inner",32808.133,5359.019,6.1220409,9.238e-10,22304.649,43311.618
"27._at#0.inner",28727.495,801.52855,35.840888,2.55e-281,27156.528,30298.462
"27._at#1.inner",31401.045,5031.5666,6.2408087,4.353e-10,21539.355,41262.734
"28._at#0.inner",28671.873,876.19919,32.723008,7.35e-235,26954.554,30389.192
"28._at#1.inner",30050.795,4717.3817,6.3702276,1.887e-10,20804.897,39296.693
"29._at#0.inner",28673.188,947.25825,30.269663,2.88e-201,26816.596,30529.78
"29._at#1.inner",28756.295,4416.2019,6.5115445,7.438e-11,20100.698,37411.892
"30._at#0.inner",28740.057,1013.0906,28.368694,4.92e-177,26754.436,30725.678
"30._at#1.inner",27516.456,4127.7652,6.6661874,2.625e-11,19426.185,35606.728
"31._at#0.inner",28881.093,1072.5092,26.928527,1.02e-159,26779.014,30983.173
"31._at#1.inner",26330.19,3851.81,6.8357968,8.155e-12,18780.782,33879.599
"32._at#0.inner",29104.914,1124.7678,25.876376,1.23e-147,26900.409,31309.418
"32._at#1.inner",25196.408,3588.075,7.0222636,2.183e-12,18163.911,32228.906
"33._at#0.inner",29420.133,1169.6218,25.153542,1.29e-139,27127.716,31712.549
"33._at#1.inner",24114.022,3336.2994,7.227775,4.910e-13,17574.995,30653.048
"34._at#0.inner",29835.366,1207.4399,24.709608,8.43e-135,27468.827,32201.904
"34._at#1.inner",23081.942,3096.2231,7.4548702,8.996e-14,17013.456,29150.427
"35._at#0.inner",30359.228,1239.3651,24.49579,1.64e-132,27930.117,32788.339
"35._at#1.inner",22099.08,2867.5865,7.7065084,1.293e-14,16478.713,27719.446
"36._at#0.inner",31000.335,1267.5253,24.45737,4.20e-132,28516.031,33484.639
"36._at#1.inner",21164.347,2650.1308,7.9861517,1.392e-15,15970.186,26358.508
"37._at#0.inner",31767.302,1295.2709,24.525605,7.88e-133,29228.618,34305.987
"37._at#1.inner",20276.655,2443.5984,8.2978673,1.060e-16,15487.29,25066.02
