parm,estimate,stderr,z,p,min95,max95
"1._at#0.inner",18023.711,231.26321,77.935918,0,17570.443,18476.978
"1._at#1.inner",23695.665,6617.7466,3.5806245,.00034277,10725.12,36666.21
"2._at#0.inner",18359.776,190.77242,96.239151,0,17985.869,18733.683
"2._at#1.inner",23029.7,6345.5933,3.6292429,.00028425,10592.565,35466.834
"3._at#0.inner",18671.621,159.95923,116.72737,0,18358.106,18985.135
"3._at#1.inner",22383.378,6080.8264,3.6809763,.00023234,10465.177,34301.579
"4._at#0.inner",18959.555,139.55032,135.86178,0,18686.041,19233.069
"4._at#1.inner",21756.43,5823.3461,3.7360703,.00018692,10342.882,33169.979
"5._at#0.inner",19223.889,129.37579,148.58954,0,18970.317,19477.461
"5._at#1.inner",21148.587,5573.0527,3.7947939,.00014777,10225.604,32071.569
"6._at#0.inner",19464.933,127.67687,152.45465,0,19214.69,19715.175
"6._at#1.inner",20559.577,5329.8464,3.8574426,.00011458,10113.27,31005.884
"7._at#0.inner",19682.996,131.53617,149.63942,0,19425.19,19940.802
"7._at#1.inner",19989.13,5093.6273,3.924341,.00008697,10005.804,29972.457
"8._at#0.inner",19878.389,138.08089,143.96191,0,19607.756,20149.023
"8._at#1.inner",19436.978,4864.2959,3.9958461,.00006446,9903.1331,28970.823
"9._at#0.inner",20051.422,145.21683,138.07919,0,19766.803,20336.042
"9._at#1.inner",18902.849,4641.7523,4.072352,.00004654,9805.1816,28000.516
"10._at#0.inner",20202.405,151.66653,133.20279,0,19905.144,20499.666
"10._at#1.inner",18386.473,4425.8967,4.1542934,.00003263,9711.8754,27061.071
"11._at#0.inner",20331.648,156.74588,129.7109,0,20024.432,20638.865
"11._at#1.inner",17887.581,4216.6293,4.2421517,.00002214,9623.1398,26152.023
"12._at#0.inner",20439.461,160.15205,127.62535,0,20125.569,20753.354
"12._at#1.inner",17405.903,4013.8506,4.3364601,.00001448,9538.9003,25272.905
"13._at#0.inner",20526.155,161.82226,126.84383,0,20208.989,20843.32
"13._at#1.inner",16941.168,3817.4605,4.4378108,9.088e-06,9459.0824,24423.253
"14._at#0.inner",20592.038,161.84991,127.22922,0,20274.818,20909.258
"14._at#1.inner",16493.106,3627.3595,4.5468626,5.445e-06,9383.6115,23602.6
"15._at#0.inner",20637.422,160.43728,128.63233,0,20322.97,20951.873
"15._at#1.inner",16061.447,3443.4478,4.6643502,3.096e-06,9312.413,22810.48
"16._at#0.inner",20662.615,157.8693,130.88431,0,20353.197,20972.034
"16._at#1.inner",15645.921,3265.6256,4.7910945,1.659e-06,9245.4123,22046.429
"17._at#0.inner",20667.93,154.49882,133.77403,0,20365.117,20970.742
"17._at#1.inner",15246.258,3093.7932,4.9280147,8.307e-07,9182.535,21309.981
"18._at#0.inner",20653.674,150.73619,137.01868,0,20358.237,20949.112
"18._at#1.inner",14862.188,2927.8508,5.0761427,3.852e-07,9123.7063,20600.67
"19._at#0.inner",20620.159,147.03716,140.23774,0,20331.972,20908.347
"19._at#1.inner",14493.441,2767.6987,5.2366399,1.635e-07,9068.8517,19918.031
"20._at#0.inner",20567.695,143.88259,142.94777,0,20285.69,20849.699
"20._at#1.inner",14139.747,2613.2372,5.4108166,6.274e-08,9017.8965,19261.598
"21._at#0.inner",20496.591,141.74467,144.60219,0,20218.776,20774.405
"21._at#1.inner",13800.836,2464.3666,5.6001555,2.142e-08,8970.7662,18630.906
"22._at#0.inner",20407.157,141.03833,144.69228,0,20130.727,20683.587
"22._at#1.inner",13476.437,2320.9871,5.8063387,6.385e-09,8927.3861,18025.488
"23._at#0.inner",20299.705,142.06524,142.89002,0,20021.262,20578.147
"23._at#1.inner",13166.281,2182.9991,6.031281,1.627e-09,8887.6815,17444.881
"24._at#0.inner",20174.543,144.96763,139.16584,0,19890.411,20458.674
"24._at#1.inner",12870.098,2050.3029,6.2771688,3.448e-10,8851.5777,16888.618
"25._at#0.inner",20031.982,149.71054,133.80475,0,19738.554,20325.409
"25._at#1.inner",12587.616,1922.7989,6.5465071,5.890e-11,8819,16356.233
"26._at#0.inner",19872.331,156.10007,127.30508,0,19566.381,20178.282
"26._at#1.inner",12318.568,1800.3873,6.8421766,7.800e-12,8789.8735,15847.262
"27._at#0.inner",19695.902,163.82813,120.22296,0,19374.805,20016.999
"27._at#1.inner",12062.681,1682.9686,7.1675024,7.638e-13,8764.1235,15361.239
"28._at#0.inner",19503.003,172.52511,113.04443,0,19164.86,19841.146
"28._at#1.inner",11819.687,1570.4432,7.5263386,5.218e-14,8741.675,14897.699
"29._at#0.inner",19293.946,181.80511,106.12433,0,18937.615,19650.277
"29._at#1.inner",11589.315,1462.7115,7.9231721,2.315e-15,8722.4532,14456.177
"30._at#0.inner",19069.04,191.29751,99.682634,0,18694.103,19443.976
"30._at#1.inner",11371.295,1359.6741,8.3632504,6.101e-17,8706.3828,14036.207
"31._at#0.inner",18828.594,200.66612,93.830458,0,18435.296,19221.893
"31._at#1.inner",11165.357,1261.2315,8.8527418,8.540e-19,8693.3888,13637.326
"32._at#0.inner",18572.92,209.62018,88.60273,0,18162.072,18983.768
"32._at#1.inner",10971.231,1167.2844,9.3989357,5.512e-21,8683.3958,13259.067
"33._at#0.inner",18302.328,217.92148,83.985883,0,17875.209,18729.446
"33._at#1.inner",10788.647,1077.7335,10.010496,1.371e-23,8676.3283,12900.966
"34._at#0.inner",18017.126,225.39113,79.937155,0,17575.368,18458.885
"34._at#1.inner",10617.335,992.47955,10.697787,1.042e-26,8672.1106,12562.559
"35._at#0.inner",17717.626,231.91833,76.395971,0,17263.074,18172.177
"35._at#1.inner",10457.024,911.42363,11.473286,1.797e-30,8670.6667,12243.382
"36._at#0.inner",17404.137,237.47273,73.288992,0,16938.699,17869.575
"36._at#1.inner",10307.445,834.46689,12.352132,4.744e-35,8671.9203,11942.97
"37._at#0.inner",17076.97,242.12191,70.530461,0,16602.42,17551.52
"37._at#1.inner",10168.328,761.51072,13.352836,1.140e-40,8675.7944,11660.862
"38._at#0.inner",16736.434,246.0544,68.019242,0,16254.176,17218.692
"38._at#1.inner",10039.402,692.45684,14.498235,1.243e-47,8682.2117,11396.593
"39._at#0.inner",16382.84,249.60809,65.634251,0,15893.617,16872.063
"39._at#1.inner",9920.3978,627.20737,15.816775,2.384e-56,8691.094,11149.702
"40._at#0.inner",16016.497,253.30103,63.231079,0,15520.037,16512.958
"40._at#1.inner",9811.0449,565.66495,17.344269,2.179e-67,8702.3619,10919.728
"41._at#0.inner",15637.717,257.8578,60.644729,0,15132.325,16143.109
"41._at#1.inner",9711.0732,507.73296,19.12634,1.524e-81,8715.9349,10706.211
"42._at#0.inner",15246.807,264.21823,57.705357,0,14728.949,15764.666
"42._at#1.inner",9620.2127,453.31578,21.221879,6.00e-100,8731.7301,10508.695
"43._at#0.inner",14844.08,273.51086,54.272361,0,14308.009,15380.152
"43._at#1.inner",9538.1934,402.31914,23.708028,2.98e-124,8749.6624,10326.724
"44._at#0.inner",14429.845,286.97655,50.282314,0,13867.381,14992.309
"44._at#1.inner",9464.7452,354.65077,26.687508,6.57e-157,8769.6425,10159.848
"45._at#0.inner",14004.411,305.84605,45.789087,0,13404.964,14603.859
"45._at#1.inner",9399.598,310.22124,30.299659,1.16e-201,8791.5755,10007.62
"46._at#0.inner",13568.09,331.20427,40.965927,0,12918.941,14217.238
"46._at#1.inner",9342.4818,268.94542,34.737464,2.14e-264,8815.3584,9869.6051
"47._at#0.inner",13121.19,363.89117,36.058007,1.03e-284,12407.977,13834.404
"47._at#1.inner",9293.1264,230.74474,40.274489,0,8840.875,9745.3777
"48._at#0.inner",12664.023,404.47369,31.309881,3.42e-215,11871.269,13456.777
"48._at#1.inner",9251.2618,195.55119,47.308646,0,8867.9885,9634.5351
"49._at#0.inner",12196.898,453.28434,26.90783,1.78e-159,11308.477,13085.319
"49._at#1.inner",9216.6179,163.31426,56.434863,0,8896.5278,9536.708
"50._at#0.inner",11720.125,510.49385,22.958405,1.21e-116,10719.575,12720.674
"50._at#1.inner",9188.9247,134.01408,68.56686,0,8926.2619,9451.5875
"51._at#0.inner",11234.014,576.18416,19.497263,1.158e-84,10104.714,12363.314
"51._at#1.inner",9167.9121,107.6872,85.13465,0,8956.849,9378.9751
"52._at#0.inner",10738.876,650.40346,16.511099,3.053e-61,9464.1082,12013.643
"52._at#1.inner",9153.31,84.480344,108.3484,0,8987.7315,9318.8884
"53._at#0.inner",10235.02,733.20025,13.959378,2.758e-44,8797.9735,11672.066
"53._at#1.inner",9144.8483,64.764882,141.20072,0,9017.9115,9271.7851
"54._at#0.inner",9722.7559,824.64079,11.790292,4.380e-32,8106.4897,11339.022
"54._at#1.inner",9142.257,49.358784,185.22047,0,9045.5155,9238.9984
"55._at#0.inner",9202.3948,924.81587,9.9505157,2.509e-23,7389.789,11015.001
"55._at#1.inner",9145.266,39.727261,230.20127,0,9067.402,9223.13
"56._at#0.inner",8674.2462,1033.8417,8.3903043,4.849e-17,6647.9538,10700.539
"56._at#1.inner",9153.6052,37.157546,246.34579,0,9080.7777,9226.4326
"57._at#0.inner",8138.6203,1151.8578,7.0656468,1.599e-12,5881.0205,10396.22
"57._at#1.inner",9167.0045,40.545642,226.091,0,9087.5365,9246.4725
"58._at#0.inner",7595.827,1279.0242,5.938767,2.872e-09,5088.9855,10102.668
"58._at#1.inner",9185.194,46.951239,195.63262,0,9093.1712,9277.2167
"59._at#0.inner",7046.1764,1415.5182,4.977807,6.431e-07,4271.8117,9820.5411
"59._at#1.inner",9207.9034,54.134633,170.09265,0,9101.8015,9314.0053
"60._at#0.inner",6489.9786,1561.5311,4.1561634,.00003236,3429.4338,9550.5234
"60._at#1.inner",9234.8628,60.985592,151.42696,0,9115.3332,9354.3924
"61._at#0.inner",5927.5436,1717.2662,3.4517326,.000557,2561.7638,9293.3235
"61._at#1.inner",9265.802,67.024334,138.24534,0,9134.4368,9397.1673
"62._at#0.inner",5359.1815,1882.9361,2.8461835,.00442467,1668.6947,9049.6684
"62._at#1.inner",9300.4511,72.062673,129.06059,0,9159.2108,9441.6913
"63._at#0.inner",4785.2024,2058.7613,2.3243114,.02010881,750.10443,8820.3004
"63._at#1.inner",9338.5398,76.049241,122.79596,0,9189.4861,9487.5936
"64._at#0.inner",4205.9163,2244.9688,1.8734854,.06100138,-194.14166,8605.9742
"64._at#1.inner",9379.7982,79.001341,118.72961,0,9224.9584,9534.638
"65._at#0.inner",3621.6332,2441.7907,1.4831874,.13802462,-1164.1885,8407.455
"65._at#1.inner",9423.9562,80.973552,116.38314,0,9265.251,9582.6615
"66._at#0.inner",3032.6633,2649.4634,1.144633,.25236121,-2160.1895,8225.5161
"66._at#1.inner",9470.7437,82.042386,115.4372,0,9309.9436,9631.5438
"67._at#0.inner",2439.3165,2868.2269,.85046147,.39506857,-3182.305,8060.938
"67._at#1.inner",9519.8906,82.298348,115.67535,0,9358.5888,9681.1924
"68._at#0.inner",1841.903,3098.3243,.5944836,.55218871,-4230.701,7914.507
"68._at#1.inner",9571.1269,81.841611,116.94695,0,9410.7203,9731.5335
"69._at#0.inner",1240.7327,3340.0008,.37147677,.71028245,-5305.5486,7787.014
"69._at#1.inner",9624.1825,80.7795,119.1414,0,9465.8575,9782.5074
"70._at#0.inner",636.11581,3593.504,.17701826,.85949405,-6407.0226,7679.2543
"70._at#1.inner",9678.7872,79.224848,122.16858,0,9523.5094,9834.0651
"71._at#0.inner",28.36231,3859.0833,.00734949,.994136,-7535.302,7592.0266
"71._at#1.inner",9734.6712,77.294625,125.94241,0,9583.1765,9886.1658
"72._at#0.inner",-582.21773,4136.9885,-.14073467,.88807955,-8690.5662,7526.1308
"72._at#1.inner",9791.5642,75.108424,130.36573,0,9644.3544,9938.774
"73._at#0.inner",-1195.3143,4427.4724,-.26997667,.7871782,-9873.0006,7482.3721
"73._at#1.inner",9849.1962,72.786391,135.31645,0,9706.5375,9991.8549
"74._at#0.inner",-1810.6172,4730.7875,-.38273062,.70191951,-11082.79,7461.5559
"74._at#1.inner",9907.2971,70.446228,140.6363,0,9769.225,10045.369
"75._at#0.inner",-2427.8165,5047.1877,-.48102363,.63049971,-12320.123,7464.4896
"75._at#1.inner",9965.5969,68.198947,146.12538,0,9831.9294,10099.264
"76._at#0.inner",-3046.6022,5376.9276,-.5666065,.57098156,-13585.187,7491.9824
"76._at#1.inner",10023.825,66.143291,151.54712,0,9894.187,10153.464
"77._at#0.inner",-3666.6641,5720.2626,-.64099576,.52152544,-14878.173,7544.8445
"77._at#1.inner",10081.713,64.359105,156.64781,0,9955.5712,10207.854
"78._at#0.inner",-4287.6922,6077.4483,-.70550862,.48049377,-16199.272,7623.8876
"78._at#1.inner",10138.989,62.900575,161.19072,0,10015.706,10262.272
"79._at#0.inner",-4909.3764,6448.7411,-.76129221,.44648255,-17548.677,7729.924
"79._at#1.inner",10195.383,61.790738,164.99857,0,10074.276,10316.491
