parm,estimate,stderr,z,p,min95,max95
"1._at#0.inner",818.26752,415.93825,1.9672812,.0491508,3.0435248,1633.4915
"1._at#1.inner",6266.4454,1450.3917,4.3205193,.00001557,3423.7299,9109.1609
"2._at#0.inner",1047.3123,347.80888,3.0111719,.00260241,365.61945,1729.0052
"2._at#1.inner",6027.0882,1392.7128,4.3275888,.00001508,3297.4213,8756.7551
"3._at#0.inner",1244.0321,292.25358,4.2566873,.00002075,671.22561,1816.8386
"3._at#1.inner",5793.8187,1336.5605,4.3348721,.00001458,3174.2083,8413.429
"4._at#0.inner",1410.2673,249.85094,5.6444346,1.657e-08,920.56845,1899.9661
"4._at#1.inner",5566.5596,1281.9146,4.3423794,.00001409,3054.0531,8079.0661
"5._at#0.inner",1547.8584,220.79958,7.0102415,2.379e-12,1115.0992,1980.6176
"5._at#1.inner",5345.2335,1228.7552,4.3501209,.00001361,2936.9176,7753.5494
"6._at#0.inner",1658.6459,204.23554,8.1212403,4.614e-16,1258.3516,2058.9402
"6._at#1.inner",5129.7631,1177.062,4.3581077,.00001312,2822.7639,7436.7623
"7._at#0.inner",1744.4703,197.83416,8.817842,1.167e-18,1356.7225,2132.2182
"7._at#1.inner",4920.0711,1126.8151,4.3663517,.00001263,2711.5541,7128.5882
"8._at#0.inner",1807.1721,198.29188,9.1136971,7.962e-20,1418.5272,2195.8171
"8._at#1.inner",4716.0801,1077.9943,4.3748654,.00001215,2603.25,6828.9102
"9._at#0.inner",1848.5918,202.34396,9.1358882,6.487e-20,1452.0049,2245.1787
"9._at#1.inner",4517.7127,1030.5796,4.3836621,.00001167,2497.8138,6537.6116
"10._at#0.inner",1870.5698,207.46234,9.0164307,1.943e-19,1463.9511,2277.1886
"10._at#1.inner",4324.8916,984.55083,4.3927561,.00001119,2395.2075,6254.5758
"11._at#0.inner",1874.9467,211.98918,8.8445399,9.191e-19,1459.4556,2290.4379
"11._at#1.inner",4137.5395,939.88795,4.4021625,.00001072,2295.393,5979.686
"12._at#0.inner",1863.5629,214.97638,8.668687,4.371e-18,1442.217,2284.9089
"12._at#1.inner",3955.579,896.57089,4.4118977,.00001025,2198.3324,5712.8257
"13._at#0.inner",1838.259,215.97945,8.511268,1.720e-17,1414.947,2261.5709
"13._at#1.inner",3778.9328,854.57957,4.4219788,9.780e-06,2103.9876,5453.878
"14._at#0.inner",1800.8753,214.89763,8.3801542,5.286e-17,1379.6837,2222.0669
"14._at#1.inner",3607.5235,813.89394,4.4324245,9.318e-06,2012.3207,5202.7263
"15._at#0.inner",1753.2524,211.86966,8.2751461,1.283e-16,1337.9955,2168.5093
"15._at#1.inner",3441.2737,774.49394,4.4432546,8.861e-06,1923.2935,4959.254
"16._at#0.inner",1697.2308,207.21129,8.1908222,2.594e-16,1291.1042,2103.3575
"16._at#1.inner",3280.1062,736.3595,4.4544903,8.409e-06,1836.8681,4723.3443
"17._at#0.inner",1634.651,201.37955,8.1172641,4.768e-16,1239.9543,2029.3477
"17._at#1.inner",3123.9436,699.47059,4.4661543,7.964e-06,1753.0064,4494.8808
"18._at#0.inner",1567.3534,194.95104,8.0397286,9.004e-16,1185.2564,1949.4504
"18._at#1.inner",2972.7085,663.80716,4.4782712,7.525e-06,1671.6704,4273.7466
"19._at#0.inner",1497.1786,188.60204,7.9382946,2.050e-15,1127.5254,1866.8318
"19._at#1.inner",2826.3236,629.34919,4.4908672,7.093e-06,1592.8219,4059.8254
"20._at#0.inner",1425.967,183.07721,7.7888831,6.760e-15,1067.1423,1784.7917
"20._at#1.inner",2684.7116,596.07664,4.5039704,6.670e-06,1516.4228,3853.0003
"21._at#0.inner",1355.5591,179.13268,7.5673467,3.809e-14,1004.4655,1706.6527
"21._at#1.inner",2547.795,563.9695,4.5176113,6.254e-06,1442.4351,3653.1549
"22._at#0.inner",1287.7954,177.44642,7.2573763,3.947e-13,940.00685,1635.584
"22._at#1.inner",2415.4966,533.00778,4.5318224,5.848e-06,1370.8205,3460.1727
"23._at#0.inner",1224.5165,178.5075,6.859748,6.898e-12,874.64819,1574.3847
"23._at#1.inner",2287.739,503.17149,4.5466388,5.451e-06,1301.541,3273.937
"24._at#0.inner",1167.5627,182.52179,6.3968399,1.586e-10,809.82653,1525.2988
"24._at#1.inner",2164.4449,474.44064,4.5620984,5.064e-06,1234.5583,3094.3314
"25._at#0.inner",1118.7745,189.37871,5.9076045,3.471e-09,747.59907,1489.95
"25._at#1.inner",2045.5368,446.79527,4.5782419,4.689e-06,1169.8342,2921.2395
