parm,estimate,stderr,z,p,min95,max95
"1._at#0.inner",78.228614,6.6799713,11.710921,1.121e-31,65.136111,91.321117
"1._at#1.inner",-9050.9086,1535.0634,-5.896114,3.722e-09,-12059.577,-6042.2396
"2._at#0.inner",82.53839,5.2476052,15.728773,9.605e-56,72.253272,92.823507
"2._at#1.inner",-8712.9268,1470.6122,-5.9246937,3.129e-09,-11595.274,-5830.5799
"3._at#0.inner",86.966635,4.2173253,20.621277,1.768e-94,78.700829,95.23244
"3._at#1.inner",-8382.7201,1407.9565,-5.9538204,2.620e-09,-11142.264,-5623.176
"4._at#0.inner",91.492387,3.6699881,24.929887,3.53e-137,84.299342,98.685431
"4._at#1.inner",-8060.1976,1347.0714,-5.9834969,2.184e-09,-10700.409,-5419.9862
"5._at#0.inner",96.094683,3.6060561,26.648138,1.88e-156,89.026943,103.16242
"5._at#1.inner",-7745.2688,1287.9321,-6.0137244,1.813e-09,-10269.569,-5220.9683
"6._at#0.inner",100.75256,3.8847905,25.935133,2.68e-148,93.138511,108.36661
"6._at#1.inner",-7437.843,1230.5138,-6.044502,1.499e-09,-9849.6057,-5026.0804
"7._at#0.inner",105.44506,4.322894,24.392238,2.07e-131,96.972341,113.91777
"7._at#1.inner",-7137.8296,1174.7916,-6.0758264,1.234e-09,-9440.3788,-4835.2805
"8._at#0.inner",110.15121,4.7927355,22.982952,6.90e-117,100.75762,119.5448
"8._at#1.inner",-6845.138,1120.7407,-6.1076912,1.011e-09,-9041.7493,-4648.5266
"9._at#0.inner",114.85006,5.2265299,21.974438,5.06e-107,104.60625,125.09387
"9._at#1.inner",-6559.6773,1068.3363,-6.1400867,8.248e-10,-8653.5779,-4465.7767
"10._at#0.inner",119.52063,5.5923012,21.372353,2.42e-101,108.55992,130.48134
"10._at#1.inner",-6281.3571,1017.5535,-6.1729994,6.701e-10,-8275.7254,-4286.9889
"11._at#0.inner",124.14198,5.876764,21.124207,4.766e-99,112.62373,135.66023
"11._at#1.inner",-6010.0867,968.36757,-6.2064105,5.421e-10,-7908.0523,-4112.1211
"12._at#0.inner",128.69313,6.076399,21.179177,1.486e-99,116.78361,140.60265
"12._at#1.inner",-5745.7754,920.75365,-6.240296,4.367e-10,-7550.4194,-3941.1314
"13._at#0.inner",133.15312,6.1930511,21.500408,1.54e-102,121.01497,145.29128
"13._at#1.inner",-5488.3325,874.68692,-6.2746251,3.505e-10,-7202.6874,-3773.9777
"14._at#0.inner",137.501,6.2317275,22.064668,6.91e-108,125.28704,149.71496
"14._at#1.inner",-5237.6675,830.14255,-6.3093591,2.802e-10,-6864.717,-3610.618
"15._at#0.inner",141.71579,6.1994703,22.859339,1.18e-115,129.56505,153.86653
"15._at#1.inner",-4993.6896,787.09574,-6.34445,2.232e-10,-6536.3689,-3451.0103
"16._at#0.inner",145.77654,6.1047748,23.879101,5.05e-126,133.8114,157.74168
"16._at#1.inner",-4756.3082,745.52167,-6.379839,1.773e-10,-6217.5038,-3295.1126
"17._at#0.inner",149.66227,5.9573007,25.122498,2.82e-139,137.98618,161.33837
"17._at#1.inner",-4525.4327,705.39552,-6.4154542,1.404e-10,-5907.9825,-3142.8829
"18._at#0.inner",153.35204,5.7677447,26.58787,9.38e-156,142.04747,164.65661
"18._at#1.inner",-4300.9724,666.6925,-6.4512086,1.110e-10,-5607.6657,-2994.2791
"19._at#0.inner",156.82488,5.5477972,28.267954,8.56e-176,145.9514,167.69836
"19._at#1.inner",-4082.8366,629.38779,-6.4869969,8.756e-11,-5316.414,-2849.2592
"20._at#0.inner",160.05982,5.3101173,30.142426,1.35e-199,149.65218,170.46746
"20._at#1.inner",-3870.9348,593.4566,-6.5226923,6.906e-11,-5034.0884,-2707.7812
"21._at#0.inner",163.0359,5.0682459,32.168111,4.93e-227,153.10232,172.96948
"21._at#1.inner",-3665.1762,558.87413,-6.5581426,5.448e-11,-4760.5494,-2569.8031
"22._at#0.inner",165.73216,4.8363488,34.268032,2.35e-257,156.25309,175.21123
"22._at#1.inner",-3465.4703,525.61558,-6.593165,4.305e-11,-4495.6579,-2435.2826
