parm,estimate,stderr,z,p,min95,max95
"1._at#0.inner",-837.9284,890.03508,-.94145547,.3464715,-2582.3651,906.50831
"1._at#1.inner",67613.65,13797.509,4.9004242,9.563e-07,40571.028,94656.271
"2._at#0.inner",-315.33077,682.52672,-.46200501,.64407773,-1653.0586,1022.397
"2._at#1.inner",65027.429,13243.4,4.9101763,9.099e-07,39070.842,90984.017
"3._at#0.inner",132.20222,516.67576,.25587076,.79805064,-880.46367,1144.8681
"3._at#1.inner",62507.039,12704.051,4.9202445,8.644e-07,37607.556,87406.522
"4._at#0.inner",509.93027,401.05394,1.2714755,.20355953,-276.12102,1295.9816
"4._at#1.inner",60051.643,12179.268,4.9306446,8.196e-07,36180.716,83922.57
"5._at#0.inner",823.1131,345.2073,2.3844024,.01710689,146.51923,1499.707
"5._at#1.inner",57660.405,11668.855,4.9413934,7.757e-07,34789.868,80530.941
"6._at#0.inner",1077.0104,345.23807,3.1196167,.00181087,400.35625,1753.6646
"6._at#1.inner",55332.489,11172.619,4.9525086,7.326e-07,33434.56,77230.419
"7._at#0.inner",1276.882,378.31247,3.3752045,.00073761,535.40314,2018.3608
"7._at#1.inner",53067.06,10690.362,4.9640096,6.905e-07,32114.336,74019.785
"8._at#0.inner",1427.9874,421.30365,3.3894494,.00070033,602.24743,2253.7274
"8._at#1.inner",50863.282,10221.892,4.9759167,6.494e-07,30828.743,70897.822
"9._at#0.inner",1535.5865,461.0737,3.3304578,.00086703,631.89866,2439.2743
"9._at#1.inner",48720.319,9767.0123,4.9882521,6.093e-07,29577.327,67863.312
"10._at#0.inner",1604.9389,491.78172,3.2635189,.00110038,641.06448,2568.8134
"10._at#1.inner",46637.335,9325.529,5.0010391,5.702e-07,28359.634,64915.036
"11._at#0.inner",1641.3044,511.26868,3.2102581,.00132616,639.23623,2643.3726
"11._at#1.inner",44613.495,8897.247,5.0143033,5.323e-07,27175.211,62051.778
"12._at#0.inner",1649.9427,519.16427,3.1780745,.00148257,632.39944,2667.486
"12._at#1.inner",42647.962,8481.9716,5.0280717,4.954e-07,26023.603,59272.321
"13._at#0.inner",1636.1135,516.0441,3.1704916,.00152181,624.68564,2647.5413
"13._at#1.inner",40739.9,8079.5082,5.0423738,4.598e-07,24904.355,56575.445
"14._at#0.inner",1605.0765,503.07412,3.1905367,.00142009,619.0693,2591.0836
"14._at#1.inner",38888.475,7689.6621,5.0572411,4.254e-07,23817.014,53959.936
"15._at#0.inner",1562.0914,481.88931,3.2415978,.00118862,617.60566,2506.577
"15._at#1.inner",37092.85,7312.2386,5.0727078,3.922e-07,22761.125,51424.574
"16._at#0.inner",1512.4179,454.60787,3.3268625,.0008783,621.40282,2403.4329
"16._at#1.inner",35352.189,6947.0434,5.0888107,3.603e-07,21736.234,48968.144
"17._at#0.inner",1461.3158,423.9443,3.4469523,.00056695,630.4002,2292.2313
"17._at#1.inner",33665.656,6593.8819,5.1055898,3.298e-07,20741.885,46589.427
"18._at#0.inner",1414.0447,393.38804,3.5945289,.00032498,643.01829,2185.0711
"18._at#1.inner",32032.416,6252.5599,5.1230883,3.006e-07,19777.624,44287.209
