parm,estimate,stderr,z,p,min95,max95
"1._at#0.inner",3716.9792,530.4548,7.0071553,2.432e-12,2677.3069,4756.6515
"1._at#1.inner",1117.3607,1397.6377,.79946377,.42402155,-1621.9588,3856.6801
"2._at#0.inner",4111.7587,441.45537,9.3140983,1.230e-20,3246.5221,4976.9953
"2._at#1.inner",1089.055,1341.4138,.811871,.41686566,-1540.0678,3718.1778
"3._at#0.inner",4471.2064,375.06418,11.921177,9.180e-33,3736.0941,5206.3187
"3._at#1.inner",1061.0177,1286.696,.82460636,.40959511,-1460.8601,3582.8954
"4._at#0.inner",4796.5404,333.32292,14.390071,5.973e-47,4143.2395,5449.8414
"4._at#1.inner",1033.2526,1233.4639,.83768371,.40220837,-1384.2922,3450.7975
"5._at#0.inner",5088.979,315.75177,16.117024,1.937e-58,4470.1169,5707.8411
"5._at#1.inner",1005.7638,1181.6976,.85111774,.39470395,-1310.321,3321.8486
"6._at#0.inner",5349.7402,317.87349,16.829778,1.477e-63,4726.7196,5972.7608
"6._at#1.inner",978.55509,1131.3769,.86492404,.38708048,-1238.9029,3196.0131
"7._at#0.inner",5580.0421,332.68559,16.77272,3.864e-63,4927.9904,6232.0939
"7._at#1.inner",951.63043,1082.4817,.87911918,.37933666,-1169.9947,3073.2556
"8._at#0.inner",5781.103,353.56304,16.350982,4.280e-60,5088.1322,6474.0738
"8._at#1.inner",924.99375,1034.9919,.89372075,.37147132,-1103.5531,2953.5406
"9._at#0.inner",5954.1409,375.74679,15.846152,1.495e-56,5217.6908,6690.5911
"9._at#1.inner",898.64897,988.88741,.90874751,.36348342,-1039.5347,2836.8327
"10._at#0.inner",6100.3741,396.29287,15.3936,1.807e-53,5323.6543,6877.0938
"10._at#1.inner",872.60001,944.1481,.92421942,.35537209,-977.89626,2723.0963
"11._at#0.inner",6221.0206,413.53543,15.043501,3.809e-51,5410.506,7031.5351
"11._at#1.inner",846.8508,900.75388,.94015782,.34713662,-918.59436,2612.296
"12._at#0.inner",6317.2986,426.61332,14.80802,1.300e-49,5481.1518,7153.4453
"12._at#1.inner",821.40526,858.68465,.95658548,.33877652,-861.58572,2504.3962
"13._at#0.inner",6390.4262,435.15802,14.6853,8.008e-49,5537.5322,7243.3203
"13._at#1.inner",796.26733,817.92031,.97352678,.33029156,-806.82702,2399.3617
"14._at#0.inner",6441.6217,439.10537,14.669877,1.005e-48,5580.9909,7302.2524
"14._at#1.inner",771.44091,778.44076,.99100786,.32168174,-754.27495,2297.1568
"15._at#0.inner",6472.103,438.58459,14.756795,2.782e-49,5612.493,7331.713
"15._at#1.inner",746.92994,740.22592,1.0090567,.31294743,-703.8862,2197.7461
"16._at#0.inner",6483.0884,433.85254,14.943069,1.728e-50,5632.7531,7333.4238
"16._at#1.inner",722.73835,703.25569,1.0277035,.30408931,-655.61747,2101.0942
"17._at#0.inner",6475.7961,425.25469,15.228042,2.304e-52,5642.3122,7309.28
"17._at#1.inner",698.87005,667.50998,1.0469807,.29510849,-609.42547,2007.1656
"18._at#0.inner",6451.4441,413.20184,15.613299,5.910e-55,5641.5834,7261.3048
"18._at#1.inner",675.32897,632.9687,1.0669232,.28600654,-565.26689,1915.9248
"19._at#0.inner",6411.2506,398.15686,16.102324,2.457e-58,5630.8775,7191.6237
"19._at#1.inner",652.11903,599.61178,1.0875687,.27678554,-523.09846,1827.3365
"20._at#0.inner",6356.4338,380.62771,16.699871,1.313e-62,5610.4171,7102.4504
"20._at#1.inner",629.24416,567.41914,1.1089583,.26744817,-482.87691,1741.3652
"21._at#0.inner",6288.2117,361.16502,17.41091,6.819e-68,5580.3413,6996.0821
"21._at#1.inner",606.70829,536.3707,1.1311362,.25799779,-444.55896,1657.9755
"22._at#0.inner",6207.8026,340.36245,18.2388,2.540e-74,5540.7045,6874.9007
"22._at#1.inner",584.51534,506.4464,1.1541504,.24843849,-408.10136,1577.132
"23._at#0.inner",6116.4246,318.85863,19.182246,5.208e-82,5491.4731,6741.376
"23._at#1.inner",562.66923,477.62618,1.1780536,.23877524,-373.46087,1498.7993
"24._at#0.inner",6015.2958,297.33828,20.230479,5.279e-91,5432.5234,6598.0681
"24._at#1.inner",541.17389,449.88998,1.2029027,.22901396,-340.59426,1422.942
"25._at#0.inner",5905.6343,276.52867,21.356318,3.41e-101,5363.6481,6447.6206
"25._at#1.inner",520.03323,423.21775,1.2287604,.21916164,-309.45832,1349.5248
"26._at#0.inner",5788.6584,257.18446,22.507808,3.48e-112,5284.5861,6292.7307
"26._at#1.inner",499.2512,397.58947,1.2556952,.20922649,-280.00984,1278.5122
"27._at#0.inner",5665.5861,240.05112,23.601582,3.71e-123,5195.0946,6136.0777
"27._at#1.inner",478.8317,372.9851,1.2837824,.19921811,-252.20566,1209.8691
"28._at#0.inner",5537.6356,225.79665,24.524879,8.02e-133,5095.0823,5980.1889
"28._at#1.inner",458.77868,349.38464,1.3131049,.1891476,-226.00263,1143.56
"29._at#0.inner",5406.0251,214.91033,25.154794,1.25e-139,4984.8086,5827.2416
"29._at#1.inner",439.09604,326.76807,1.3437544,.17902782,-201.35762,1079.5497
"30._at#0.inner",5271.9727,207.58938,25.396158,2.78e-142,4865.105,5678.8404
"30._at#1.inner",419.78771,305.11543,1.3758324,.16887351,-178.22755,1017.803
"31._at#0.inner",5136.6965,203.66088,25.221813,2.31e-140,4737.5285,5535.8644
"31._at#1.inner",400.85763,284.40675,1.4094519,.1587016,-156.56936,958.28462
"32._at#0.inner",5001.4146,202.58732,24.687698,1.45e-134,4604.3508,5398.4785
"32._at#1.inner",382.3097,264.62209,1.4447384,.14853138,-136.34007,900.95948
"33._at#0.inner",4867.3453,203.56545,23.910469,2.38e-126,4468.3644,5266.3263
"33._at#1.inner",364.14787,245.74155,1.4818327,.13838481,-117.49672,845.79246
"34._at#0.inner",4735.7067,205.67757,23.024905,2.62e-117,4332.586,5138.8273
"34._at#1.inner",346.37605,227.74525,1.5208925,.12828681,-99.996434,792.74853
"35._at#0.inner",4607.7168,208.04084,22.148136,1.09e-108,4199.9643,5015.4694
"35._at#1.inner",328.99816,210.61334,1.5620955,.11826549,-83.796406,741.79272
"36._at#0.inner",4484.5939,209.92507,21.362831,2.96e-101,4073.1483,4896.0395
"36._at#1.inner",312.01813,194.32605,1.6056423,.10835252,-68.853932,692.8902
"37._at#0.inner",4367.5561,210.84399,20.714634,2.556e-95,3954.3095,4780.8028
"37._at#1.inner",295.4399,178.86365,1.6517604,.09858341,-55.126421,646.00621
"38._at#0.inner",4257.8216,210.64326,20.213424,7.459e-91,3844.9684,4670.6748
"38._at#1.inner",279.26737,164.20648,1.7007086,.08899773,-42.571422,601.10615
"39._at#0.inner",4156.6084,209.61193,19.830018,1.640e-87,3745.7766,4567.4402
"39._at#1.inner",263.50447,150.33497,1.7527823,.07963939,-31.146659,558.1556
"40._at#0.inner",4065.1348,208.63257,19.484661,1.482e-84,3656.2224,4474.0471
"40._at#1.inner",248.15514,137.22967,1.8083199,.07055673,-20.810067,517.12034
"41._at#0.inner",3984.6188,209.34863,19.033412,9.018e-81,3574.303,4394.9346
"41._at#1.inner",233.22328,124.87124,1.8677101,.06180248,-11.519851,477.96642
