parm,estimate,stderr,z,p,min95,max95
"1._at#0.inner",6433.171,1278.8117,5.0305851,4.890e-07,3926.7461,8939.5958
"1._at#1.inner",93696.324,50276.2,1.8636318,.06237343,-4843.2166,192235.86
"2._at#0.inner",6934.6817,1067.9005,6.4937529,8.372e-11,4841.6353,9027.7282
"2._at#1.inner",90095.036,48307.185,1.8650442,.0621752,-4585.3059,184775.38
"3._at#0.inner",7369.6904,898.21906,8.2047807,2.310e-16,5609.2134,9130.1675
"3._at#1.inner",86586.23,46389.437,1.8665075,.0619704,-4335.3946,177507.86
"4._at#0.inner",7742.514,771.11664,10.040652,1.010e-23,6231.1532,9253.8749
"4._at#1.inner",83168.722,44522.29,1.8680243,.06175868,-4093.3632,170430.81
"5._at#0.inner",8057.4694,686.24145,11.74145,7.814e-32,6712.4609,9402.4779
"5._at#1.inner",79841.328,42705.081,1.8695979,.06153968,-3859.092,163541.75
"6._at#0.inner",8318.8735,639.48936,13.008619,1.093e-38,7065.4974,9572.2496
"6._at#1.inner",76602.864,40937.143,1.8712313,.06131302,-3632.4615,156838.19
"7._at#0.inner",8531.0434,622.3936,13.70683,9.241e-43,7311.1743,9750.9124
"7._at#1.inner",73452.145,39217.811,1.8729282,.0610783,-3413.3521,150317.64
"8._at#0.inner",8698.2958,624.25131,13.933965,3.939e-44,7474.7857,9921.8059
"8._at#1.inner",70387.988,37546.421,1.8746924,.06083506,-3201.6445,143977.62
"9._at#0.inner",8824.9478,635.23337,13.89245,7.039e-44,7579.9133,10069.982
"9._at#1.inner",67409.208,35922.307,1.8765278,.06058284,-2997.2191,137815.64
"10._at#0.inner",8915.3164,648.10659,13.755941,4.691e-43,7645.0508,10185.582
"10._at#1.inner",64514.622,34344.804,1.8784391,.06032112,-2799.9566,131829.2
"11._at#0.inner",8973.7183,658.33912,13.630845,2.625e-42,7683.3974,10264.039
"11._at#1.inner",61703.045,32813.247,1.8804309,.06004937,-2609.7378,126015.83
"12._at#0.inner",9004.4707,663.51272,13.570909,5.958e-42,7704.0097,10304.932
"12._at#1.inner",58973.294,31326.972,1.8825086,.059767,-2426.4434,120373.03
"13._at#0.inner",9011.8904,662.69467,13.598858,4.067e-42,7713.0327,10310.748
"13._at#1.inner",56324.184,29885.314,1.8846777,.05947337,-2249.9543,114898.32
"14._at#0.inner",9000.2943,655.97451,13.720494,7.654e-43,7714.6079,10285.981
"14._at#1.inner",53754.531,28487.606,1.8869445,.0591678,-2080.1515,109589.21
"15._at#0.inner",8973.9995,644.16588,13.931193,4.095e-44,7711.4576,10236.541
"15._at#1.inner",51263.151,27133.186,1.8893156,.05884955,-1916.9162,104443.22
"16._at#0.inner",8937.3228,628.6231,14.217299,7.156e-46,7705.2442,10169.401
"16._at#1.inner",48848.86,25821.387,1.8917984,.05851784,-1760.1294,99457.849
"17._at#0.inner",8894.5812,611.12074,14.55454,5.465e-48,7696.8066,10092.356
"17._at#1.inner",46510.474,24551.546,1.894401,.0581718,-1609.6724,94630.621
"18._at#0.inner",8850.0917,593.74858,14.905453,3.037e-50,7686.3658,10013.817
"18._at#1.inner",44246.809,23322.998,1.8971321,.0578105,-1465.4269,89959.045
"19._at#0.inner",8808.171,578.77571,15.218626,2.661e-52,7673.7915,9942.5506
"19._at#1.inner",42056.681,22135.078,1.9000015,.05743292,-1327.2743,85440.636
"20._at#0.inner",8773.1363,568.44402,15.433598,9.729e-54,7659.0065,9887.2661
"20._at#1.inner",39938.905,20987.121,1.9030197,.05703797,-1195.0965,81072.907
"21._at#0.inner",8749.3045,564.67935,15.494288,3.791e-54,7642.5533,9856.0557
"21._at#1.inner",37892.299,19878.464,1.9061985,.05662446,-1068.7756,76853.373
"22._at#0.inner",8740.9924,568.76821,15.368286,2.671e-53,7626.2272,9855.7576
"22._at#1.inner",35915.676,18808.443,1.9095508,.05619108,-948.19362,72779.547
"23._at#0.inner",8752.5171,581.1107,15.061703,2.892e-51,7613.561,9891.4731
"23._at#1.inner",34007.855,17776.392,1.913091,.05573641,-833.2332,68848.943
"24._at#0.inner",8788.1954,601.16152,14.618693,2.135e-48,7609.9405,9966.4503
"24._at#1.inner",32167.65,16781.649,1.9168349,.05525891,-723.77709,65059.076
"25._at#0.inner",8852.3443,627.58279,14.105461,3.515e-45,7622.3046,10082.384
"25._at#1.inner",30393.877,15823.549,1.9208003,.05475689,-619.7084,61407.462
"26._at#0.inner",8949.2808,658.5247,13.589894,4.597e-42,7658.5961,10239.965
"26._at#1.inner",28685.353,14901.428,1.9250069,.0542285,-520.91063,57891.616
"27._at#0.inner",9083.3217,691.91433,13.127813,2.282e-39,7727.1945,10439.449
"27._at#1.inner",27040.892,14014.625,1.9294767,.05367171,-427.26769,54509.052
"28._at#0.inner",9258.7841,725.67675,12.758827,2.784e-37,7836.4838,10681.084
"28._at#1.inner",25459.312,13162.475,1.9342345,.05308431,-338.66402,51257.289
"29._at#0.inner",9479.9848,757.87401,12.508655,6.695e-36,7994.5791,10965.391
"29._at#1.inner",23939.429,12344.315,1.9393079,.05246385,-254.98461,48133.842
"30._at#0.inner",9751.2409,786.78415,12.393794,2.824e-35,8209.1722,11293.309
"30._at#1.inner",22480.057,11559.484,1.9447284,.05180767,-176.11511,45136.229
"31._at#0.inner",10076.869,810.95137,12.425985,1.889e-35,8487.4337,11666.305
"31._at#1.inner",21080.013,10807.318,1.9505313,.05111283,-101.94196,42261.968
"32._at#0.inner",10461.187,829.23431,12.615477,1.735e-36,8835.9172,12086.456
"32._at#1.inner",19738.113,10087.158,1.9567567,.05037608,-32.352499,39508.579
"33._at#0.inner",10908.51,840.87516,12.972806,1.745e-38,9260.4251,12556.595
