parm,estimate,stderr,z,p,min95,max95
"1._at#0.inner",32545.436,411.99533,78.994674,0,31737.94,33352.932
"1._at#1.inner",45412.178,20677.579,2.1962038,.02807736,4884.8681,85939.489
"2._at#0.inner",32465.723,334.9794,96.918568,0,31809.176,33122.271
"2._at#1.inner",43764.319,19841.766,2.2056665,.02740736,4875.1725,82653.465
"3._at#0.inner",32416.105,273.61213,118.47466,0,31879.835,32952.375
"3._at#1.inner",42160.579,19028.308,2.2156767,.02671365,4865.7806,79455.378
"4._at#0.inner",32394.127,229.7587,140.99195,0,31943.808,32844.446
"4._at#1.inner",40600.387,18236.91,2.2262756,.02599573,4856.7003,76344.073
"5._at#0.inner",32397.332,204.64912,158.30672,0,31996.227,32798.436
"5._at#1.inner",39083.167,17467.274,2.2375081,.02525315,4847.9393,73318.395
"6._at#0.inner",32423.264,196.86227,164.70024,0,32037.421,32809.107
"6._at#1.inner",37608.347,16719.104,2.2494236,.02448556,4839.5053,70377.189
"7._at#0.inner",32469.467,201.66237,161.00905,0,32074.216,32864.718
"7._at#1.inner",36175.352,15992.103,2.262076,.02369271,4831.406,67519.299
"8._at#0.inner",32533.486,213.18692,152.60545,0,32115.647,32951.325
"8._at#1.inner",34783.609,15285.975,2.2755244,.02287449,4823.649,64743.57
"9._at#0.inner",32612.864,226.77536,143.81132,0,32168.393,33057.336
"9._at#1.inner",33432.545,14600.423,2.289834,.02203094,4816.2418,62048.847
"10._at#0.inner",32705.146,239.51587,136.54689,0,32235.703,33174.588
"10._at#1.inner",32121.584,13935.15,2.3050763,.0211623,4809.1922,59433.975
"11._at#0.inner",32807.875,249.81961,131.32626,0,32318.238,33297.513
"11._at#1.inner",30850.153,13289.86,2.3213303,.02026903,4802.5073,56897.8
"12._at#0.inner",32918.596,256.92034,128.12763,0,32415.041,33422.15
"12._at#1.inner",29617.68,12664.256,2.338683,.01935184,4796.1948,54439.165
"13._at#0.inner",33034.852,260.53803,126.79474,0,32524.207,33545.497
"13._at#1.inner",28423.589,12058.042,2.357231,.01841179,4790.2618,52056.916
"14._at#0.inner",33154.188,260.68373,127.18165,0,32643.257,33665.118
"14._at#1.inner",27267.307,11470.921,2.3770809,.01745026,4784.7156,49749.899
"15._at#0.inner",33274.147,257.55152,129.19414,0,32769.355,33778.939
"15._at#1.inner",26148.261,10902.597,2.3983516,.01646905,4779.5633,47516.959
"16._at#0.inner",33392.274,251.45972,132.79373,0,32899.422,33885.126
"16._at#1.inner",25065.877,10352.774,2.4211748,.01547043,4774.8119,45356.941
"17._at#0.inner",33506.112,242.82053,137.98715,0,33030.193,33982.032
"17._at#1.inner",24019.58,9821.1557,2.4456979,.01445721,4770.4684,43268.691
"18._at#0.inner",33613.206,232.12677,144.80538,0,33158.246,34068.166
"18._at#1.inner",23008.797,9307.4454,2.4720851,.01343275,4766.5394,41251.055
"19._at#0.inner",33711.1,219.94952,153.26744,0,33280.007,34142.193
"19._at#1.inner",22032.955,8811.3472,2.5005205,.01240109,4763.0315,39302.878
"20._at#0.inner",33797.337,206.94237,163.31763,0,33391.738,34202.937
"20._at#1.inner",21091.479,8332.5652,2.5312108,.01136695,4759.9511,37423.006
"21._at#0.inner",33869.462,193.84699,174.72266,0,33489.529,34249.395
"21._at#1.inner",20183.796,7870.8034,2.5643882,.01033579,4757.3045,35610.287
"22._at#0.inner",33925.019,181.49059,186.9244,0,33569.304,34280.734
