parm,estimate,stderr,z,p,min95,max95
"1._at#0.inner",30756.175,299.48304,102.69755,0,30169.199,31343.151
"1._at#1.inner",2660.5737,7028.3997,.37854617,.70502491,-11114.836,16435.984
"2._at#0.inner",30851.95,219.8938,140.30387,0,30420.966,31282.934
"2._at#1.inner",2692.8734,6743.1146,.39935157,.68963418,-10523.388,15909.135
"3._at#0.inner",30942.838,155.01404,199.61313,0,30639.016,31246.66
"3._at#1.inner",2724.8242,6465.4799,.42144191,.67343242,-9947.2835,15396.932
"4._at#0.inner",31027.659,110.51247,280.76161,0,30811.059,31244.26
"4._at#1.inner",2756.4354,6195.3939,.44491689,.65637981,-9386.3135,14899.184
"5._at#0.inner",31105.234,95.835515,324.56897,0,30917.4,31293.069
"5._at#1.inner",2787.716,5932.7548,.4698856,.63843675,-8840.2697,14415.702
"6._at#0.inner",31174.385,109.20756,285.45996,0,30960.342,31388.428
"6._at#1.inner",2818.6752,5677.4608,.49646757,.61956456,-8308.9436,13946.294
"7._at#0.inner",31233.931,134.33015,232.51617,0,30970.649,31497.213
"7._at#1.inner",2849.3219,5429.4102,.524794,.5997264,-7792.1266,13490.77
"8._at#0.inner",31282.694,160.29331,195.15908,0,30968.525,31596.863
"8._at#1.inner",2879.6653,5188.5012,.55500909,.57888844,-7289.6101,13048.941
"9._at#0.inner",31319.494,183.04845,171.09948,0,30960.726,31678.262
"9._at#1.inner",2909.7145,4954.632,.58727158,.55702133,-6801.1857,12620.615
"10._at#0.inner",31343.153,201.31182,155.69455,0,30948.589,31737.717
"10._at#1.inner",2939.4787,4727.7009,.62175648,.53410201,-6326.6448,12205.602
"11._at#0.inner",31352.49,214.81413,145.95171,0,30931.462,31773.518
"11._at#1.inner",2968.9667,4507.6061,.65865709,.510116,-5865.779,11803.712
"12._at#0.inner",31346.328,223.707,140.12225,0,30907.87,31784.785
"12._at#1.inner",2998.1879,4294.246,.69818727,.48506009,-5418.3796,11414.755
"13._at#0.inner",31323.486,228.3493,137.17355,0,30875.929,31771.042
"13._at#1.inner",3027.1512,4087.5187,.74058405,.45894568,-4984.2383,11038.541
"14._at#0.inner",31282.785,229.2251,136.4719,0,30833.512,31732.058
"14._at#1.inner",3055.8657,3887.3226,.78611066,.43180266,-4563.1466,10674.878
"15._at#0.inner",31223.047,226.9133,137.59902,0,30778.305,31667.789
"15._at#1.inner",3084.3406,3693.5559,.83505994,.40368396,-4154.896,10323.577
"16._at#0.inner",31143.092,222.08055,140.23331,0,30707.822,31578.362
"16._at#1.inner",3112.5849,3506.117,.88775843,.37467071,-3759.2782,9984.448
"17._at#0.inner",31041.741,215.48487,144.05532,0,30619.399,31464.084
"17._at#1.inner",3140.6078,3324.9042,.94457092,.34487798,-3376.0846,9657.3002
"18._at#0.inner",30917.815,207.98125,148.65674,0,30510.179,31325.451
"18._at#1.inner",3168.4182,3149.8157,1.0059059,.31446083,-3005.1071,9341.9436
"19._at#0.inner",30770.134,200.51841,153.45291,0,30377.125,31163.143
"19._at#1.inner",3196.0254,2980.75,1.0722219,.28362037,-2646.1371,9038.188
"20._at#0.inner",30597.52,194.10976,157.62999,0,30217.072,30977.968
"20._at#1.inner",3223.4384,2817.6053,1.1440348,.25260923,-2298.9665,8745.8433
"21._at#0.inner",30398.793,189.75848,160.19729,0,30026.873,30770.713
"21._at#1.inner",3250.6663,2660.2802,1.2219263,.2217355,-1963.387,8464.7196
"22._at#0.inner",30172.774,188.32693,160.21487,0,29803.66,30541.888
"22._at#1.inner",3277.7181,2508.6729,1.3065546,.19136402,-1639.1904,8194.6266
"23._at#0.inner",29918.284,190.37616,157.15352,0,29545.153,30291.414
"23._at#1.inner",3304.6031,2362.682,1.3986661,.16191315,-1326.1685,7935.3746
"24._at#0.inner",29634.143,196.04416,151.16055,0,29249.904,30018.383
"24._at#1.inner",3331.3302,2222.2058,1.4991096,.13384519,-1024.1132,7686.7735
