parm,estimate,stderr,z,p,min95,max95
"1._at#0.inner",46.615122,9.2507383,5.0390705,4.678e-07,28.484009,64.746236
"1._at#1.inner",-4470.6545,2440.5173,-1.8318471,.06697421,-9253.9806,312.67153
"2._at#0.inner",48.477128,7.0867245,6.8405549,7.889e-12,34.587404,62.366853
"2._at#1.inner",-4346.2724,2341.1672,-1.8564553,.06338869,-8934.8758,242.33109
"3._at#0.inner",50.441575,5.4446487,9.2644315,1.961e-20,39.77026,61.11289
"3._at#1.inner",-4223.3997,2244.4985,-1.8816674,.05988119,-8622.5359,175.73657
"4._at#0.inner",52.495919,4.5100216,11.639838,2.585e-31,43.656439,61.335399
"4._at#1.inner",-4102.0339,2150.4751,-1.9075012,.05645572,-8316.8877,112.81997
"5._at#0.inner",54.627616,4.398353,12.420016,2.035e-35,46.007003,63.24823
"5._at#1.inner",-3982.1725,2059.0612,-1.9339748,.05311623,-8017.8582,53.513304
"6._at#0.inner",56.824125,4.9175989,11.555258,6.944e-31,47.185808,66.462442
"6._at#1.inner",-3863.8129,1970.2206,-1.9611067,.04986658,-7725.3743,-2.2514163
"7._at#0.inner",59.0729,5.7282772,10.312507,6.187e-25,47.845683,70.300117
"7._at#1.inner",-3746.9525,1883.9174,-1.9889154,.04671054,-7439.3628,-54.54217
"8._at#0.inner",61.3614,6.6021935,9.2940928,1.485e-20,48.421338,74.301461
"8._at#1.inner",-3631.5888,1800.1157,-2.0174197,.04365173,-7159.7508,-103.42694
"9._at#0.inner",63.677079,7.4302935,8.5699279,1.035e-17,49.113972,78.240187
"9._at#1.inner",-3517.7193,1718.7794,-2.0466381,.04069363,-6886.465,-148.97368
"10._at#0.inner",66.007396,8.16565,8.0835446,6.291e-16,50.003016,82.011776
"10._at#1.inner",-3405.3414,1639.8725,-2.0765891,.0378395,-6619.4324,-191.25038
"11._at#0.inner",68.339807,8.7899641,7.7747538,7.559e-15,51.111793,85.56782
"11._at#1.inner",-3294.4525,1563.3591,-2.107291,.03509236,-6358.58,-230.32499
"12._at#0.inner",70.661767,9.2985278,7.5992425,2.979e-14,52.436988,88.886547
"12._at#1.inner",-3185.0501,1489.2032,-2.1387613,.03245501,-6103.8347,-266.26547
"13._at#0.inner",72.960735,9.6935311,7.5267448,5.202e-14,53.961763,91.959707
"13._at#1.inner",-3077.1316,1417.3688,-2.1710169,.0299299,-5855.1234,-299.13976
"14._at#0.inner",75.224166,9.9809205,7.5367965,4.817e-14,55.661922,94.786411
"14._at#1.inner",-2970.6944,1347.82,-2.2040736,.02751917,-5612.3731,-329.01581
"15._at#0.inner",77.439518,10.168824,7.6153861,2.629e-14,57.50899,97.370046
"15._at#1.inner",-2865.7361,1280.5208,-2.2379458,.02522459,-5375.5107,-355.96153
"16._at#0.inner",79.594246,10.266704,7.7526581,8.999e-15,59.471876,99.716616
"16._at#1.inner",-2762.254,1215.4352,-2.2726461,.02304751,-5144.4632,-380.04485
"17._at#0.inner",81.675808,10.284873,7.9413528,2.000e-15,61.517827,101.83379
