parm,estimate,stderr,z,p,min95,max95
"1._at#0.inner",1705.9632,434.25127,3.9285162,.00008547,854.84631,2557.08
"1._at#1.inner",46561.89,11169.193,4.1687785,.00003062,24670.675,68453.106
"2._at#0.inner",1533.2407,347.09781,4.4173158,9.993e-06,852.94144,2213.5399
"2._at#1.inner",44782.671,10725.187,4.1754677,.00002974,23761.691,65803.65
"3._at#0.inner",1394.828,277.42286,5.0278049,4.961e-07,851.08918,1938.5668
"3._at#1.inner",43048.781,10292.917,4.1823693,.00002885,22875.034,63222.528
"4._at#0.inner",1289.4798,226.95148,5.681742,1.333e-08,844.66304,1734.2965
"4._at#1.inner",41359.644,9872.2294,4.1894938,.00002796,22010.43,60708.858
"5._at#0.inner",1215.9506,196.88315,6.1760015,6.575e-10,830.06676,1601.8345
"5._at#1.inner",39714.682,9462.9691,4.1968522,.00002707,21167.604,58261.761
"6._at#0.inner",1172.9952,185.57465,6.3208808,2.601e-10,809.2756,1536.7149
"6._at#1.inner",38113.319,9064.9819,4.2044562,.00002617,20346.281,55880.357
"7._at#0.inner",1159.3682,187.5234,6.1825253,6.308e-10,791.82906,1526.9073
"7._at#1.inner",36554.978,8678.1134,4.2123185,.00002528,19546.188,53563.768
"8._at#0.inner",1173.8241,195.92446,5.9912075,2.083e-09,789.81919,1557.8289
"8._at#1.inner",35039.08,8302.2094,4.2204525,.00002438,18767.049,51311.112
"9._at#0.inner",1215.1176,205.53015,5.9121133,3.377e-09,812.28587,1617.9493
"9._at#1.inner",33565.05,7937.1155,4.2288725,.00002349,18008.589,49121.511
"10._at#0.inner",1282.0033,213.23454,6.0121747,1.831e-09,864.07128,1699.9353
"10._at#1.inner",32132.309,7582.6775,4.2375941,.00002259,17270.535,46994.084
"11._at#0.inner",1373.2359,217.48154,6.3142641,2.715e-10,946.97989,1799.4919
"11._at#1.inner",30740.281,7238.7411,4.2466336,.0000217,16552.61,44927.953
"12._at#0.inner",1487.5699,217.64851,6.8347352,8.216e-12,1060.9867,1914.1532
"12._at#1.inner",29388.389,6905.152,4.256009,.00002081,15854.54,42922.238
"13._at#0.inner",1623.7601,213.66289,7.5996355,2.970e-14,1204.9885,2042.5317
"13._at#1.inner",28076.055,6581.756,4.2657392,.00001992,15176.05,40976.059
"14._at#0.inner",1780.561,205.80116,8.6518512,5.067e-18,1377.1982,2183.9239
"14._at#1.inner",26802.701,6268.3989,4.2758449,.00001904,14516.865,39088.537
"15._at#0.inner",1956.7273,194.60071,10.055088,8.724e-24,1575.3169,2338.1377
"15._at#1.inner",25567.752,5964.9265,4.2863482,.00001816,13876.711,37258.793
"16._at#0.inner",2151.0136,180.84691,11.894113,1.270e-32,1796.5602,2505.467
"16._at#1.inner",24370.63,5671.1847,4.2972731,.00001729,13255.312,35485.947
"17._at#0.inner",2362.1745,165.62266,14.262387,3.754e-46,2037.56,2686.7889
"17._at#1.inner",23210.757,5387.0194,4.3086455,.00001643,12652.393,33769.121
"18._at#0.inner",2588.9646,150.41629,17.211997,2.159e-66,2294.1541,2883.7751
"18._at#1.inner",22087.556,5112.2765,4.3204933,.00001557,12067.678,32107.434
"19._at#0.inner",2830.1387,137.25041,20.620256,1.806e-94,2561.1328,3099.1445
"19._at#1.inner",21000.451,4846.802,4.3328469,.00001472,11500.893,30500.008
"20._at#0.inner",3084.4512,128.65758,23.974111,5.18e-127,2832.287,3336.6154
"20._at#1.inner",19948.863,4590.4419,4.3457393,.00001388,10951.763,28945.964
"21._at#0.inner",3350.6569,127.12507,26.357167,4.25e-153,3101.4963,3599.8174
"21._at#1.inner",18932.217,4343.0423,4.3592062,.00001305,10420.011,27444.424
"22._at#0.inner",3627.5103,133.92971,27.085179,1.47e-161,3365.0129,3890.0077
"22._at#1.inner",17949.934,4104.4494,4.3732868,.00001224,9905.3613,25994.507
"23._at#0.inner",3913.7661,148.4182,26.369853,3.04e-153,3622.8718,4204.6604
"23._at#1.inner",17001.438,3874.5094,4.3880235,.00001144,9407.5393,24595.337
"24._at#0.inner",4208.1789,168.64811,24.952422,2.01e-137,3877.6347,4538.7232
"24._at#1.inner",16086.151,3653.0686,4.4034627,.00001065,8926.2684,23246.034
"25._at#0.inner",4509.5034,192.4867,23.42761,2.24e-121,4132.2364,4886.7704
"25._at#1.inner",15203.497,3439.9734,4.4196553,9.886e-06,8461.2727,21945.721
"26._at#0.inner",4816.4942,218.16166,22.077639,5.18e-108,4388.9052,5244.0832
"26._at#1.inner",14352.897,3235.0703,4.4366569,9.137e-06,8012.2757,20693.518
"27._at#0.inner",5127.9059,244.32251,20.988266,8.395e-98,4649.0425,5606.7692
"27._at#1.inner",13533.775,3038.206,4.4545285,8.408e-06,7579.0008,19488.549
"28._at#0.inner",5442.493,269.94554,20.161448,2.135e-90,4913.4095,5971.5766
"28._at#1.inner",12745.554,2849.2272,4.4733372,7.701e-06,7161.1713,18329.937
"29._at#0.inner",5759.0104,294.2388,19.572573,2.650e-85,5182.313,6335.7078
"29._at#1.inner",11987.656,2667.9808,4.4931568,7.018e-06,6758.5099,17216.803
"30._at#0.inner",6076.2125,316.58102,19.193231,4.216e-82,5455.7251,6696.6999
"30._at#1.inner",11259.505,2494.3141,4.5140685,6.360e-06,6370.7389,16148.271
"31._at#0.inner",6392.8541,336.49148,18.998562,1.753e-80,5733.3429,7052.3653
"31._at#1.inner",10560.522,2328.0744,4.536162,5.729e-06,5997.5806,15123.464
"32._at#0.inner",6707.6897,353.62378,18.968435,3.110e-80,6014.5998,7400.7796
"32._at#1.inner",9890.1321,2169.1092,4.5595363,5.127e-06,5638.7562,14141.508
"33._at#0.inner",7019.474,367.77937,19.0861,3.295e-81,6298.6396,7740.3083
"33._at#1.inner",9247.7565,2017.2666,4.5843007,4.555e-06,5293.9867,13201.526
"34._at#0.inner",7326.9615,378.94007,19.33541,2.705e-83,6584.2526,8069.6704
"34._at#1.inner",8632.8185,1872.3947,4.6105761,4.016e-06,4962.9923,12302.645
"35._at#0.inner",7628.907,387.32156,19.696572,2.307e-86,6869.7707,8388.0433
"35._at#1.inner",8044.741,1734.3425,4.6384961,3.510e-06,4645.4921,11443.99
"36._at#0.inner",7924.0651,393.45059,20.139924,3.298e-90,7152.9161,8695.214
"36._at#1.inner",7482.9466,1602.959,4.6682083,3.038e-06,4341.2047,10624.689
"37._at#0.inner",8211.1903,398.26606,20.617349,1.918e-94,7430.6031,8991.7774
"37._at#1.inner",6946.8584,1478.0943,4.6998751,2.603e-06,4049.8469,9843.8699
"38._at#0.inner",8489.0373,403.23436,21.052366,2.175e-98,7698.7125,9279.3621
"38._at#1.inner",6435.8991,1359.5988,4.7336752,2.205e-06,3771.1344,9100.6637
"39._at#0.inner",8756.3608,410.44604,21.333768,5.52e-101,7951.9013,9560.8202
"39._at#1.inner",5949.4914,1247.3241,4.7698039,1.844e-06,3504.7811,8394.2018
"40._at#0.inner",9011.9153,422.6256,21.323638,6.85e-101,8183.5844,9840.2463
"40._at#1.inner",5487.0584,1141.123,4.8084725,1.521e-06,3250.4985,7723.6183
"41._at#0.inner",9254.4556,442.96188,20.892217,6.303e-97,8386.2662,10122.645
"41._at#1.inner",5048.0227,1040.8493,4.8499072,1.235e-06,3007.9955,7088.0499
"42._at#0.inner",9482.7361,474.71459,19.975658,8.969e-89,8552.3126,10413.16
"42._at#1.inner",4631.8072,946.35898,4.8943448,9.863e-07,2776.9777,6486.6367
"43._at#0.inner",9695.5116,520.70393,18.620009,2.212e-77,8674.9507,10716.073
"43._at#1.inner",4237.8347,857.50979,4.9420249,7.732e-07,2557.1464,5918.523
