parm,estimate,stderr,z,p,min95,max95
"1._at#0.inner",95543.035,801.31359,119.23301,0,93972.49,97113.581
"1._at#1.inner",42858.084,13310.745,3.219811,.00128275,16769.503,68946.665
"2._at#0.inner",96590.534,648.1981,149.01391,0,95320.089,97860.979
"2._at#1.inner",41633.319,12764.792,3.2615745,.00110795,16614.787,66651.851
"3._at#0.inner",97552.653,540.52942,180.47612,0,96493.235,98612.071
"3._at#1.inner",40448.431,12233.781,3.3062904,.0009454,16470.662,64426.201
"4._at#0.inner",98428.26,482.34057,204.06382,0,97482.89,99373.63
"4._at#1.inner",39302.861,11717.507,3.3541999,.00079595,16336.969,62268.753
"5._at#0.inner",99216.22,469.68329,211.24068,0,98295.657,100136.78
"5._at#1.inner",38196.048,11215.767,3.4055672,.00066027,16213.549,60178.547
"6._at#0.inner",99915.399,488.90837,204.36426,0,98957.156,100873.64
"6._at#1.inner",37127.432,10728.356,3.4606823,.00053881,16100.24,58154.623
"7._at#0.inner",100524.66,523.93233,191.86574,0,99497.776,101551.55
"7._at#1.inner",36096.452,10255.07,3.519864,.00043177,15996.884,56196.019
"8._at#0.inner",101042.88,562.77567,179.5438,0,99939.863,102145.9
"8._at#1.inner",35102.548,9795.7045,3.5834634,.00033907,15903.32,54301.776
"9._at#0.inner",101468.92,598.39845,169.56748,0,100296.08,102641.76
"9._at#1.inner",34145.161,9350.0556,3.6518671,.00026034,15819.389,52470.933
"10._at#0.inner",101801.64,627.17932,162.31664,0,100572.39,103030.89
"10._at#1.inner",33223.729,8917.919,3.7255025,.00019493,15744.929,50702.529
"11._at#0.inner",102039.92,647.51476,157.58701,0,100770.81,103309.02
"11._at#1.inner",32337.693,8499.0905,3.8048417,.00014189,15679.782,48995.605
"12._at#0.inner",102182.61,658.96429,155.06547,0,100891.06,103474.15
"12._at#1.inner",31486.493,8093.366,3.8904077,.00010008,15623.787,47349.199
"13._at#0.inner",102228.58,661.78387,154.47427,0,100931.51,103525.65
"13._at#1.inner",30669.568,7700.5413,3.9827807,.00006811,15576.784,45762.351
"14._at#0.inner",102176.71,656.6801,155.59586,0,100889.64,103463.78
"14._at#1.inner",29886.357,7320.4125,4.0826056,.00004453,15538.613,44234.102
"15._at#0.inner",102025.85,644.68506,158.25689,0,100762.29,103289.41
"15._at#1.inner",29136.302,6952.7755,4.1906001,.00002782,15509.112,42763.492
"16._at#0.inner",101774.88,627.09846,162.29489,0,100545.79,103003.97
"16._at#1.inner",28418.841,6597.4263,4.3075647,.00001651,15488.123,41349.559
"17._at#0.inner",101422.65,605.46779,167.51122,0,100235.96,102609.35
"17._at#1.inner",27733.414,6254.161,4.4343941,9.233e-06,15475.484,39991.344
"18._at#0.inner",100968.04,581.5864,173.60798,0,99828.154,102107.93
"18._at#1.inner",27079.462,5922.7756,4.5720898,4.829e-06,15471.035,38687.888
"19._at#0.inner",100409.92,557.48832,180.11124,0,99317.258,101502.57
"19._at#1.inner",26456.423,5603.0663,4.7217758,2.338e-06,15474.615,37438.231
"20._at#0.inner",99747.137,535.41024,186.30039,0,98697.752,100796.52
"20._at#1.inner",25863.737,5294.8294,4.884716,1.036e-06,15486.063,36241.412
"21._at#0.inner",98978.573,517.6796,191.19659,0,97963.939,99993.206
"21._at#1.inner",25300.846,4997.8611,5.0623347,4.142e-07,15505.218,35096.473
"22._at#0.inner",98103.09,506.49123,193.69159,0,97110.386,99095.795
"22._at#1.inner",24767.187,4711.9579,5.2562411,1.470e-07,15531.919,34002.455
"23._at#0.inner",97119.555,503.57801,192.85901,0,96132.56,98106.55
"23._at#1.inner",24262.201,4436.9163,5.4682575,4.545e-08,15566.005,32958.397
"24._at#0.inner",96026.834,509.86881,188.33636,0,95027.509,97026.158
"24._at#1.inner",23785.328,4172.5329,5.7004531,1.195e-08,15607.314,31963.342
"25._at#0.inner",94823.793,525.29526,180.51523,0,93794.233,95853.352
"25._at#1.inner",23336.007,3918.6043,5.9551833,2.598e-09,15655.684,31016.33
"26._at#0.inner",93509.298,548.85895,170.37036,0,92433.554,94585.042
"26._at#1.inner",22913.679,3674.9276,6.2351375,4.514e-10,15710.953,30116.404
"27._at#0.inner",92082.216,578.91601,159.05971,0,90947.561,93216.87
"27._at#1.inner",22517.782,3441.2996,6.5433948,6.014e-11,15772.959,29262.605
"28._at#0.inner",90541.413,613.52661,147.57536,0,89338.923,91743.903
"28._at#1.inner",22147.757,3217.5178,6.8834918,5.840e-12,15841.538,28453.976
"29._at#0.inner",88885.756,650.73767,136.5923,0,87610.333,90161.178
"29._at#1.inner",21803.044,3003.3796,7.2595034,3.885e-13,15916.528,27689.56
"30._at#0.inner",87114.11,688.75585,126.48039,0,85764.174,88464.047
"30._at#1.inner",21483.082,2798.6826,7.6761409,1.640e-14,15997.765,26968.399
"31._at#0.inner",85225.343,726.03195,117.38511,0,83802.346,86648.339
"31._at#1.inner",21187.311,2603.2251,8.1388703,3.990e-16,16085.084,26289.539
"32._at#0.inner",83218.32,761.29616,109.31136,0,81726.207,84710.433
"32._at#1.inner",20915.172,2416.8054,8.6540568,4.970e-18,16178.32,25652.023
"33._at#0.inner",81091.908,793.57698,102.18531,0,79536.526,82647.29
"33._at#1.inner",20666.102,2239.2225,9.2291419,2.728e-20,16277.307,25054.898
"34._at#0.inner",78844.973,822.22459,95.892258,0,77233.442,80456.504
"34._at#1.inner",20439.543,2070.2757,9.8728605,5.459e-23,16381.877,24497.209
"35._at#0.inner",76476.382,846.95122,90.296088,0,74816.388,78136.375
"35._at#1.inner",20234.934,1909.7651,10.59551,3.126e-26,16491.864,23978.005
"36._at#0.inner",73985,867.8959,85.246398,0,72283.955,75686.045
"36._at#1.inner",20051.716,1757.4915,11.409282,3.758e-30,16607.096,23496.336
"37._at#0.inner",71369.695,885.7178,80.578367,0,69633.72,73105.67
"37._at#1.inner",19889.326,1613.2566,12.328681,6.348e-35,16727.402,23051.251
"38._at#0.inner",68629.332,901.71682,76.109628,0,66861.999,70396.664
"38._at#1.inner",19747.207,1476.8634,13.371045,8.928e-41,16852.608,22641.806
"39._at#0.inner",65762.777,917.96976,71.639372,0,63963.59,67561.965
"39._at#1.inner",19624.796,1348.1159,14.557202,5.257e-48,16982.538,22267.055
"40._at#0.inner",62768.898,937.4499,66.95707,0,60931.53,64606.267
"40._at#1.inner",19521.535,1226.8202,15.912303,5.206e-57,17117.011,21926.058
"41._at#0.inner",59646.561,964.06843,61.869634,0,57757.022,61536.1
"41._at#1.inner",19436.862,1112.7844,17.466872,2.562e-68,17255.845,21617.88
"42._at#0.inner",56394.631,1002.5521,56.251074,0,54429.665,58359.597
"42._at#1.inner",19370.218,1005.8191,19.258153,1.206e-82,17398.849,21341.587
"43._at#0.inner",53011.976,1058.0886,50.101643,0,50938.16,55085.791
"43._at#1.inner",19321.043,905.73847,21.331812,5.75e-101,17545.828,21096.257
"44._at#0.inner",49497.461,1135.7657,43.580698,0,47271.401,51723.521
"44._at#1.inner",19288.775,812.36081,23.744098,1.26e-124,17696.577,20880.973
"45._at#0.inner",45849.953,1239.9735,36.976558,2.73e-299,43419.649,48280.256
"45._at#1.inner",19272.855,725.50995,26.564564,1.74e-155,17850.882,20694.829
"46._at#0.inner",42068.318,1374.0081,30.617226,7.22e-206,39375.311,44761.324
"46._at#1.inner",19272.723,645.01672,29.879416,3.64e-196,18008.514,20536.933
"47._at#0.inner",38151.422,1540.0121,24.773456,1.73e-135,35133.054,41169.791
"47._at#1.inner",19287.818,570.72107,33.795525,2.29e-250,18169.226,20406.411
"48._at#0.inner",34098.133,1739.1957,19.605691,1.383e-85,30689.372,37506.894
"48._at#1.inner",19317.581,502.47477,38.444878,0,18332.748,20302.413
"49._at#0.inner",29907.315,1972.1704,15.164671,6.060e-52,26041.932,33772.698
"49._at#1.inner",19361.45,440.14486,43.988814,0,18498.782,20224.118
"50._at#0.inner",25577.836,2239.252,11.422491,3.228e-30,21188.983,29966.69
