parm,estimate,stderr,z,p,min95,max95
"1._at#0.inner",169917.11,4273.3051,39.762458,0,161541.59,178292.64
"1._at#1.inner",548424.06,253480.27,2.1635769,.03049684,51611.857,1045236.3
"2._at#0.inner",173494.43,3648.887,47.54722,0,166342.74,180646.12
"2._at#1.inner",528329.73,243556.36,2.1692299,.03006524,50968.038,1005691.4
"3._at#0.inner",176850.19,3143.7194,56.255081,0,170688.61,183011.77
"3._at#1.inner",508775.36,233891,2.1752669,.02961012,50357.423,967193.3
"4._at#0.inner",179993.74,2754.4764,65.3459,0,174595.06,185392.41
"4._at#1.inner",489753.92,224480.83,2.1817182,.02913034,49779.572,929728.26
"5._at#0.inner",182934.43,2472.911,73.97534,0,178087.62,187781.25
"5._at#1.inner",471258.38,215322.49,2.1886166,.02862472,49234.048,893282.7
"6._at#0.inner",185681.62,2283.9182,81.299592,0,181205.22,190158.02
"6._at#1.inner",453281.72,206412.62,2.195998,.02809208,48720.41,857843.03
"7._at#0.inner",188244.65,2166.1323,86.90358,0,183999.11,192490.19
"7._at#1.inner",435816.92,197747.87,2.203902,.02753124,48238.219,823395.62
"8._at#0.inner",190632.88,2095.4923,90.972836,0,186525.79,194739.97
"8._at#1.inner",418856.96,189324.87,2.2123716,.026941,47787.036,789926.88
"9._at#0.inner",192855.66,2049.6817,94.090539,0,188838.35,196872.96
"9._at#1.inner",402394.8,181140.26,2.2214543,.02632021,47366.419,757423.18
"10._at#0.inner",194922.33,2011.022,96.926998,0,190980.8,198863.86
"10._at#1.inner",386423.43,173190.68,2.2312022,.02566774,46975.929,725870.93
"11._at#0.inner",196842.25,1967.2269,100.06077,0,192986.55,200697.94
"11._at#1.inner",370935.82,165472.78,2.2416727,.02498253,46615.126,695256.52
"12._at#0.inner",198624.77,1910.8215,103.94732,0,194879.63,202369.91
"12._at#1.inner",355924.95,157983.2,2.2529291,.02426362,46283.567,665566.34
"13._at#0.inner",200279.24,1838.149,108.95702,0,196676.53,203881.94
"13._at#1.inner",341383.8,150718.58,2.2650413,.02351015,45980.812,636786.78
"14._at#0.inner",201815.01,1748.4741,115.42351,0,198388.06,205241.95
"14._at#1.inner",327305.33,143675.55,2.2780864,.02272143,45706.418,608904.24
"15._at#0.inner",203241.43,1643.3586,123.67443,0,200020.51,206462.35
"15._at#1.inner",313682.52,136850.77,2.2921502,.02189698,45459.944,581905.11
"16._at#0.inner",204567.85,1526.3329,134.02572,0,201576.3,207559.41
"16._at#1.inner",300508.36,130240.87,2.3073277,.02103656,45240.947,555775.78
"17._at#0.inner",205803.63,1402.8432,146.70466,0,203054.11,208553.15
"17._at#1.inner",287775.82,123842.5,2.3237243,.02014028,45048.983,530502.66
"18._at#0.inner",206958.11,1280.4255,161.63229,0,204448.52,209467.7
"18._at#1.inner",275477.87,117652.29,2.3414577,.0192086,44883.607,506072.13
"19._at#0.inner",208040.65,1168.9437,177.9732,0,205749.56,210331.74
"19._at#1.inner",263607.49,111666.9,2.360659,.01824249,44744.376,482470.59
"20._at#0.inner",209060.59,1080.3959,193.50368,0,206943.05,211178.13
"20._at#1.inner",252157.65,105882.97,2.3814751,.01724346,44630.844,459684.45
"21._at#0.inner",210027.29,1027.2744,204.451,0,208013.87,212040.71
"21._at#1.inner",241121.33,100297.13,2.40407,.01621367,44542.563,437700.1
"22._at#0.inner",210950.09,1018.6814,207.08153,0,208953.52,212946.67
"22._at#1.inner",230491.51,94906.042,2.4286284,.01515606,44479.087,416503.93
"23._at#0.inner",211838.36,1055.9045,200.62265,0,209768.82,213907.89
"23._at#1.inner",220261.16,89706.341,2.4553578,.01407444,44439.966,396082.36
"24._at#0.inner",212701.43,1131.5747,187.96941,0,210483.59,214919.28
"24._at#1.inner",210423.26,84694.675,2.4844923,.01297363,44424.751,376421.78
"25._at#0.inner",213548.67,1233.3368,173.14709,0,211131.37,215965.96
"25._at#1.inner",200970.79,79867.691,2.5162965,.01185954,44432.991,357508.59
"26._at#0.inner",214389.41,1348.2315,159.01528,0,211746.92,217031.89
"26._at#1.inner",191896.71,75222.037,2.5510704,.01073926,44464.23,339329.2
"27._at#0.inner",215233.01,1464.9868,146.91806,0,212361.69,218104.34
"27._at#1.inner",183194.02,70754.361,2.5891551,.00962117,44518.016,321870.02
"28._at#0.inner",216088.83,1574.4776,137.24478,0,213002.91,219174.75
"28._at#1.inner",174855.67,66461.313,2.6309391,.00851493,44593.89,305117.45
"29._at#0.inner",216966.21,1669.4633,129.96166,0,213694.13,220238.3
"29._at#1.inner",166874.65,62339.543,2.6768668,.00743142,44691.392,289057.91
"30._at#0.inner",217874.51,1744.2563,124.90969,0,214455.83,221293.19
"30._at#1.inner",159243.94,58385.705,2.7274474,.00638264,44810.059,273677.82
"31._at#0.inner",218823.07,1794.557,121.93709,0,215305.8,222340.34
"31._at#1.inner",151956.5,54596.451,2.7832671,.00538145,44949.426,258963.58
"32._at#0.inner",219821.25,1817.5326,120.94487,0,216258.95,223383.54
"32._at#1.inner",145005.32,50968.438,2.8450023,.00444111,45109.021,244901.63
"33._at#0.inner",220878.39,1812.2151,121.8831,0,217326.51,224430.26
"33._at#1.inner",138383.38,47498.326,2.913437,.00357474,45288.37,231478.39
"34._at#0.inner",222003.85,1780.3666,124.69558,0,218514.39,225493.3
"34._at#1.inner",132083.64,44182.774,2.9894827,.0027945,45486.992,218680.28
"35._at#0.inner",223206.98,1728.0738,129.16519,0,219820.01,226593.94
"35._at#1.inner",126099.08,41018.449,3.0742041,.00211065,45704.401,206493.76
"36._at#0.inner",224497.12,1668.3997,134.55836,0,221227.12,227767.13
"36._at#1.inner",120422.69,38002.017,3.1688498,.00153043,45940.101,194905.27
"37._at#0.inner",225883.64,1624.975,139.00746,0,222698.75,229068.53
"37._at#1.inner",115047.43,35130.154,3.274891,.00105703,46193.589,183901.26
"38._at#0.inner",227375.88,1634.2699,139.12995,0,224172.77,230578.99
"38._at#1.inner",109966.28,32399.537,3.3940693,.00068862,46464.35,173468.2
"39._at#0.inner",228983.19,1740.3925,131.56986,0,225572.08,232394.3
"39._at#1.inner",105172.21,29806.853,3.5284575,.00041799,46751.855,163592.57
"40._at#0.inner",230714.92,1979.112,116.57497,0,226835.93,234593.91
"40._at#1.inner",100658.21,27348.795,3.6805356,.00023274,47055.561,154260.87
"41._at#0.inner",232580.43,2364.519,98.362682,0,227946.06,237214.8
"41._at#1.inner",96417.254,25022.068,3.8532888,.00011654,47374.902,145459.61
"42._at#0.inner",234589.06,2892.9751,81.089207,0,228918.93,240259.18
"42._at#1.inner",92442.308,22823.389,4.0503323,.00005114,47709.289,137175.33
"43._at#0.inner",236750.16,3555.2336,66.592013,0,229782.03,243718.29
"43._at#1.inner",88726.354,20749.49,4.276074,.00001902,48058.101,129394.61
"44._at#0.inner",239073.09,4343.6909,55.039159,0,230559.61,247586.57
"44._at#1.inner",85262.366,18797.124,4.5359261,5.735e-06,48420.68,122104.05
"45._at#0.inner",241567.2,5254.0673,45.97718,0,231269.42,251864.98
"45._at#1.inner",82043.321,16963.069,4.8365847,1.321e-06,48796.316,115290.33
"46._at#0.inner",244241.83,6284.8998,38.861691,0,231923.66,256560.01
"46._at#1.inner",79062.194,15244.136,5.1864004,2.144e-07,49184.236,108940.15
"47._at#0.inner",247106.35,7436.697,33.227971,4.25e-242,232530.69,261682.01
"47._at#1.inner",76311.962,13637.177,5.5958766,2.195e-08,49583.585,103040.34
"48._at#0.inner",250170.09,8711.27,28.717981,2.28e-181,233096.31,267243.86
"48._at#1.inner",73785.6,12139.102,6.0783409,1.214e-09,49993.398,97577.803
"49._at#0.inner",253442.41,10111.282,25.065309,1.19e-138,233624.66,273260.16
"49._at#1.inner",71476.085,10746.893,6.6508604,2.914e-11,50412.562,92539.608
"50._at#0.inner",256932.66,11639.959,22.073331,5.70e-108,234118.76,279746.56
"50._at#1.inner",69376.392,9457.6347,7.3354907,2.209e-13,50839.768,87913.015
"51._at#0.inner",260650.2,13300.903,19.596428,1.659e-85,234580.91,286719.49
"51._at#1.inner",67479.497,8268.5501,8.1609831,3.323e-16,51273.437,83685.557
"52._at#0.inner",264604.37,15097.976,17.525817,9.103e-69,235012.88,294195.86
"52._at#1.inner",65778.376,7177.0554,9.1650924,4.950e-20,51711.606,79845.146
"53._at#0.inner",268804.52,17035.219,15.77934,4.317e-56,235416.1,302192.93
"53._at#1.inner",64266.005,6180.8413,10.397614,2.542e-25,52151.779,76380.231
"54._at#0.inner",273260,19116.802,14.294232,2.377e-46,235791.76,310728.24
"54._at#1.inner",62935.36,5277.9914,11.924112,8.862e-33,52590.687,73280.033
"55._at#0.inner",277980.17,21346.988,13.021986,9.175e-39,236140.84,319819.5
"55._at#1.inner",61779.417,4467.158,13.829691,1.687e-43,53023.948,70534.886
"56._at#0.inner",282974.37,23730.108,11.924698,8.800e-33,236464.22,329484.53
"56._at#1.inner",60791.151,3747.8163,16.220419,3.617e-59,53445.566,68136.736
"57._at#0.inner",288251.97,26270.545,10.97244,5.185e-28,236762.65,339741.29
"57._at#1.inner",59963.54,3120.6031,19.215369,2.753e-82,53847.27,66079.809
"58._at#0.inner",293822.3,28972.72,10.141343,3.621e-24,237036.81,350607.78
"58._at#1.inner",59289.557,2587.683,22.912218,3.51e-116,54217.792,64361.323
"59._at#0.inner",299694.71,31841.086,9.4122013,4.859e-21,237287.33,362102.1
"59._at#1.inner",58762.18,2152.852,27.295039,4.86e-164,54542.668,62981.693
"60._at#0.inner",305878.57,34880.118,8.7694248,1.796e-18,237514.8,374242.35
"60._at#1.inner",58374.385,1820.5746,32.063715,1.41e-225,54806.124,61942.646
"61._at#0.inner",312383.22,38094.309,8.2002595,2.399e-16,237719.74,387046.69
"61._at#1.inner",58119.147,1592.6294,36.492574,1.45e-291,54997.651,61240.643
"62._at#0.inner",319218.01,41488.167,7.694194,1.424e-14,237902.69,400533.32
"62._at#1.inner",57989.442,1462.3281,39.655562,0,55123.332,60855.552
"63._at#0.inner",326392.29,45066.212,7.2425054,4.405e-13,238064.13,414720.44
"63._at#1.inner",57978.246,1410.7919,41.096241,0,55213.145,60743.348
"64._at#0.inner",333915.41,48832.974,6.8379084,8.036e-12,238204.54,429626.28
"64._at#1.inner",58078.535,1410.9209,41.163567,0,55313.181,60843.89
"65._at#0.inner",341796.72,52792.99,6.4742823,9.526e-11,238324.36,445269.08
