parm,estimate,stderr,z,p,min95,max95
"1._at#0.inner",1451.0538,154.49983,9.3919442,5.890e-21,1148.2397,1753.8679
"1._at#1.inner",13935.059,2841.8345,4.9035435,9.412e-07,8365.1658,19504.952
"2._at#0.inner",1370.8584,121.5304,11.279963,1.648e-29,1132.6632,1609.0536
"2._at#1.inner",13437.402,2728.4857,4.924857,8.442e-07,8089.6682,18785.136
"3._at#0.inner",1306.5376,95.007082,13.752002,4.954e-43,1120.3271,1492.748
"3._at#1.inner",12952.873,2618.1449,4.9473478,7.523e-07,7821.4037,18084.343
"4._at#0.inner",1257.6041,75.881708,16.573218,1.088e-61,1108.8787,1406.3295
"4._at#1.inner",12481.301,2510.7724,4.9711002,6.657e-07,7560.2778,17402.325
"5._at#0.inner",1223.571,65.124526,18.788176,9.437e-79,1095.9293,1351.2128
"5._at#1.inner",12022.513,2406.3286,4.9962059,5.847e-07,7306.1958,16738.83
"6._at#0.inner",1203.9513,62.398153,19.294662,5.955e-83,1081.6531,1326.2494
"6._at#1.inner",11576.336,2304.7737,5.0227649,5.093e-07,7059.063,16093.61
"7._at#0.inner",1198.2578,65.246928,18.364968,2.506e-75,1070.3761,1326.1394
"7._at#1.inner",11142.599,2206.0681,5.0508861,4.398e-07,6818.7847,15466.413
"8._at#0.inner",1206.0034,70.59006,17.084607,1.932e-65,1067.6495,1344.3574
"8._at#1.inner",10721.128,2110.1722,5.0806886,3.761e-07,6585.2664,14856.989
"9._at#0.inner",1226.7013,76.260245,16.085724,3.213e-58,1077.2339,1376.1686
"9._at#1.inner",10311.751,2017.0463,5.1123027,3.183e-07,6358.4132,14265.089
"10._at#0.inner",1259.8642,81.115976,15.53164,2.119e-54,1100.8798,1418.8485
"10._at#1.inner",9914.2966,1926.6508,5.1458712,2.663e-07,6138.1305,13690.463
"11._at#0.inner",1305.0051,84.658345,15.414961,1.298e-53,1139.0778,1470.9324
"11._at#1.inner",9528.5913,1838.9459,5.1815506,2.200e-07,5924.3235,13132.859
"12._at#0.inner",1361.6369,86.739278,15.698043,1.560e-55,1191.6311,1531.6428
"12._at#1.inner",9154.4631,1753.8922,5.2195131,1.794e-07,5716.8976,12592.029
"13._at#0.inner",1429.2727,87.406167,16.352081,4.204e-60,1257.9598,1600.5856
"13._at#1.inner",8791.7396,1671.4499,5.2599481,1.441e-07,5515.758,12067.721
"14._at#0.inner",1507.4253,86.826791,17.361292,1.620e-67,1337.2479,1677.6027
"14._at#1.inner",8440.2483,1591.5794,5.3030644,1.139e-07,5320.8099,11559.687
"15._at#0.inner",1595.6077,85.254922,18.715725,3.686e-78,1428.5111,1762.7043
"15._at#1.inner",8099.8169,1514.2413,5.3490927,8.840e-08,5131.9586,11067.675
