parm,estimate,stderr,z,p,min95,max95
"1._at#0.inner",149638.82,4726.1915,31.661608,5.25e-220,140375.66,158901.99
"1._at#1.inner",692891.82,188093.84,3.6837561,.00022982,324234.67,1061549
"2._at#0.inner",153358.99,4065.7922,37.719339,0,145390.19,161327.8
"2._at#1.inner",666571.45,180689.9,3.6890356,.00022511,312425.76,1020717.1
"3._at#0.inner",156845.89,3527.154,44.468115,0,149932.8,163758.98
"3._at#1.inner",640939.26,173479.97,3.694601,.00022023,300924.77,980953.75
"4._at#0.inner",160109.43,3106.6905,51.536975,0,154020.43,166198.43
"4._at#1.inner",615986.37,166461.51,3.7004732,.0002152,289727.8,942244.94
"5._at#0.inner",163159.54,2796.3054,58.348253,0,157678.88,168640.2
"5._at#1.inner",591703.88,159632,3.7066745,.00021,278830.9,904576.86
"6._at#0.inner",166006.12,2581.6842,64.301484,0,160946.12,171066.13
"6._at#1.inner",568082.9,152988.9,3.7132295,.00020463,268230.16,867935.63
"7._at#0.inner",168659.11,2442.647,69.047682,0,163871.61,173446.61
"7._at#1.inner",545114.53,146529.67,3.720165,.00019909,257921.66,832307.4
"8._at#0.inner",171128.42,2356.0533,72.633511,0,166510.64,175746.2
"8._at#1.inner",522789.89,140251.77,3.7275102,.00019338,247901.48,797678.3
"9._at#0.inner",173423.97,2299.7442,75.410113,0,168916.55,177931.39
"9._at#1.inner",501100.07,134152.66,3.7352973,.00018749,238165.69,764034.46
"10._at#0.inner",175555.68,2255.4521,77.836136,0,171135.07,179976.28
"10._at#1.inner",480036.19,128229.82,3.7435613,.00018143,228710.36,731362.03
"11._at#0.inner",177533.46,2209.8798,80.33625,0,173202.17,181864.74
"11._at#1.inner",459589.36,122480.71,3.7523408,.00017519,219531.58,699647.13
"12._at#0.inner",179367.24,2154.4343,83.254912,0,175144.62,183589.85
"12._at#1.inner",439750.67,116902.79,3.7616782,.00016878,210625.41,668875.92
"13._at#0.inner",181066.93,2084.4048,86.867449,0,176981.57,185152.29
