parm,estimate,stderr,z,p,min95,max95
"1._at#0.inner",6428.5775,164.40988,39.10092,0,6106.3401,6750.8149
"1._at#1.inner",-196145,66036.595,-2.970247,.0029756,-325574.34,-66715.648
"2._at#0.inner",6418.1657,126.35954,50.792884,0,6170.5055,6665.8258
"2._at#1.inner",-188221.97,63374.462,-2.9699971,.00297803,-312433.63,-64010.303
"3._at#0.inner",6409.0605,96.65074,66.31155,0,6219.6285,6598.4924
"3._at#1.inner",-180488.49,60783.237,-2.9693793,.00298402,-299621.44,-61355.531
"4._at#0.inner",6401.4025,77.069782,83.059823,0,6250.3485,6552.4565
"4._at#1.inner",-172942.22,58261.985,-2.9683543,.00299399,-287133.61,-58750.823
"5._at#0.inner",6395.3324,69.041744,92.629937,0,6260.0131,6530.6517
"5._at#1.inner",-165580.81,55809.77,-2.9668785,.0030084,-274965.95,-56195.669
"6._at#0.inner",6390.9909,70.872018,90.176505,0,6252.0843,6529.8975
"6._at#1.inner",-158401.92,53425.655,-2.9649036,.00302778,-263114.28,-53689.559
"7._at#0.inner",6388.5186,77.982026,81.922962,0,6235.6766,6541.3605
"7._at#1.inner",-151403.21,51108.706,-2.962376,.00305275,-251574.43,-51231.984
"8._at#0.inner",6388.0561,86.407199,73.929675,0,6218.7011,6557.4111
"8._at#1.inner",-144582.32,48857.986,-2.9592363,.00308403,-240342.22,-48822.431
"9._at#0.inner",6389.7443,93.984448,67.987251,0,6205.5381,6573.9504
"9._at#1.inner",-137936.93,46672.56,-2.9554181,.00312246,-229413.47,-46460.391
"10._at#0.inner",6393.7235,99.743364,64.101744,0,6198.2301,6589.2169
"10._at#1.inner",-131464.68,44551.493,-2.9508478,.00316903,-218784,-44145.354
"11._at#0.inner",6400.1347,103.3148,61.947898,0,6197.6414,6602.628
"11._at#1.inner",-125163.22,42493.849,-2.9454432,.00322492,-208449.63,-41876.807
"12._at#0.inner",6409.1183,104.62621,61.257291,0,6204.0547,6614.1819
"12._at#1.inner",-119030.22,40498.693,-2.9391126,.00329153,-198406.2,-39654.24
"13._at#0.inner",6420.8151,103.76192,61.880267,0,6217.4455,6624.1847
