parm,estimate,stderr,z,p,min95,max95
"1._at#0.inner",13849.715,205.05937,67.540025,0,13447.806,14251.624
"1._at#1.inner",51677.237,19777.144,2.6129777,.00897572,12914.746,90439.727
"2._at#0.inner",13717.272,178.66556,76.776252,0,13367.094,14067.45
"2._at#1.inner",49980.252,18962.133,2.6357928,.0083941,12815.155,87145.35
"3._at#0.inner",13595.238,156.60816,86.810534,0,13288.291,13902.184
"3._at#1.inner",48324.586,18169.33,2.659679,.00782152,12713.353,83935.819
"4._at#0.inner",13482.904,138.84115,97.110293,0,13210.781,13755.028
"4._at#1.inner",46709.762,17398.439,2.68471,.00725928,12609.449,80810.075
"5._at#0.inner",13379.563,125.2092,106.85767,0,13134.157,13624.968
"5._at#1.inner",45135.305,16649.158,2.7109662,.00670875,12503.555,77767.056
"6._at#0.inner",13284.504,115.38111,115.13587,0,13058.362,13510.647
"6._at#1.inner",43600.741,15921.19,2.7385353,.00617135,12395.782,74805.701
"7._at#0.inner",13197.021,108.81891,121.27506,0,12983.74,13410.302
"7._at#1.inner",42105.595,15214.237,2.7675128,.00564858,12286.239,71924.951
"8._at#0.inner",13116.403,104.81878,125.13409,0,12910.962,13321.844
"8._at#1.inner",40649.391,14527.998,2.7980036,.00514195,12175.038,69123.745
"9._at#0.inner",13041.941,102.61511,127.09572,0,12840.819,13243.063
"9._at#1.inner",39231.655,13862.177,2.8301223,.00465302,12062.288,66401.022
"10._at#0.inner",12972.928,101.4951,127.81827,0,12774.002,13171.855
"10._at#1.inner",37851.912,13216.473,2.8639949,.00418335,11948.1,63755.723
"11._at#0.inner",12908.655,100.87457,127.96739,0,12710.944,13106.365
"11._at#1.inner",36509.686,12590.59,2.8997598,.00373449,11832.584,61186.789
"12._at#0.inner",12848.412,100.32336,128.07,0,12651.782,13045.042
"12._at#1.inner",35204.503,11984.228,2.9375695,.00330796,11715.848,58693.159
"13._at#0.inner",12791.491,99.55598,128.48541,0,12596.365,12986.617
"13._at#1.inner",33935.888,11397.09,2.9775924,.00290522,11598.003,56273.774
"14._at#0.inner",12737.183,98.40767,129.43283,0,12544.308,12930.059
"14._at#1.inner",32703.366,10828.877,3.0200145,.00252763,11479.157,53927.575
"15._at#0.inner",12684.78,96.808837,131.02915,0,12495.038,12874.522
"15._at#1.inner",31506.462,10279.292,3.065042,.00217639,11359.42,51653.504
"16._at#0.inner",12633.572,94.763528,133.31682,0,12447.839,12819.305
"16._at#1.inner",30344.701,9748.0369,3.1129037,.00185256,11238.899,49450.502
"17._at#0.inner",12582.851,92.333006,136.27685,0,12401.882,12763.821
"17._at#1.inner",29217.607,9234.8144,3.1638543,.00155695,11117.704,47317.511
"18._at#0.inner",12531.909,89.623592,139.82824,0,12356.25,12707.568
"18._at#1.inner",28124.707,8739.327,3.2181776,.00129008,10995.94,45253.473
"19._at#0.inner",12480.036,86.77717,143.81704,0,12309.956,12650.116
"19._at#1.inner",27065.524,8261.2779,3.276191,.00105217,10873.717,43257.331
"20._at#0.inner",12426.523,83.962385,148.00107,0,12261.96,12591.086
"20._at#1.inner",26039.585,7800.3703,3.3382498,.00084308,10751.14,41328.03
"21._at#0.inner",12370.663,81.364406,152.04022,0,12211.191,12530.134
"21._at#1.inner",25046.413,7356.3078,3.4047533,.00066224,10628.315,39464.512
"22._at#0.inner",12311.745,79.171254,155.50777,0,12156.572,12466.918
"22._at#1.inner",24085.535,6928.7943,3.476151,.00050867,10505.348,37665.723
