parm,estimate,stderr,z,p,min95,max95
"1._at#0.inner",191073.62,13669.017,13.978592,2.106e-44,164282.83,217864.4
"1._at#1.inner",1615290.4,453388.97,3.5627034,.00036706,726664.37,2503916.5
"2._at#0.inner",198151.48,11596.644,17.086967,1.856e-65,175422.47,220880.48
"2._at#1.inner",1553613,435476.59,3.5676154,.00036024,700094.57,2407131.4
"3._at#0.inner",204787.76,9908.4702,20.667949,6.732e-95,185367.51,224208
"3._at#1.inner",1493510.7,418034.8,3.5726946,.00035333,674177.53,2312843.8
"4._at#0.inner",211011.44,8603.1177,24.527322,7.55e-133,194149.63,227873.24
"4._at#1.inner",1434963.4,401057.46,3.5779498,.0003463,648905.27,2221021.6
"5._at#0.inner",216851.51,7665.0218,28.29105,4.45e-176,201828.35,231874.68
"5._at#1.inner",1377951.2,384538.39,3.5833905,.00033916,624269.81,2131632.6
"6._at#0.inner",222336.98,7054.1908,31.518424,4.86e-218,208511.02,236162.94
"6._at#1.inner",1322453.9,368471.46,3.5890268,.00033191,600263.15,2044644.7
"7._at#0.inner",227496.82,6703.8782,33.935107,2.02e-252,214357.46,240636.18
"7._at#1.inner",1268451.6,352850.5,3.5948698,.00032455,576877.31,1960025.8
"8._at#0.inner",232360.04,6531.679,35.574321,3.50e-277,219558.19,245161.9
"8._at#1.inner",1215924.1,337669.35,3.6009311,.00031708,554104.3,1877743.8
"9._at#0.inner",236955.63,6457.4685,36.694817,8.83e-295,224299.22,249612.03
"9._at#1.inner",1164851.3,322921.86,3.6072236,.00030949,531936.13,1797766.6
"10._at#0.inner",241312.57,6416.5455,37.607864,0,228736.37,253888.77
"10._at#1.inner",1115213.4,308601.88,3.6137608,.00030179,510364.8,1720061.9
"11._at#0.inner",245459.86,6363.6979,38.571892,0,232987.25,257932.48
"11._at#1.inner",1066990.1,294703.25,3.6205576,.00029397,489382.33,1644597.8
"12._at#0.inner",249426.5,6271.2639,39.772924,0,237135.05,261717.95
"12._at#1.inner",1020161.4,281219.81,3.6276299,.00028603,468980.71,1571342.1
"13._at#0.inner",253241.47,6125.2937,41.343564,0,241236.11,265246.82
"13._at#1.inner",974707.32,268145.42,3.6349952,.00027799,449151.95,1500262.7
"14._at#0.inner",256933.77,5922.0502,43.385949,0,245326.76,268540.77
"14._at#1.inner",930607.76,255473.93,3.6426722,.00026982,429888.07,1431327.5
"15._at#0.inner",260532.38,5665.5338,45.985496,0,249428.14,271636.62
"15._at#1.inner",887842.66,243199.17,3.6506813,.00026155,411181.05,1364504.3
"16._at#0.inner",264066.31,5366.0382,49.210665,0,253549.07,274583.55
"16._at#1.inner",846391.97,231315.01,3.6590448,.00025316,393022.89,1299761.1
"17._at#0.inner",267564.54,5039.5468,53.092976,0,257687.21,277441.87
"17._at#1.inner",806235.64,219815.28,3.667787,.00024466,375405.6,1237065.7
"18._at#0.inner",271056.07,4707.7002,57.577173,0,261829.14,280282.99
"18._at#1.inner",767353.62,208693.86,3.6769344,.00023605,358321.17,1176386.1
"19._at#0.inner",274569.88,4397.8497,62.432757,0,265950.25,283189.51
"19._at#1.inner",729725.84,197944.58,3.6865159,.00022735,341761.59,1117690.1
"20._at#0.inner",278134.97,4142.2042,67.146611,0,270016.4,286253.55
"20._at#1.inner",693332.25,187561.3,3.6965635,.00021854,325718.86,1060945.6
"21._at#0.inner",281780.34,3974.4205,70.898473,0,273990.62,289570.06
"21._at#1.inner",658152.8,177537.88,3.707112,.00020964,310184.95,1006120.6
"22._at#0.inner",285534.97,3922.3696,72.79655,0,277847.27,293222.68
"22._at#1.inner",624167.43,167868.18,3.7181998,.00020065,295151.85,953183.02
"23._at#0.inner",289427.86,3998.9979,72.375098,0,281589.97,297265.76
"23._at#1.inner",591356.1,158546.05,3.7298695,.00019158,280611.54,902100.65
"24._at#0.inner",293488,4197.3314,69.922524,0,285261.39,301714.62
"24._at#1.inner",559698.73,149565.37,3.7421679,.00018244,266555.99,852841.47
"25._at#0.inner",297744.38,4493.8942,66.255316,0,288936.51,306552.26
"25._at#1.inner",529175.29,140920,3.7551469,.00017324,252977.17,805373.4
"26._at#0.inner",302226,4857.3342,62.220549,0,292705.8,311746.2
"26._at#1.inner",499765.71,132603.79,3.7688643,.00016399,239867.05,759664.37
"27._at#0.inner",306961.84,5256.014,58.402021,0,296660.24,317263.44
"27._at#1.inner",471449.94,124610.64,3.7833842,.00015471,227217.57,715682.31
"28._at#0.inner",311980.9,5661.9161,55.101646,0,300883.75,323078.05
"28._at#1.inner",444207.92,116934.42,3.7987783,.00014541,215020.68,673395.17
"29._at#0.inner",317312.17,6051.7404,52.433209,0,305450.98,329173.36
"29._at#1.inner",418019.61,109569,3.8151267,.00013611,203268.32,632770.89
"30._at#0.inner",322984.64,6406.7911,50.412857,0,310427.56,335541.72
"30._at#1.inner",392864.93,102508.27,3.8325193,.00012684,191952.41,593777.46
"31._at#0.inner",329027.31,6712.6731,49.01584,0,315870.71,342183.91
"31._at#1.inner",368723.85,95746.135,3.8510573,.00011761,181064.88,556382.83
"32._at#0.inner",335469.16,6959.2666,48.204672,0,321829.25,349109.08
"32._at#1.inner",345576.31,89276.488,3.8708547,.00010845,170597.61,520555.01
"33._at#0.inner",342339.2,7141.1899,47.938677,0,328342.73,356335.68
"33._at#1.inner",323402.25,83093.24,3.8920404,.0000994,160542.49,486262
"34._at#0.inner",349666.41,7258.9016,48.170705,0,335439.22,363893.59
