parm,estimate,stderr,z,p,min95,max95
"1._at#0.inner",73145.645,983.5443,74.369446,0,71217.933,75073.356
"1._at#1.inner",28346.351,33966.988,.83452646,.40398438,-38227.723,94920.424
"2._at#0.inner",73952.288,765.2843,96.633745,0,72452.358,75452.217
"2._at#1.inner",27396.715,32528.434,.84223896,.39965421,-36357.845,91151.274
"3._at#0.inner",74706.049,591.49199,126.30103,0,73546.746,75865.352
"3._at#1.inner",26487.388,31130.03,.85086293,.3948455,-34526.348,87501.125
"4._at#0.inner",75404.933,470.79063,160.1666,0,74482.201,76327.666
"4._at#1.inner",25617.726,29771.222,.8604862,.38952109,-32732.797,83968.248
"5._at#0.inner",76046.949,411.68064,184.72316,0,75240.07,76853.828
"5._at#1.inner",24787.081,28451.459,.87120597,.3836417,-30976.754,80550.916
"6._at#0.inner",76630.101,409.77023,187.00749,0,75826.966,77433.236
"6._at#1.inner",23994.809,27170.189,.88313,.37716604,-29257.783,77247.4
"7._at#0.inner",77152.396,443.65479,173.90187,0,76282.848,78021.943
"7._at#1.inner",23240.263,25926.858,.89637789,.37005097,-27575.446,74055.972
"8._at#0.inner",77611.84,490.73359,158.15473,0,76650.019,78573.66
"8._at#1.inner",22522.797,24720.916,.91108263,.36225184,-25929.308,70974.902
"9._at#0.inner",78006.439,537.15008,145.2228,0,76953.644,79059.234
"9._at#1.inner",21841.766,23551.809,.9273923,.35372289,-24318.931,68002.464
"10._at#0.inner",78334.201,576.26933,135.93331,0,77204.733,79463.668
"10._at#1.inner",21196.525,22418.986,.94547206,.34441793,-22743.88,65136.929
"11._at#0.inner",78593.13,605.42366,129.8151,0,77406.521,79779.738
"11._at#1.inner",20586.426,21321.893,.96550647,.3342912,-21203.717,62376.569
"12._at#0.inner",78781.234,623.97756,126.25652,0,77558.26,80004.207
"12._at#1.inner",20010.824,20259.979,.98770211,.32329856,-19698.006,59719.654
"13._at#0.inner",78896.518,632.39245,124.75879,0,77657.051,80135.984
"13._at#1.inner",19469.074,19232.692,1.0122906,.31139911,-18226.31,57164.458
"14._at#0.inner",78936.989,631.79294,124.94123,0,77698.697,80175.28
"14._at#1.inner",18960.53,18239.479,1.0395324,.29855719,-16788.193,54709.253
"15._at#0.inner",78900.653,623.77064,126.48985,0,77678.085,80123.221
"15._at#1.inner",18484.545,17279.788,1.0697206,.2847451,-15383.218,52352.308
"16._at#0.inner",78785.517,610.30083,129.09292,0,77589.349,79981.684
"16._at#1.inner",18040.475,16353.067,1.103186,.2699464,-14010.948,50091.898
"17._at#0.inner",78589.586,593.70635,132.37114,0,77425.943,79753.229
"17._at#1.inner",17627.673,15458.764,1.1403028,.25416016,-12670.949,47926.294
"18._at#0.inner",78310.868,576.61924,135.81036,0,77180.715,79441.02
"18._at#1.inner",17245.493,14596.327,1.1814954,.23740598,-11362.782,45853.767
"19._at#0.inner",77947.367,561.88709,138.72425,0,76846.089,79048.646
"19._at#1.inner",16893.289,13765.202,1.227246,.21973015,-10086.011,43872.59
"20._at#0.inner",77497.091,552.36684,140.30004,0,76414.472,78579.71
"20._at#1.inner",16570.417,12964.839,1.2781043,.20121266,-8840.2016,41981.035
"21._at#0.inner",76958.046,550.57789,139.77685,0,75878.933,78037.159
"21._at#1.inner",16276.229,12194.686,1.3346985,.18197504,-7624.916,40177.374
"22._at#0.inner",76328.238,558.27369,136.7219,0,75234.042,77422.434
"22._at#1.inner",16010.08,11454.189,1.3977489,.16218849,-6439.7184,38459.879
"23._at#0.inner",75605.673,576.10106,131.23682,0,74476.536,76734.811
"23._at#1.inner",15771.325,10742.798,1.4680835,.14208154,-5284.1728,36826.822
"24._at#0.inner",74788.358,603.52842,123.91854,0,73605.464,75971.252
"24._at#1.inner",15559.317,10059.961,1.5466579,.12194577,-4157.8434,35276.477
"25._at#0.inner",73874.299,639.07648,115.5954,0,72621.732,75126.866
"25._at#1.inner",15373.411,9405.1243,1.6345781,.10213751,-3060.2942,33807.116
"26._at#0.inner",72861.502,680.70951,107.03759,0,71527.336,74195.669
"26._at#1.inner",15212.96,8777.7379,1.7331299,.08307258,-1991.0897,32417.011
"27._at#0.inner",71747.974,726.20619,98.798351,0,70324.636,73171.312
"27._at#1.inner",15077.32,8177.2495,1.8438131,.06521038,-949.79441,31104.435
"28._at#0.inner",70531.72,773.41515,91.195163,0,69015.854,72047.586
"28._at#1.inner",14965.844,7603.1075,1.9683852,.04902374,64.027054,29867.661
"29._at#0.inner",69210.748,820.39458,84.362756,0,67602.804,70818.691
"29._at#1.inner",14877.886,7054.7605,2.1089144,.03495197,1050.8097,28704.963
"30._at#0.inner",67783.062,865.47675,78.318756,0,66086.759,69479.366
"30._at#1.inner",14812.801,6531.6572,2.2678473,.02333852,2010.9883,27614.614
