parm,estimate,stderr,z,p,min95,max95
"1._at#0.inner",62100.778,1949.3289,31.857517,1.04e-222,58280.163,65921.392
"1._at#1.inner",90446.285,21017.348,4.3034109,.00001682,49253.04,131639.53
"2._at#0.inner",62784.943,1714.968,36.60998,1.98e-293,59423.668,66146.218
"2._at#1.inner",87038.053,20170.826,4.3150466,.00001596,47503.962,126572.14
"3._at#0.inner",63379.466,1519.9663,41.697942,0,60400.387,66358.545
"3._at#1.inner",83719.102,19346.963,4.3272478,.0000151,45799.752,121638.45
"4._at#0.inner",63886.523,1362.84,46.877494,0,61215.406,66557.64
"4._at#1.inner",80488.278,18545.458,4.3400534,.00001424,44139.848,116836.71
"5._at#0.inner",64308.291,1240.9913,51.820097,0,61875.993,66740.589
"5._at#1.inner",77344.429,17766.01,4.3535058,.0000134,42523.688,112165.17
"6._at#0.inner",64646.947,1150.414,56.194507,0,62392.177,66901.717
"6._at#1.inner",74286.402,17008.318,4.3676512,.00001256,40950.711,107622.09
"7._at#0.inner",64904.666,1085.7539,59.778434,0,62776.628,67032.705
"7._at#1.inner",71313.046,16272.081,4.3825401,.00001173,39420.354,103205.74
"8._at#0.inner",65083.626,1040.8123,62.531572,0,63043.672,67123.581
"8._at#1.inner",68423.206,15556.996,4.3982275,.00001091,37932.055,98914.358
"9._at#0.inner",65186.004,1009.3124,64.584568,0,63207.788,67164.22
"9._at#1.inner",65615.732,14862.763,4.4147734,.00001011,36485.251,94746.212
"10._at#0.inner",65213.976,985.60847,66.166208,0,63282.218,67145.733
"10._at#1.inner",62889.469,14189.081,4.432244,9.326e-06,35079.381,90699.556
"11._at#0.inner",65169.718,965.11474,67.525357,0,63278.128,67061.308
"11._at#1.inner",60243.266,13535.648,4.4507115,8.559e-06,33713.882,86772.649
"12._at#0.inner",65055.407,944.43137,68.883149,0,63204.356,66906.459
"12._at#1.inner",57675.969,12902.165,4.4702553,7.813e-06,32388.191,82963.747
"13._at#0.inner",64873.22,921.26758,70.417348,0,63067.569,66678.871
"13._at#1.inner",55186.427,12288.328,4.4909629,7.090e-06,31101.746,79271.108
"14._at#0.inner",64625.334,894.27661,72.265486,0,62872.584,66378.084
"14._at#1.inner",52773.486,11693.839,4.5129308,6.394e-06,29853.983,75692.99
"15._at#0.inner",64313.924,862.8798,74.534047,0,62622.711,66005.138
"15._at#1.inner",50435.995,11118.396,4.5362655,5.726e-06,28644.34,72227.65
"16._at#0.inner",63941.169,827.11729,77.306048,0,62320.048,65562.289
"16._at#1.inner",48172.8,10561.698,4.5610848,5.089e-06,27472.253,68873.347
"17._at#0.inner",63509.243,787.53708,80.64286,0,61965.699,65052.787
"17._at#1.inner",45982.749,10023.445,4.5875196,4.485e-06,26337.158,65628.339
"18._at#0.inner",63020.324,745.12149,84.577247,0,61559.913,64480.736
"18._at#1.inner",43864.689,9503.3359,4.6157149,3.917e-06,25238.493,62490.885
"19._at#0.inner",62476.589,701.24324,89.094034,0,61102.178,63851.001
"19._at#1.inner",41817.467,9001.0711,4.6458323,3.387e-06,24175.692,59459.243
"20._at#0.inner",61880.214,657.63779,94.094675,0,60591.268,63169.161
"20._at#1.inner",39839.932,8516.3503,4.6780523,2.896e-06,23148.192,56531.672
"21._at#0.inner",61233.376,616.36829,99.345435,0,60025.316,62441.436
"21._at#1.inner",37930.93,8048.8733,4.7125764,2.446e-06,22155.429,53706.432
"22._at#0.inner",60538.251,579.74313,104.42254,0,59401.976,61674.527
"22._at#1.inner",36089.309,7598.3404,4.7496305,2.038e-06,21196.836,50981.783
"23._at#0.inner",59797.016,550.13004,108.69615,0,58718.781,60875.251
"23._at#1.inner",34313.917,7164.4522,4.7894683,1.672e-06,20271.848,48355.985
"24._at#0.inner",59011.848,529.62031,111.42293,0,57973.811,60049.885
"24._at#1.inner",32603.599,6746.9092,4.8323756,1.349e-06,19379.9,45827.299
"25._at#0.inner",58184.923,519.57249,111.98615,0,57166.58,59203.266
"25._at#1.inner",30957.205,6345.4125,4.878675,1.068e-06,18520.425,43393.985
"26._at#0.inner",57318.418,520.2007,110.1852,0,56298.843,58337.992
"26._at#1.inner",29373.582,5959.6634,4.9287316,8.277e-07,17692.856,41054.307
"27._at#0.inner",56414.509,530.44143,106.35389,0,55374.863,57454.155
"27._at#1.inner",27851.576,5589.3637,4.98296,6.262e-07,16896.624,38806.528
"28._at#0.inner",55475.373,548.19587,101.19626,0,54400.929,56549.818
"28._at#1.inner",26390.035,5234.2155,5.0418321,4.611e-07,16131.162,36648.909
"29._at#0.inner",54503.187,570.80132,95.485392,0,53384.437,55621.937
"29._at#1.inner",24987.808,4893.9214,5.1058865,3.292e-07,15395.898,34579.717
"30._at#0.inner",53500.128,595.49107,89.842032,0,52332.987,54667.269
"30._at#1.inner",23643.74,4568.1849,5.1757405,2.270e-07,14690.262,32597.217
"31._at#0.inner",52468.371,619.70471,84.66673,0,51253.772,53682.97
"31._at#1.inner",22356.679,4256.7097,5.2521033,1.504e-07,14013.681,30699.677
"32._at#0.inner",51410.094,641.24909,80.1718,0,50153.268,52666.919
"32._at#1.inner",21125.474,3959.2009,5.3357923,9.513e-08,13365.583,28885.365
"33._at#0.inner",50327.473,658.37419,76.44205,0,49037.083,51617.862
"33._at#1.inner",19948.97,3675.364,5.4277536,5.707e-08,12745.389,27152.551
"34._at#0.inner",49222.684,669.83051,73.485283,0,47909.841,50535.528
"34._at#1.inner",18826.017,3404.9061,5.5290854,3.219e-08,12152.523,25499.51
"35._at#0.inner",48097.905,674.95943,71.260439,0,46775.009,49420.801
"35._at#1.inner",17755.46,3147.5354,5.6410676,1.690e-08,11586.404,23924.516
"36._at#0.inner",46955.312,673.85913,69.681199,0,45634.573,48276.052
"36._at#1.inner",16736.148,2902.9619,5.7651972,8.156e-09,11046.447,22425.848
"37._at#0.inner",45797.082,667.66775,68.592622,0,44488.477,47105.687
"37._at#1.inner",15766.927,2670.8973,5.9032323,3.564e-09,10532.065,21001.79
