parm,estimate,stderr,z,p,min95,max95
"1._at#0.inner",123548.41,1376.929,89.72751,0,120849.68,126247.14
"1._at#1.inner",14184.526,20376.013,.69613845,.48634213,-25751.726,54120.778
"2._at#0.inner",124923.15,1060.6088,117.78437,0,122844.39,127001.9
"2._at#1.inner",14333.26,19528.844,.73395335,.46297717,-23942.57,52609.091
"3._at#0.inner",126212.65,807.42037,156.3159,0,124630.13,127795.16
"3._at#1.inner",14491.819,18704.956,.77475823,.43848253,-22169.222,51152.86
"4._at#0.inner",127413.26,630.98589,201.92728,0,126176.55,128649.97
"4._at#1.inner",14660.002,17904.033,.81881004,.4128948,-20431.258,49751.262
"5._at#0.inner",128521.35,546.60952,235.12461,0,127450.02,129592.69
"5._at#1.inner",14837.609,17125.756,.86639148,.38627551,-18728.256,48403.475
"6._at#0.inner",129533.27,549.23869,235.84148,0,128456.78,130609.75
"6._at#1.inner",15024.441,16369.809,.91781409,.3587162,-17059.794,47108.677
"7._at#0.inner",130445.36,604.72661,215.70964,0,129260.11,131630.6
"7._at#1.inner",15220.298,15635.873,.97342167,.33034377,-15425.45,45866.045
"8._at#0.inner",131253.98,677.84054,193.63548,0,129925.44,132582.53
"8._at#1.inner",15424.978,14923.631,1.0335942,.30132592,-13824.801,44674.758
"9._at#0.inner",131955.49,748.29173,176.34231,0,130488.87,133422.12
"9._at#1.inner",15638.284,14232.766,1.0987522,.27187616,-12257.426,43533.993
"10._at#0.inner",132546.24,806.96708,164.25235,0,130964.62,134127.87
"10._at#1.inner",15860.013,13562.961,1.1693622,.24225774,-10722.901,42442.928
"11._at#0.inner",133022.59,850.46425,156.41173,0,131355.71,134689.47
"11._at#1.inner",16089.968,12913.897,1.2459421,.21278566,-9220.8055,41400.741
"12._at#0.inner",133380.88,878.16692,151.88556,0,131659.7,135102.05
"12._at#1.inner",16327.947,12285.258,1.3290683,.18382544,-7750.7164,40406.61
"13._at#0.inner",133617.47,890.9133,149.97809,0,131871.31,135363.63
"13._at#1.inner",16573.75,11676.726,1.4193833,.15578729,-6312.212,39459.712
"14._at#0.inner",133728.72,890.39929,150.1896,0,131983.57,135473.87
"14._at#1.inner",16827.178,11087.984,1.5176049,.12911403,-4904.8702,38559.227
"15._at#0.inner",133710.97,878.91222,152.13234,0,131988.34,135433.61
"15._at#1.inner",17088.031,10518.714,1.6245362,.10426143,-3528.2691,37704.331
"16._at#0.inner",133560.59,859.21669,155.44459,0,131876.56,135244.62
"16._at#1.inner",17356.108,9968.5989,1.741078,.08166991,-2181.9866,36894.203
"17._at#0.inner",133273.92,834.50371,159.70441,0,131638.33,134909.52
