parm,estimate,stderr,z,p,min95,max95
"1._at#0.inner",51477.367,4710.9046,10.927279,8.537e-28,42244.164,60710.57
"1._at#1.inner",626285.92,178939.83,3.4999806,.00046529,275570.3,977001.53
"2._at#0.inner",54097.338,3951.4087,13.690646,1.155e-42,46352.719,61841.956
"2._at#1.inner",602352.07,171875.33,3.5045871,.00045732,265482.61,939221.53
"3._at#0.inner",56573.604,3338.0113,16.948296,1.981e-64,50031.222,63115.986
"3._at#1.inner",579028.54,164996.3,3.5093426,.00044922,255641.73,902415.35
"4._at#0.inner",58917.197,2872.7605,20.508914,1.793e-93,53286.69,64547.704
"4._at#1.inner",556307.56,158300.31,3.5142545,.00044099,246044.66,866570.47
"5._at#0.inner",61139.148,2551.7138,23.960033,7.26e-127,56137.881,66140.415
"5._at#1.inner",534181.38,151784.93,3.5193309,.00043264,236688.39,831674.37
"6._at#0.inner",63250.488,2359.2857,26.809169,2.53e-158,58626.373,67874.603
"6._at#1.inner",512642.22,145447.73,3.5245803,.00042415,227569.9,797714.54
"7._at#0.inner",65262.249,2266.8644,28.789658,2.89e-182,60819.277,69705.222
"7._at#1.inner",491682.33,139286.3,3.530012,.00041554,218686.19,764678.47
"8._at#0.inner",67185.462,2238.9744,30.007249,7.89e-198,62797.153,71573.772
"8._at#1.inner",471293.93,133298.21,3.5356358,.0004068,210034.23,732553.63
"9._at#0.inner",69031.159,2242.4498,30.783814,4.32e-208,64636.038,73426.28
"9._at#1.inner",451469.27,127481.04,3.5414621,.00039792,201611.03,701327.51
"10._at#0.inner",70810.37,2252.0386,31.442788,5.27e-217,66396.456,75224.285
"10._at#1.inner",432200.58,121832.35,3.5475025,.0003889,193413.55,670987.6
"11._at#0.inner",72534.128,2251.2275,32.219812,9.32e-228,68121.803,76946.453
"11._at#1.inner",413480.09,116349.74,3.5537691,.00037975,185438.8,641521.39
"12._at#0.inner",74213.463,2230.6637,33.269678,1.06e-242,69841.442,78585.483
"12._at#1.inner",395300.05,111030.76,3.5602751,.00037047,177683.76,612916.35
"13._at#0.inner",75859.407,2186.2101,34.699047,8.14e-264,71574.514,80144.3
"13._at#1.inner",377652.69,105873.01,3.5670347,.00036104,170145.41,585159.98
"14._at#0.inner",77482.991,2117.4351,36.592853,3.72e-293,73332.894,81633.087
"14._at#1.inner",360530.25,100874.05,3.5740633,.00035148,162820.74,558239.76
"15._at#0.inner",79095.246,2026.6513,39.027555,0,75123.083,83067.41
"15._at#1.inner",343924.96,96031.472,3.5813775,.00034179,155706.73,532143.18
"16._at#0.inner",80707.205,1918.4142,42.069749,0,76947.182,84467.227
"16._at#1.inner",327829.05,91342.844,3.5889954,.00033195,148800.37,506857.73
