parm,estimate,stderr,z,p,min95,max95
"1._at#0.inner",4585.1061,155.52613,29.481259,5.01e-191,4280.2805,4889.9317
"1._at#1.inner",43803.594,45116.235,.97090535,.33159541,-44622.602,132229.79
"2._at#0.inner",4678.9246,133.01424,35.176117,4.64e-271,4418.2214,4939.6277
"2._at#1.inner",41671.892,43208,.96444852,.33482111,-43014.233,126358.02
"3._at#0.inner",4765.4782,118.61203,40.177022,0,4533.0029,4997.9535
"3._at#1.inner",39609.526,41352.974,.95783984,.33814353,-41440.814,120659.87
"4._at#0.inner",4844.7965,112.06674,43.23135,0,4625.1497,5064.4433
"4._at#1.inner",37615.462,39550.426,.95107602,.34156579,-39901.948,115132.87
"5._at#0.inner",4916.9088,111.93787,43.925338,0,4697.5146,5136.303
"5._at#1.inner",35688.663,37799.624,.94415394,.34509099,-38397.237,109774.56
"6._at#0.inner",4981.8445,116.02277,42.938506,0,4754.4441,5209.245
"6._at#1.inner",33828.097,36099.837,.93707063,.34872223,-36926.283,104582.48
"7._at#0.inner",5039.6331,122.19733,41.241759,0,4800.1307,5279.1354
"7._at#1.inner",32032.727,34450.334,.92982341,.35246252,-35488.687,99554.142
"8._at#0.inner",5090.3039,128.88735,39.494207,0,4837.6893,5342.9184
"8._at#1.inner",30301.52,32850.385,.92240988,.35631482,-34084.052,94687.092
"9._at#0.inner",5133.8863,135.08781,38.004069,0,4869.1191,5398.6536
"9._at#1.inner",28633.44,31299.259,.91482805,.36028191,-32711.98,89978.86
"10._at#0.inner",5170.4099,140.21297,36.875403,1.15e-297,4895.5975,5445.2222
"10._at#1.inner",27027.452,29796.223,.90707644,.36436638,-31372.073,85426.977
"11._at#0.inner",5199.9039,143.95026,36.122921,9.91e-286,4917.7666,5482.0412
"11._at#1.inner",25482.522,28340.549,.89915416,.36857055,-30063.932,81028.977
"12._at#0.inner",5222.3978,146.15873,35.731002,1.31e-279,4935.932,5508.8637
"12._at#1.inner",23997.615,26931.503,.89106112,.37289638,-28787.161,76782.392
"13._at#0.inner",5237.9211,146.80583,35.679244,8.30e-279,4950.1869,5525.6552
"13._at#1.inner",22571.697,25568.356,.88279811,.37734536,-27541.361,72684.754
"14._at#0.inner",5246.503,145.92948,35.952319,4.66e-283,4960.4865,5532.5196
"14._at#1.inner",21203.731,24250.377,.87436707,.38191838,-26326.135,68733.597
"15._at#0.inner",5248.1731,143.61542,36.543242,2.28e-292,4966.6921,5529.6542
"15._at#1.inner",19892.684,22976.834,.86577132,.38661558,-25141.084,64926.452
"16._at#0.inner",5242.9608,139.98414,37.453964,5.18e-307,4968.5969,5517.3247
"16._at#1.inner",18637.521,21746.998,.85701583,.39143613,-23985.811,61260.853
"17._at#0.inner",5230.8954,135.18346,38.69479,0,4965.9407,5495.8501
