parm,estimate,stderr,z,p,min95,max95
"1._at#0.inner",1114.6225,451.91204,2.466459,.01364563,228.8912,2000.3538
"1._at#1.inner",17240.018,5631.376,3.0614219,.00220288,6202.724,28277.312
"2._at#0.inner",1417.9887,379.2907,3.7385273,.0001851,674.59254,2161.3848
"2._at#1.inner",16589.842,5409.9371,3.0665499,.00216545,5986.5601,27193.124
"3._at#0.inner",1685.3839,318.87138,5.2854663,1.254e-07,1060.4075,2310.3604
"3._at#1.inner",15956.025,5194.2965,3.0718357,.00212747,5775.3912,26136.659
"4._at#0.inner",1918.7809,271.13922,7.0767365,1.476e-12,1387.3577,2450.204
"4._at#1.inner",15338.364,4984.3786,3.0772872,.00208894,5569.1618,25107.567
"5._at#0.inner",2120.1519,236.4004,8.9684784,3.006e-19,1656.8156,2583.4882
"5._at#1.inner",14736.655,4780.1075,3.0829129,.00204985,5367.8164,24105.493
"6._at#0.inner",2291.4696,214.24158,10.695728,1.066e-26,1871.5639,2711.3754
"6._at#1.inner",14150.693,4581.4076,3.0887218,.0020102,5171.2996,23130.087
"7._at#0.inner",2434.7065,203.00779,11.993168,3.859e-33,2036.8186,2832.5945
"7._at#1.inner",13580.276,4388.2032,3.0947236,.00196996,4979.5557,22180.996
"8._at#0.inner",2551.8351,199.8816,12.766733,2.515e-37,2160.0743,2943.5958
"8._at#1.inner",13025.199,4200.4186,3.1009287,.00192915,4792.5294,21257.868
"9._at#0.inner",2644.8278,201.66449,13.11499,2.702e-39,2249.5726,3040.0829
"9._at#1.inner",12485.257,4017.978,3.1073483,.00188774,4610.165,20360.349
"10._at#0.inner",2715.6571,205.59867,13.208534,7.833e-40,2312.6912,3118.6231
"10._at#1.inner",11960.248,3840.8058,3.1139945,.00184573,4432.407,19488.089
"11._at#0.inner",2766.2957,209.7187,13.190506,9.952e-40,2355.2546,3177.3368
"11._at#1.inner",11449.967,3668.8263,3.1208802,.00180311,4259.2,18640.735
"12._at#0.inner",2798.716,212.8093,13.151286,1.673e-39,2381.6174,3215.8145
"12._at#1.inner",10954.211,3501.9638,3.1280195,.00175988,4090.4882,17817.934
"13._at#0.inner",2814.8904,214.22571,13.139835,1.947e-39,2395.0157,3234.7651
"13._at#1.inner",10472.775,3340.1425,3.1354277,.00171604,3926.2163,17019.334
"14._at#0.inner",2816.7915,213.72305,13.179634,1.149e-39,2397.902,3235.681
"14._at#1.inner",10005.456,3183.2869,3.1431211,.00167157,3766.3285,16244.584
