parm,estimate,stderr,z,p,min95,max95
"1._at#0.inner",1770.3941,90.308545,19.603839,1.434e-85,1593.3926,1947.3956
"1._at#1.inner",-17227.662,6092.3097,-2.8277718,.00468732,-29168.37,-5286.9542
"2._at#0.inner",1807.0696,78.900429,22.903165,4.32e-116,1652.4276,1961.7116
"2._at#1.inner",-16648.304,5838.6503,-2.8513959,.00435277,-28091.848,-5204.7595
"3._at#0.inner",1842.0722,71.033838,25.93232,2.88e-148,1702.8485,1981.296
"3._at#1.inner",-16079.612,5592.0218,-2.875456,.00403444,-27039.774,-5119.4511
"4._at#0.inner",1875.3437,66.479707,28.209265,4.50e-175,1745.0459,2005.6415
"4._at#1.inner",-15521.489,5352.327,-2.8999514,.0037322,-26011.857,-5031.1203
"5._at#0.inner",1906.8254,64.670555,29.485218,4.45e-191,1780.0735,2033.5774
"5._at#1.inner",-14973.833,5119.4687,-2.9248802,.00344589,-25007.807,-4939.8584
"6._at#0.inner",1936.4589,64.805809,29.880947,3.48e-196,1809.4419,2063.476
"6._at#1.inner",-14436.546,4893.3496,-2.9502379,.00317529,-24027.335,-4845.7565
"7._at#0.inner",1964.1857,66.065715,29.730787,3.07e-194,1834.6993,2093.6721
"7._at#1.inner",-13909.528,4673.8726,-2.9760178,.00292018,-23070.15,-4748.906
"8._at#0.inner",1989.9473,67.773467,29.361746,1.69e-189,1857.1137,2122.7809
"8._at#1.inner",-13392.68,4460.9403,-3.0022102,.00268027,-22135.963,-4649.3979
"9._at#0.inner",2013.6852,69.444855,28.996895,7.20e-185,1877.5758,2149.7946
"9._at#1.inner",-12885.903,4254.4556,-3.0288019,.00245526,-21224.483,-4547.3236
"10._at#0.inner",2035.3409,70.76624,28.761467,6.51e-182,1896.6416,2174.0402
"10._at#1.inner",-12389.098,4054.3212,-3.0557761,.00224479,-20335.421,-4442.7743
"11._at#0.inner",2054.8559,71.551803,28.718436,2.25e-181,1914.6169,2195.0949
"11._at#1.inner",-11902.164,3860.44,-3.0831109,.00204849,-19468.488,-4335.8411
"12._at#0.inner",2072.1717,71.70502,28.898559,1.24e-183,1931.6325,2212.711
"12._at#1.inner",-11425.004,3672.7147,-3.110779,.00186595,-18623.392,-4226.6153
"13._at#0.inner",2087.2299,71.190496,29.318941,5.95e-189,1947.6991,2226.7607
"13._at#1.inner",-10957.517,3491.0481,-3.138747,.00169672,-17799.845,-4115.188
"14._at#0.inner",2099.9719,70.015134,29.993114,1.21e-197,1962.7448,2237.1991
"14._at#1.inner",-10499.603,3315.343,-3.1669735,.00154034,-16997.556,-4001.6505
"15._at#0.inner",2110.3393,68.216143,30.936069,3.91e-210,1976.6381,2244.0405
"15._at#1.inner",-10051.165,3145.5023,-3.1954086,.00139633,-16216.236,-3886.0938
"16._at#0.inner",2118.2735,65.853756,32.166328,5.22e-227,1989.2025,2247.3445
"16._at#1.inner",-9612.1019,2981.4286,-3.2239919,.00126417,-15455.595,-3768.6091
"17._at#0.inner",2123.716,63.007239,33.705906,4.74e-249,2000.2241,2247.208
"17._at#1.inner",-9182.3149,2823.025,-3.2526509,.00114334,-14715.342,-3649.2876
"18._at#0.inner",2126.6085,59.773281,35.577911,3.08e-277,2009.455,2243.762
"18._at#1.inner",-8761.7047,2670.1941,-3.2812988,.0010333,-13995.189,-3528.2203
"19._at#0.inner",2126.8923,56.266238,37.800506,0,2016.6125,2237.1721
"19._at#1.inner",-8350.1718,2522.8389,-3.3098316,.00093352,-13294.845,-3405.4985
"20._at#0.inner",2124.509,52.619779,40.374723,0,2021.3761,2227.6419
"20._at#1.inner",-7947.6171,2380.8621,-3.3381257,.00084346,-12614.021,-3281.2131
"21._at#0.inner",2119.4001,48.989263,43.262542,0,2023.3829,2215.4173
"21._at#1.inner",-7553.941,2244.1667,-3.3660338,.00076257,-11952.427,-3155.4551
"22._at#0.inner",2111.507,45.553279,46.352471,0,2022.2243,2200.7898
"22._at#1.inner",-7169.0444,2112.6555,-3.3933807,.00069036,-11309.773,-3028.3157
"23._at#0.inner",2100.7714,42.511055,49.417062,0,2017.4513,2184.0916
"23._at#1.inner",-6792.8279,1986.2314,-3.4199579,.00062631,-10685.77,-2899.8858
"24._at#0.inner",2087.1347,40.070129,52.087047,0,2008.5987,2165.6707
"24._at#1.inner",-6425.192,1864.7974,-3.4455176,.00056997,-10080.128,-2770.2564
"25._at#0.inner",2070.5384,38.418356,53.894508,0,1995.2398,2145.837
"25._at#1.inner",-6066.0376,1748.2563,-3.4697645,.00052091,-9492.557,-2639.5183
"26._at#0.inner",2050.924,37.681264,54.428218,0,1977.0701,2124.778
"26._at#1.inner",-5715.2653,1636.5111,-3.4923473,.0004788,-8922.7682,-2507.7624
"27._at#0.inner",2028.2331,37.881316,53.54178,0,1953.9871,2102.4791
"27._at#1.inner",-5372.7756,1529.4649,-3.5128466,.00044333,-8370.4718,-2375.0794
"28._at#0.inner",2002.4071,38.925222,51.442406,0,1926.1151,2078.6991
"28._at#1.inner",-5038.4694,1427.0207,-3.5307612,.00041437,-7835.3786,-2241.5602
"29._at#0.inner",1973.3876,40.629926,48.569805,0,1893.7544,2053.0207
"29._at#1.inner",-4712.2473,1329.0816,-3.5454914,.00039188,-7317.1992,-2107.2953
"30._at#0.inner",1941.116,42.769575,45.38544,0,1857.2891,2024.9428
"30._at#1.inner",-4394.0098,1235.5506,-3.5563172,.00037609,-6815.6445,-1972.3752
"31._at#0.inner",1905.5338,45.117192,42.235204,0,1817.1058,1993.9619
"31._at#1.inner",-4083.6578,1146.331,-3.5623723,.00036752,-6330.4253,-1836.8903
"32._at#0.inner",1866.5827,47.468836,39.322276,0,1773.5454,1959.6199
"32._at#1.inner",-3781.0918,1061.3261,-3.5626108,.00036718,-5861.2528,-1700.9309
"33._at#0.inner",1824.204,49.652799,36.739197,1.73e-295,1726.8863,1921.5217
"33._at#1.inner",-3486.2126,980.43925,-3.5557661,.00037688,-5407.8382,-1564.587
"34._at#0.inner",1778.3393,51.531094,34.510023,5.67e-261,1677.3402,1879.3383
"34._at#1.inner",-3198.9208,903.57391,-3.5402979,.00039968,-4969.8931,-1427.9485
"35._at#0.inner",1728.93,52.999037,32.621914,2.01e-233,1625.0538,1832.8062
"35._at#1.inner",-2919.117,830.63371,-3.5143252,.00044087,-4547.1292,-1291.1048
"36._at#0.inner",1675.9178,53.98637,31.043351,1.40e-211,1570.1065,1781.7291
"36._at#1.inner",-2646.702,761.52245,-3.4755403,.00050983,-4139.2585,-1154.1454
"37._at#0.inner",1619.2441,54.461993,29.731635,3.00e-194,1512.5005,1725.9876
"37._at#1.inner",-2381.5763,696.14412,-3.4210966,.00062369,-3745.9937,-1017.1589
"38._at#0.inner",1558.8504,54.444093,28.632131,2.68e-180,1452.1419,1665.5588
"38._at#1.inner",-2123.6407,634.403,-3.3474632,.00081555,-3367.0477,-880.23369
"39._at#0.inner",1494.6782,54.017609,27.670203,1.59e-168,1388.8056,1600.5508
"39._at#1.inner",-1872.7959,576.20369,-3.2502323,.00115311,-3002.1343,-743.45738
"40._at#0.inner",1426.669,53.360766,26.736292,1.78e-157,1322.0838,1531.2542
"40._at#1.inner",-1628.9424,521.45122,-3.1238634,.00178493,-2650.968,-606.91678
"41._at#0.inner",1354.7644,52.779589,25.668339,2.64e-145,1251.3183,1458.2105
"41._at#1.inner",-1391.981,470.05118,-2.9613392,.00306304,-2313.2644,-470.69758
"42._at#0.inner",1278.9058,52.739724,24.249383,6.71e-130,1175.5378,1382.2738
"42._at#1.inner",-1161.8123,421.90989,-2.7536977,.00589262,-1988.7405,-334.8841
"43._at#0.inner",1199.0347,53.865575,22.259759,9.07e-110,1093.4602,1304.6093
"43._at#1.inner",-938.337,376.9346,-2.4893894,.01279627,-1677.1152,-199.55876
"44._at#0.inner",1115.0928,56.862729,19.610258,1.264e-85,1003.6439,1226.5417
"44._at#1.inner",-721.45577,335.03384,-2.1533818,.03128868,-1378.11,-64.801512
"45._at#0.inner",1027.0213,62.357827,16.469806,6.046e-61,904.80223,1149.2404
"45._at#1.inner",-511.06926,296.11786,-1.7258981,.08436575,-1091.4496,69.311092
"46._at#0.inner",934.76196,70.74723,13.2127,7.412e-40,796.09994,1073.424
"46._at#1.inner",-307.07814,260.09931,-1.1806188,.23775418,-816.86341,202.70713
"47._at#0.inner",838.25618,82.169264,10.201578,1.951e-24,677.20738,999.30497
"47._at#1.inner",-109.38308,226.89411,-.48208866,.62974296,-554.08735,335.3212
"48._at#0.inner",737.44547,96.593358,7.6345361,2.266e-14,548.12597,926.76498
"48._at#1.inner",82.115264,196.42293,.41805334,.67590812,-302.86661,467.09714
"49._at#0.inner",632.27136,113.92829,5.5497309,2.861e-08,408.97601,855.56671
"49._at#1.inner",267.51621,168.6133,1.5865665,.11261086,-62.959785,597.99221
"50._at#0.inner",522.67535,134.08865,3.8979834,.000097,259.86642,785.48428
"50._at#1.inner",446.91911,143.40284,3.116529,.00182994,165.85471,727.98351
"51._at#0.inner",408.59894,157.01964,2.6022155,.00926236,100.8461,716.35178
"51._at#1.inner",620.42328,120.74433,5.1383225,2.772e-07,383.76875,857.07781
"52._at#0.inner",289.98364,182.69972,1.5872145,.11246407,-68.101222,648.0685
"52._at#1.inner",788.12807,100.61352,7.8332221,4.755e-15,590.92919,985.32695
"53._at#0.inner",166.77096,211.13536,.789877,.42959961,-247.04673,580.58865
"53._at#1.inner",950.1328,83.020858,11.444507,2.505e-30,787.41491,1112.8507
"54._at#0.inner",38.902409,242.35451,.16051861,.87247256,-436.1037,513.90852
"54._at#1.inner",1106.5368,68.027148,16.266106,1.717e-59,973.20605,1239.8676
"55._at#0.inner",-93.68051,276.40095,-.33892977,.73466264,-635.41641,448.05539
"55._at#1.inner",1257.4394,55.757825,22.551802,1.29e-112,1148.1561,1366.7228
"56._at#0.inner",-231.03629,313.32997,-.73735778,.46090481,-845.15174,383.07916
