parm,estimate,stderr,z,p,min95,max95
"1._at#0.inner",23374.5,3247.5188,7.1976488,6.126e-13,17009.48,29739.52
"1._at#1.inner",395972.06,85771.83,4.6165746,3.901e-06,227862.36,564081.75
"2._at#0.inner",23323.53,2517.3181,9.2652295,1.947e-20,18389.677,28257.382
"2._at#1.inner",380940.4,82359.288,4.6253483,3.740e-06,219519.16,542361.63
"3._at#0.inner",23352.751,1933.6629,12.07695,1.398e-33,19562.841,27142.66
"3._at#1.inner",366289.37,79037.013,4.634403,3.580e-06,211379.67,521199.07
"4._at#0.inner",23463.309,1520.3928,15.432399,9.912e-54,20483.394,26443.224
"4._at#1.inner",352014.17,75803.818,4.6437525,3.421e-06,203441.41,500586.92
"5._at#0.inner",23656.351,1302.0258,18.168881,9.104e-74,21104.428,26208.275
"5._at#1.inner",338109.96,72658.514,4.6534115,3.265e-06,195701.89,480518.03
"6._at#0.inner",23933.024,1266.2887,18.900132,1.138e-79,21451.143,26414.904
"6._at#1.inner",324571.94,69599.914,4.6633957,3.110e-06,188158.62,460985.27
"7._at#0.inner",24294.472,1346.6358,18.040863,9.308e-73,21655.115,26933.83
"7._at#1.inner",311395.28,66626.829,4.673722,2.958e-06,180809.09,441981.47
"8._at#0.inner",24741.844,1468.9108,16.843666,1.168e-63,21862.831,27620.856
"8._at#1.inner",298575.16,63738.073,4.6844084,2.808e-06,173650.84,423499.49
"9._at#0.inner",25276.284,1586.3386,15.933726,3.697e-57,22167.117,28385.45
"9._at#1.inner",286106.77,60932.457,4.695474,2.660e-06,166681.35,405532.19
"10._at#0.inner",25898.939,1676.3434,15.449662,7.584e-54,22613.366,29184.512
"10._at#1.inner",273985.28,58208.795,4.7069396,2.515e-06,159898.14,388072.42
"11._at#0.inner",26610.955,1729.8647,15.383259,2.120e-53,23220.483,30001.428
"11._at#1.inner",262205.88,55565.899,4.7188273,2.372e-06,153298.72,371113.04
"12._at#0.inner",27413.48,1744.7593,15.711898,1.254e-55,23993.814,30833.145
"12._at#1.inner",250763.75,53002.581,4.731161,2.232e-06,146880.6,354646.9
"13._at#0.inner",28307.658,1722.6145,16.432961,1.111e-60,24931.395,31683.92
"13._at#1.inner",239654.06,50517.656,4.7439664,2.096e-06,140641.28,338666.85
"14._at#0.inner",29294.636,1667.3284,17.569806,4.196e-69,26026.732,32562.54
