parm,estimate,stderr,z,p,min95,max95
"1._at#0.inner",-4.1812722,.00183489,-2278.7546,0,-4.1848686,-4.1776759
"1._at#1.inner",-4.0853479,.08733728,-46.776679,0,-4.2565258,-3.91417
"2._at#0.inner",-4.1794449,.00146056,-2861.5406,0,-4.1823075,-4.1765822
"2._at#1.inner",-4.0877141,.08371631,-48.828168,0,-4.2517951,-3.9236332
"3._at#0.inner",-4.1776156,.00114813,-3638.6249,0,-4.1798659,-4.1753653
"3._at#1.inner",-4.0899426,.08019463,-51.000204,0,-4.2471211,-3.932764
"4._at#0.inner",-4.1757834,.0009091,-4593.3375,0,-4.1775652,-4.1740016
"4._at#1.inner",-4.0920352,.07677089,-53.301913,0,-4.2425034,-3.941567
"5._at#0.inner",-4.1739475,.00075973,-5494.0089,0,-4.1754365,-4.1724584
"5._at#1.inner",-4.0939941,.07344373,-55.743273,0,-4.2379411,-3.950047
"6._at#0.inner",-4.1721069,.00070904,-5884.1775,0,-4.1734965,-4.1707172
"6._at#1.inner",-4.0958211,.07021181,-58.335213,0,-4.2334337,-3.9582085
"7._at#0.inner",-4.1702607,.00073979,-5637.125,0,-4.1717106,-4.1688107
"7._at#1.inner",-4.0975182,.06707378,-61.089718,0,-4.2289804,-3.9660561
"8._at#0.inner",-4.168408,.00081584,-5109.3443,0,-4.170007,-4.166809
"8._at#1.inner",-4.0990875,.06402828,-64.019956,0,-4.2245807,-3.9735944
"9._at#0.inner",-4.1665479,.00090656,-4595.9856,0,-4.1683247,-4.164771
"9._at#1.inner",-4.1005309,.06107396,-67.140413,0,-4.2202337,-3.9808282
"10._at#0.inner",-4.1646795,.00099425,-4188.764,0,-4.1666282,-4.1627308
"10._at#1.inner",-4.1018504,.05820948,-70.467057,0,-4.2159389,-3.9877619
"11._at#0.inner",-4.1628018,.0010702,-3889.7394,0,-4.1648994,-4.1607043
"11._at#1.inner",-4.1030479,.05543347,-74.017518,0,-4.2116955,-3.9944003
"12._at#0.inner",-4.1609141,.00113056,-3680.388,0,-4.1631299,-4.1586982
"12._at#1.inner",-4.1041255,.0527446,-77.811296,0,-4.207503,-4.000748
"13._at#0.inner",-4.1590153,.00117401,-3542.5794,0,-4.1613163,-4.1567142
"13._at#1.inner",-4.105085,.0501415,-81.870003,0,-4.2033606,-4.0068095
"14._at#0.inner",-4.1571045,.00120055,-3462.6584,0,-4.1594575,-4.1547515
"14._at#1.inner",-4.1059286,.04762284,-86.217636,0,-4.1992676,-4.0125895
"15._at#0.inner",-4.1551809,.001211,-3431.2046,0,-4.1575544,-4.1528074
"15._at#1.inner",-4.1066581,.04518725,-90.8809,0,-4.1952235,-4.0180927
"16._at#0.inner",-4.1532435,.00120663,-3442.0321,0,-4.1556084,-4.1508785
"16._at#1.inner",-4.1072755,.04283339,-95.88957,0,-4.1912274,-4.0233236
"17._at#0.inner",-4.1512914,.00118906,-3491.2505,0,-4.1536219,-4.1489609
"17._at#1.inner",-4.1077829,.04055991,-101.27693,0,-4.1872788,-4.0282869
"18._at#0.inner",-4.1493238,.00116017,-3576.4745,0,-4.1515977,-4.1470499
"18._at#1.inner",-4.1081821,.03836545,-107.08025,0,-4.183377,-4.0329872
"19._at#0.inner",-4.1473396,.00112209,-3696.0906,0,-4.1495389,-4.1451404
"19._at#1.inner",-4.1084752,.03624867,-113.34141,0,-4.1795213,-4.0374291
"20._at#0.inner",-4.1453381,.00107715,-3848.4427,0,-4.1474492,-4.1432269
"20._at#1.inner",-4.1086642,.03420821,-120.10754,0,-4.175711,-4.0416173
"21._at#0.inner",-4.1433182,.00102792,-4030.7875,0,-4.1453329,-4.1413035
"21._at#1.inner",-4.1087509,.03224273,-127.43186,0,-4.1719455,-4.0455564
"22._at#0.inner",-4.1412791,.0009772,-4237.9138,0,-4.1431943,-4.1393638
"22._at#1.inner",-4.1087375,.03035087,-135.37462,0,-4.1682241,-4.0492509
"23._at#0.inner",-4.1392198,.00092798,-4460.4795,0,-4.1410386,-4.137401
"23._at#1.inner",-4.1086258,.02853129,-144.00423,0,-4.1645461,-4.0527056
"24._at#0.inner",-4.1371396,.00088334,-4683.5222,0,-4.1388709,-4.1354083
"24._at#1.inner",-4.1084179,.02678262,-153.39863,0,-4.1609109,-4.055925
"25._at#0.inner",-4.1350373,.00084626,-4886.2511,0,-4.136696,-4.1333787
"25._at#1.inner",-4.1081158,.02510354,-163.64689,0,-4.1573178,-4.0589137
"26._at#0.inner",-4.1329122,.00081926,-5044.6769,0,-4.134518,-4.1313065
"26._at#1.inner",-4.1077213,.02349267,-174.85116,0,-4.1537661,-4.0616765
"27._at#0.inner",-4.1307634,.000804,-5137.7834,0,-4.1323392,-4.1291876
"27._at#1.inner",-4.1072365,.02194869,-187.12904,0,-4.1502551,-4.0642178
"28._at#0.inner",-4.1285898,.00080086,-5155.1638,0,-4.1301595,-4.1270202
"28._at#1.inner",-4.1066633,.02047022,-200.61643,0,-4.1467842,-4.0665424
"29._at#0.inner",-4.1263907,.00080886,-5101.4654,0,-4.1279761,-4.1248054
"29._at#1.inner",-4.1060038,.01905594,-215.47108,0,-4.1433528,-4.0686549
"30._at#0.inner",-4.1241651,.00082576,-4994.4021,0,-4.1257835,-4.1225466
"30._at#1.inner",-4.1052599,.01770448,-231.87685,0,-4.1399601,-4.0705598
"31._at#0.inner",-4.121912,.00084848,-4858.0226,0,-4.123575,-4.1202491
"31._at#1.inner",-4.1044336,.01641451,-250.04911,0,-4.1366055,-4.0722618
"32._at#0.inner",-4.1196307,.00087356,-4715.8916,0,-4.1213428,-4.1179185
"32._at#1.inner",-4.1035269,.01518467,-270.24142,0,-4.1332883,-4.0737654
"33._at#0.inner",-4.1173201,.00089754,-4587.3288,0,-4.1190793,-4.115561
"33._at#1.inner",-4.1025416,.01401362,-292.7539,0,-4.1300078,-4.0750755
"34._at#0.inner",-4.1149794,.00091712,-4486.858,0,-4.1167769,-4.1131819
"34._at#1.inner",-4.1014799,.01290001,-317.94388,0,-4.1267635,-4.0761964
"35._at#0.inner",-4.1126076,.00092929,-4425.5524,0,-4.114429,-4.1107863
"35._at#1.inner",-4.1003437,.01184251,-346.23955,0,-4.1235546,-4.0771329
"36._at#0.inner",-4.1102039,.00093136,-4413.1066,0,-4.1120293,-4.1083785
"36._at#1.inner",-4.099135,.01083976,-378.15744,0,-4.1203805,-4.0778895
"37._at#0.inner",-4.1077673,.000921,-4460.1318,0,-4.1095725,-4.1059622
"37._at#1.inner",-4.0978557,.00989043,-414.32536,0,-4.1172406,-4.0784708
"38._at#0.inner",-4.105297,.00089621,-4580.747,0,-4.1070535,-4.1035404
"38._at#1.inner",-4.0965079,.00899318,-455.5125,0,-4.1141342,-4.0788815
"39._at#0.inner",-4.1027919,.00085547,-4795.9289,0,-4.1044686,-4.1011152
"39._at#1.inner",-4.0950934,.00814669,-502.6696,0,-4.1110606,-4.0791262
"40._at#0.inner",-4.1002513,.00079797,-5138.3324,0,-4.1018153,-4.0986873
"40._at#1.inner",-4.0936143,.00734962,-556.98317,0,-4.1080193,-4.0792093
"41._at#0.inner",-4.0976742,.00072412,-5658.8352,0,-4.0990934,-4.0962549
"41._at#1.inner",-4.0920726,.00660065,-619.94978,0,-4.1050096,-4.0791355
"42._at#0.inner",-4.0950597,.00063689,-6429.8129,0,-4.0963079,-4.0938114
"42._at#1.inner",-4.0904702,.00589848,-693.47916,0,-4.102031,-4.0789094
"43._at#0.inner",-4.0924068,.00054511,-7507.5482,0,-4.0934752,-4.0913384
"43._at#1.inner",-4.0888091,.00524179,-780.0401,0,-4.0990828,-4.0785353
"44._at#0.inner",-4.0897147,.0004711,-8681.1752,0,-4.0906381,-4.0887914
"44._at#1.inner",-4.0870912,.00462932,-882.87014,0,-4.0961645,-4.0780179
"45._at#0.inner",-4.0869825,.00045886,-8906.8258,0,-4.0878818,-4.0860831
"45._at#1.inner",-4.0853187,.00405981,-1006.2833,0,-4.0932758,-4.0773616
"46._at#0.inner",-4.0842092,.00054964,-7430.7457,0,-4.0852865,-4.083132
"46._at#1.inner",-4.0834934,.00353203,-1156.1308,0,-4.090416,-4.0765707
"47._at#0.inner",-4.081394,.00073852,-5526.4756,0,-4.0828415,-4.0799465
"47._at#1.inner",-4.0816172,.00304483,-1340.5065,0,-4.087585,-4.0756495
"48._at#0.inner",-4.0785359,.0010001,-4078.114,0,-4.0804961,-4.0765757
"48._at#1.inner",-4.0796923,.00259712,-1570.85,0,-4.0847826,-4.0746021
"49._at#0.inner",-4.075634,.00131849,-3091.1475,0,-4.0782182,-4.0730499
"49._at#1.inner",-4.0777206,.00218796,-1863.705,0,-4.0820089,-4.0734322
"50._at#0.inner",-4.0726875,.00168683,-2414.4041,0,-4.0759936,-4.0693814
"50._at#1.inner",-4.075704,.00181663,-2243.552,0,-4.0792645,-4.0721434
"51._at#0.inner",-4.0696954,.00210272,-1935.4428,0,-4.0738166,-4.0655741
"51._at#1.inner",-4.0736445,.00148278,-2747.3032,0,-4.0765507,-4.0707383
"52._at#0.inner",-4.0666567,.00256576,-1584.9745,0,-4.0716855,-4.0616279
"52._at#1.inner",-4.0715441,.00118676,-3430.803,0,-4.0738701,-4.069218
"53._at#0.inner",-4.0635707,.00307649,-1320.8471,0,-4.0696005,-4.0575409
"53._at#1.inner",-4.0694047,.00093022,-4374.6714,0,-4.0712279,-4.0675815
"54._at#0.inner",-4.0604363,.00363596,-1116.7425,0,-4.0675627,-4.0533099
"54._at#1.inner",-4.0672285,.00071726,-5670.546,0,-4.0686342,-4.0658227
"55._at#0.inner",-4.0572527,.0042455,-955.66018,0,-4.0655737,-4.0489317
"55._at#1.inner",-4.0650172,.00055619,-7308.7004,0,-4.0661073,-4.0639271
"56._at#0.inner",-4.0540189,.00490655,-826.24582,0,-4.0636356,-4.0444023
"56._at#1.inner",-4.0627729,.00045944,-8842.907,0,-4.0636734,-4.0618725
"57._at#0.inner",-4.0507342,.00562069,-720.68243,0,-4.0617505,-4.0397178
"57._at#1.inner",-4.0604977,.00043313,-9374.7299,0,-4.0613466,-4.0596488
"58._at#0.inner",-4.0473974,.00638953,-633.44174,0,-4.0599207,-4.0348742
"58._at#1.inner",-4.0581934,.00046146,-8794.31,0,-4.0590978,-4.0572889
"59._at#0.inner",-4.0440078,.00721473,-560.52065,0,-4.0581484,-4.0298672
"59._at#1.inner",-4.055862,.00051628,-7855.9162,0,-4.0568739,-4.0548501
"60._at#0.inner",-4.0405644,.00809798,-498.95968,0,-4.0564361,-4.0246927
"60._at#1.inner",-4.0535055,.00057673,-7028.4695,0,-4.0546359,-4.0523751
"61._at#0.inner",-4.0370663,.00904096,-446.53056,0,-4.0547863,-4.0193464
"61._at#1.inner",-4.0511259,.00063204,-6409.6101,0,-4.0523647,-4.0498871
"62._at#0.inner",-4.0335127,.0100454,-401.5282,0,-4.0532013,-4.013824
"62._at#1.inner",-4.0487252,.0006775,-5975.9942,0,-4.0500531,-4.0473973
"63._at#0.inner",-4.0299025,.01111302,-362.62895,0,-4.0516836,-4.0081214
"63._at#1.inner",-4.0463053,.00071139,-5687.858,0,-4.0476996,-4.044911
"64._at#0.inner",-4.0262349,.01224554,-328.79198,0,-4.0502357,-4.0022341
"64._at#1.inner",-4.0438682,.00073353,-5512.8646,0,-4.0453059,-4.0424305
"65._at#0.inner",-4.022509,.01344469,-299.18934,0,-4.0488601,-3.9961579
"65._at#1.inner",-4.0414159,.00074455,-5427.9999,0,-4.0428752,-4.0399567
"66._at#0.inner",-4.0187238,.01471222,-273.1555,0,-4.0475593,-3.9898884
"66._at#1.inner",-4.0389504,.00074558,-5417.1954,0,-4.0404117,-4.0374891
"67._at#0.inner",-4.0148786,.01604986,-250.15044,0,-4.0463357,-3.9834214
"67._at#1.inner",-4.0364737,.00073811,-5468.6582,0,-4.0379203,-4.035027
"68._at#0.inner",-4.0109722,.01745934,-229.73215,0,-4.0451919,-3.9767525
"68._at#1.inner",-4.0339876,.00072391,-5572.4702,0,-4.0354065,-4.0325688
"69._at#0.inner",-4.0070039,.01894242,-211.53601,0,-4.0441304,-3.9698775
"69._at#1.inner",-4.0314943,.00070501,-5718.3138,0,-4.0328761,-4.0301125
"70._at#0.inner",-4.0029728,.02050083,-195.25904,0,-4.0431537,-3.9627919
"70._at#1.inner",-4.0289956,.00068367,-5893.1903,0,-4.0303356,-4.0276556
"71._at#0.inner",-3.9988778,.02213632,-180.64779,0,-4.0422642,-3.9554914
"71._at#1.inner",-4.0264936,.00066233,-6079.3232,0,-4.0277917,-4.0251954
"72._at#0.inner",-3.9947182,.02385064,-167.48895,0,-4.0414646,-3.9479718
"72._at#1.inner",-4.0239902,.00064352,-6253.052,0,-4.0252515,-4.0227289
"73._at#0.inner",-3.990493,.02564552,-155.60196,0,-4.0407573,-3.9402287
"73._at#1.inner",-4.0214874,.00062972,-6386.1802,0,-4.0227216,-4.0202532
"74._at#0.inner",-3.9862013,.02752271,-144.83315,0,-4.0401448,-3.9322577
"74._at#1.inner",-4.0189872,.00062299,-6451.0978,0,-4.0202082,-4.0177661
"75._at#0.inner",-3.9818421,.02948397,-135.05109,0,-4.0396296,-3.9240546
"75._at#1.inner",-4.0164915,.00062475,-6428.9566,0,-4.017716,-4.0152671
