parm,estimate,stderr,z,p,min95,max95
"1._at#0.inner",23.439319,.01295502,1809.2843,0,23.413928,23.464711
"1._at#1.inner",23.205837,.56178686,41.307192,0,22.104755,24.306919
"2._at#0.inner",23.442293,.01100487,2130.1754,0,23.420724,23.463862
"2._at#1.inner",23.218358,.53937156,43.047057,0,22.161209,24.275507
"3._at#0.inner",23.445223,.00934576,2508.647,0,23.426905,23.46354
"3._at#1.inner",23.230573,.51755175,44.885507,0,22.21619,24.244956
"4._at#0.inner",23.448109,.00798652,2935.9614,0,23.432456,23.463763
"4._at#1.inner",23.242486,.49631955,46.829681,0,22.269718,24.215255
"5._at#0.inner",23.450953,.00693481,3381.6305,0,23.437361,23.464545
"5._at#1.inner",23.254102,.47566704,48.887352,0,22.321812,24.186392
"6._at#0.inner",23.453753,.00618894,3789.6262,0,23.441623,23.465884
"6._at#1.inner",23.265424,.45558633,51.066993,0,22.372491,24.158357
"7._at#0.inner",23.456512,.00572678,4095.9346,0,23.445288,23.467736
"7._at#1.inner",23.276456,.43606952,53.377856,0,22.421776,24.131137
"8._at#0.inner",23.459228,.00550004,4265.284,0,23.448448,23.470008
"8._at#1.inner",23.287203,.41710872,55.830055,0,22.469685,24.104721
"9._at#0.inner",23.461902,.00544183,4311.4023,0,23.451237,23.472568
"9._at#1.inner",23.297668,.39869603,58.434664,0,22.516238,24.079098
"10._at#0.inner",23.464535,.00548335,4279.2349,0,23.453788,23.475282
"10._at#1.inner",23.307856,.38082354,61.203821,0,22.561455,24.054256
"11._at#0.inner",23.467127,.0055675,4215.0198,0,23.456215,23.478039
"11._at#1.inner",23.31777,.36348336,64.150859,0,22.605356,24.030184
"12._at#0.inner",23.469677,.00565365,4151.2431,0,23.458597,23.480758
"12._at#1.inner",23.327415,.3466676,67.290438,0,22.647959,24.006871
"13._at#0.inner",23.472188,.00571621,4106.2472,0,23.460984,23.483391
"13._at#1.inner",23.336794,.33036836,70.638708,0,22.689284,23.984304
"14._at#0.inner",23.474657,.00574118,4088.8196,0,23.463405,23.48591
"14._at#1.inner",23.345912,.31457774,74.213489,0,22.729351,23.962473
"15._at#0.inner",23.477087,.00572283,4102.3536,0,23.46587,23.488304
"15._at#1.inner",23.354772,.29928785,78.034482,0,22.768179,23.941366
"16._at#0.inner",23.479477,.00566129,4147.3755,0,23.468381,23.490573
"16._at#1.inner",23.363379,.28449079,82.123501,0,22.805788,23.920971
"17._at#0.inner",23.481828,.00556083,4222.719,0,23.470929,23.492727
"17._at#1.inner",23.371737,.27017866,86.504748,0,22.842197,23.901277
"18._at#0.inner",23.484139,.00542885,4325.8038,0,23.473499,23.49478
"18._at#1.inner",23.379849,.25634358,91.205129,0,22.877425,23.882273
"19._at#0.inner",23.486412,.00527507,4452.3434,0,23.476073,23.496751
"19._at#1.inner",23.38772,.24297765,96.254617,0,22.911493,23.863948
"20._at#0.inner",23.488646,.00511098,4595.7251,0,23.478629,23.498664
"20._at#1.inner",23.395354,.23007297,101.68667,0,22.944419,23.846289
"21._at#0.inner",23.490842,.00494924,4746.3504,0,23.481142,23.500543
"21._at#1.inner",23.402754,.21762166,107.53872,0,22.976224,23.829285
"22._at#0.inner",23.493001,.00480293,4891.3911,0,23.483587,23.502414
"22._at#1.inner",23.409926,.20561582,113.85274,0,23.006926,23.812925
"23._at#0.inner",23.495121,.00468442,5015.5877,0,23.48594,23.504302
"23._at#1.inner",23.416872,.19404757,120.67593,0,23.036545,23.797198
"24._at#0.inner",23.497204,.00460405,5103.5896,0,23.488181,23.506228
"24._at#1.inner",23.423596,.18290902,128.06146,0,23.065101,23.782091
"25._at#0.inner",23.499251,.00456863,5143.6149,0,23.490297,23.508205
"25._at#1.inner",23.430104,.17219227,136.06943,0,23.092613,23.767595
"26._at#0.inner",23.501261,.0045802,5131.0577,0,23.492284,23.510238
"26._at#1.inner",23.436398,.16188946,144.76791,0,23.119101,23.753696
"27._at#0.inner",23.503234,.00463565,5070.1091,0,23.494148,23.51232
"27._at#1.inner",23.442484,.15199268,154.23429,0,23.144583,23.740384
"28._at#0.inner",23.505171,.00472712,4972.4077,0,23.495906,23.514436
"28._at#1.inner",23.448364,.14249407,164.55677,0,23.169081,23.727647
"29._at#0.inner",23.507073,.00484323,4853.5902,0,23.49758,23.516565
"29._at#1.inner",23.454043,.13338575,175.8362,0,23.192612,23.715474
"30._at#0.inner",23.508939,.00497054,4729.6592,0,23.499197,23.518681
"30._at#1.inner",23.459525,.12465984,188.18832,0,23.215196,23.703854
"31._at#0.inner",23.51077,.00509486,4614.6096,0,23.500784,23.520756
"31._at#1.inner",23.464814,.11630847,201.7464,0,23.236854,23.692774
"32._at#0.inner",23.512566,.00520233,4519.6242,0,23.50237,23.522762
"32._at#1.inner",23.469914,.10832377,216.66448,0,23.257603,23.682225
"33._at#0.inner",23.514328,.00528009,4453.3914,0,23.503979,23.524676
"33._at#1.inner",23.474829,.1006979,233.12135,0,23.277465,23.672193
"34._at#0.inner",23.516055,.00531683,4422.9501,0,23.505634,23.526476
"34._at#1.inner",23.479563,.09342298,251.32535,0,23.296458,23.662669
"35._at#0.inner",23.517748,.00530322,4434.6207,0,23.507354,23.528143
"35._at#1.inner",23.48412,.08649118,271.52039,0,23.314601,23.65364
"36._at#0.inner",23.519408,.00523267,4494.7284,0,23.509152,23.529664
"36._at#1.inner",23.488505,.07989467,293.99339,0,23.331914,23.645095
"37._at#0.inner",23.521035,.00510242,4609.7825,0,23.511034,23.531035
"37._at#1.inner",23.49272,.07362561,319.08352,0,23.348416,23.637023
"38._at#0.inner",23.522628,.00491555,4785.3523,0,23.512994,23.532263
"38._at#1.inner",23.49677,.0676762,347.19397,0,23.364127,23.629413
"39._at#0.inner",23.524189,.00468447,5021.7371,0,23.515008,23.53337
"39._at#1.inner",23.50066,.06203865,378.80676,0,23.379066,23.622253
"40._at#0.inner",23.525717,.00443688,5302.3147,0,23.517021,23.534414
"40._at#1.inner",23.504393,.05670518,414.50167,0,23.393253,23.615533
"41._at#0.inner",23.527214,.00422443,5569.3289,0,23.518934,23.535493
"41._at#1.inner",23.507973,.05166805,454.9808,0,23.406705,23.60924
"42._at#0.inner",23.528678,.00413062,5696.1589,0,23.520582,23.536774
"42._at#1.inner",23.511404,.04691956,501.10026,0,23.419443,23.603364
"43._at#0.inner",23.530111,.00426402,5518.2919,0,23.521754,23.538469
"43._at#1.inner",23.51469,.04245204,553.91197,0,23.431486,23.597895
"44._at#0.inner",23.531513,.00472153,4983.8699,0,23.522259,23.540767
"44._at#1.inner",23.517836,.03825787,614.71889,0,23.442852,23.59282
"45._at#0.inner",23.532884,.00554584,4243.3435,0,23.522014,23.543754
"45._at#1.inner",23.520845,.03432953,685.14896,0,23.45356,23.58813
"46._at#0.inner",23.534224,.00672621,3498.8808,0,23.521041,23.547407
"46._at#1.inner",23.523721,.03065959,767.25491,0,23.46363,23.583813
"47._at#0.inner",23.535534,.00823198,2859.038,0,23.5194,23.551669
"47._at#1.inner",23.526469,.02724073,863.65032,0,23.473078,23.57986
"48._at#0.inner",23.536815,.01003627,2345.1755,0,23.517144,23.556485
"48._at#1.inner",23.529092,.02406584,977.69675,0,23.481924,23.57626
"49._at#0.inner",23.538065,.01212234,1941.7104,0,23.514306,23.561824
"49._at#1.inner",23.531595,.02112802,1113.7624,0,23.490184,23.573005
"50._at#0.inner",23.539286,.01448211,1625.4049,0,23.510902,23.56767
"50._at#1.inner",23.53398,.01842074,1277.5807,0,23.497876,23.570084
"51._at#0.inner",23.540478,.01711354,1375.5469,0,23.506936,23.57402
"51._at#1.inner",23.536254,.01593794,1476.7439,0,23.505016,23.567491
"52._at#0.inner",23.541641,.02001851,1175.9937,0,23.502406,23.580877
"52._at#1.inner",23.538418,.01367427,1721.3656,0,23.511617,23.565219
"53._at#0.inner",23.542776,.0232014,1014.7135,0,23.497302,23.58825
"53._at#1.inner",23.540479,.01162542,2024.9145,0,23.517693,23.563264
"54._at#0.inner",23.543883,.02666823,882.84389,0,23.491614,23.596152
"54._at#1.inner",23.542438,.00978861,2405.0845,0,23.523253,23.561624
"55._at#0.inner",23.544962,.03042608,773.84135,0,23.485328,23.604596
"55._at#1.inner",23.544302,.00816338,2884.1354,0,23.528302,23.560302
"56._at#0.inner",23.546013,.03448278,682.83393,0,23.478428,23.613598
"56._at#1.inner",23.546072,.00675265,3486.9406,0,23.532838,23.559307
"57._at#0.inner",23.547037,.03884664,606.15384,0,23.470899,23.623175
"57._at#1.inner",23.547755,.00556394,4232.2101,0,23.53685,23.55866
"58._at#0.inner",23.548034,.04352631,541.00689,0,23.462724,23.633344
"58._at#1.inner",23.549353,.00460994,5108.3874,0,23.540318,23.558388
"59._at#0.inner",23.549005,.04853072,485.23911,0,23.453886,23.644123
"59._at#1.inner",23.550871,.00390545,6030.2581,0,23.543216,23.558525
"60._at#0.inner",23.549949,.05386897,437.17097,0,23.444367,23.65553
"60._at#1.inner",23.552312,.00345635,6814.2204,0,23.545537,23.559086
"61._at#0.inner",23.550867,.05955028,395.47872,0,23.43415,23.667583
"61._at#1.inner",23.553681,.0032418,7265.6146,0,23.547327,23.560035
"62._at#0.inner",23.551759,.06558398,359.10842,0,23.423217,23.680302
"62._at#1.inner",23.554981,.00320715,7344.5148,0,23.548695,23.561267
"63._at#0.inner",23.552626,.07197949,327.21302,0,23.411549,23.693704
"63._at#1.inner",23.556218,.00328139,7178.7321,0,23.549786,23.562649
"64._at#0.inner",23.553468,.07874627,299.10582,0,23.399128,23.707808
"64._at#1.inner",23.557394,.00340193,6924.717,0,23.550726,23.564062
"65._at#0.inner",23.554285,.08589384,274.22555,0,23.385937,23.722634
"65._at#1.inner",23.558514,.00352563,6682.0659,0,23.551604,23.565424
"66._at#0.inner",23.555078,.09343174,252.11002,0,23.371955,23.738201
"66._at#1.inner",23.559581,.00362729,6495.0861,0,23.552472,23.566691
"67._at#0.inner",23.555847,.10136956,232.37594,0,23.357166,23.754527
"67._at#1.inner",23.560601,.00369442,6377.346,0,23.55336,23.567842
"68._at#0.inner",23.556591,.10971689,214.70342,0,23.34155,23.771632
"68._at#1.inner",23.561576,.00372279,6329.0086,0,23.55428,23.568873
"69._at#0.inner",23.557312,.11848335,198.82382,0,23.325089,23.789535
"69._at#1.inner",23.562511,.0037135,6345.1004,0,23.555233,23.56979
"70._at#0.inner",23.55801,.12767858,184.51028,0,23.307764,23.808255
"70._at#1.inner",23.56341,.00367117,6418.4929,0,23.556215,23.570606
"71._at#0.inner",23.558684,.13731222,171.5702,0,23.289557,23.827811
"71._at#1.inner",23.564277,.00360294,6540.2842,0,23.557216,23.571339
"72._at#0.inner",23.559337,.14739392,159.83927,0,23.27045,23.848223
"72._at#1.inner",23.565116,.00351773,6698.9547,0,23.558222,23.572011
"73._at#0.inner",23.559966,.15793336,149.17663,0,23.250422,23.86951
"73._at#1.inner",23.565931,.00342573,6879.0944,0,23.559217,23.572646
"74._at#0.inner",23.560574,.16894021,139.46102,0,23.229457,23.891691
"74._at#1.inner",23.566726,.00333782,7060.5054,0,23.560184,23.573268
"75._at#0.inner",23.56116,.18042413,130.58763,0,23.207535,23.914784
"75._at#1.inner",23.567505,.00326476,7218.7514,0,23.561106,23.573904
"76._at#0.inner",23.561724,.19239481,122.46549,0,23.184637,23.938811
"76._at#1.inner",23.568272,.00321609,7328.2293,0,23.561968,23.574575
"77._at#0.inner",23.562267,.20486194,115.01535,0,23.160745,23.963789
"77._at#1.inner",23.569031,.0031989,7367.8592,0,23.562761,23.5753
"78._at#0.inner",23.56279,.21783521,108.16796,0,23.135841,23.989739
"78._at#1.inner",23.569786,.00321665,7327.4396,0,23.563481,23.57609
"79._at#0.inner",23.563292,.23132431,101.86258,0,23.109904,24.016679
"79._at#1.inner",23.570541,.00326861,7211.1817,0,23.564134,23.576947
"80._at#0.inner",23.563773,.24533893,96.045798,0,23.082918,24.044629
"80._at#1.inner",23.5713,.00335006,7036.0788,0,23.564734,23.577866
"81._at#0.inner",23.564235,.25988877,90.670462,0,23.054862,24.073608
"81._at#1.inner",23.572067,.0034532,6826.1614,0,23.565299,23.578835
"82._at#0.inner",23.564677,.27498353,85.694867,0,23.025719,24.103635
"82._at#1.inner",23.572847,.00356837,6606.0533,0,23.565853,23.579841
"83._at#0.inner",23.5651,.29063291,81.082007,0,22.99547,24.13473
"83._at#1.inner",23.573643,.00368532,6396.6305,0,23.566419,23.580866
"84._at#0.inner",23.565504,.30684661,76.798969,0,22.964095,24.166912
"84._at#1.inner",23.574458,.00379411,6213.4395,0,23.567022,23.581895
"85._at#0.inner",23.565889,.32363434,72.816403,0,22.931577,24.2002
"85._at#1.inner",23.575299,.00388581,6067.0234,0,23.567683,23.582915
"86._at#0.inner",23.566255,.34100579,69.108078,0,22.897896,24.234614
"86._at#1.inner",23.576167,.00395309,5963.9892,0,23.568419,23.583915
"87._at#0.inner",23.566604,.35897068,65.650497,0,22.863034,24.270173
"87._at#1.inner",23.577068,.00399074,5907.942,0,23.569246,23.584889
"88._at#0.inner",23.566934,.37753871,62.422564,0,22.826972,24.306897
"88._at#1.inner",23.578005,.00399647,5899.7067,0,23.570172,23.585838
"89._at#0.inner",23.567248,.39671958,59.405304,0,22.789691,24.344804
"89._at#1.inner",23.578982,.003972,5936.3055,0,23.571197,23.586767
"90._at#0.inner",23.567544,.41652301,56.581613,0,22.751173,24.383914
"90._at#1.inner",23.580004,.00392477,6007.9952,0,23.572311,23.587696
"91._at#0.inner",23.567823,.4369587,53.936042,0,22.711399,24.424246
"91._at#1.inner",23.581074,.00387041,6092.6518,0,23.573488,23.58866
"92._at#0.inner",23.568085,.45803635,51.454617,0,22.67035,24.46582
"92._at#1.inner",23.582196,.00383562,6148.207,0,23.574679,23.589714
"93._at#0.inner",23.568331,.47976569,49.124671,0,22.628008,24.508655
"93._at#1.inner",23.583375,.00386028,6109.2471,0,23.575809,23.590941
"94._at#0.inner",23.568562,.50215641,46.934703,0,22.584353,24.55277
"94._at#1.inner",23.584615,.0039956,5902.6404,0,23.576784,23.592446
"95._at#0.inner",23.568776,.52521822,44.874255,0,22.539367,24.598185
"95._at#1.inner",23.585919,.00429526,5491.1565,0,23.5775,23.594337
"96._at#0.inner",23.568975,.54896084,42.933801,0,22.493032,24.644919
"96._at#1.inner",23.587291,.00480157,4912.4135,0,23.57788,23.596702
"97._at#0.inner",23.56916,.57339398,41.104651,0,22.445328,24.692991
"97._at#1.inner",23.588736,.00553682,4260.337,0,23.577884,23.599588
"98._at#0.inner",23.569329,.59852735,39.378867,0,22.396237,24.742421
"98._at#1.inner",23.590257,.00650567,3626.1071,0,23.577506,23.603008
"99._at#0.inner",23.569484,.62437065,37.749186,0,22.34574,24.793228
"99._at#1.inner",23.591859,.00770375,3062.3856,0,23.57676,23.606958
"100._at#0.inner",23.569625,.6509336,36.208954,4.40e-287,22.293818,24.845431
"100._at#1.inner",23.593546,.00912495,2585.6075,0,23.575661,23.61143
