parm,estimate,stderr,z,p,min95,max95
"1._at#0.inner",3.4667262,1.0007,3.464301,.00053161,1.5053901,5.4280622
"1._at#1.inner",112.1306,69.447492,1.6146097,.10639523,-23.983985,248.24518
"2._at#0.inner",3.4086903,.84464618,4.0356429,.00005445,1.7532142,5.0641664
"2._at#1.inner",107.78078,66.648017,1.6171641,.10584286,-22.846931,238.40849
"3._at#0.inner",3.3485078,.71529325,4.6813077,2.851e-06,1.9465588,4.7504568
"3._at#1.inner",103.54844,63.923225,1.6198876,.10525642,-21.738779,228.83566
"4._at#0.inner",3.286798,.61421513,5.3512162,8.737e-08,2.0829584,4.4906375
"4._at#1.inner",99.432002,61.272127,1.6227934,.10463358,-20.65916,219.52316
"5._at#0.inner",3.2241804,.54257109,5.942411,2.809e-09,2.1607606,4.2876002
"5._at#1.inner",95.429895,58.693733,1.6258958,.10397182,-19.607707,210.4675
"6._at#0.inner",3.1612745,.49973736,6.3258719,2.518e-10,2.1818073,4.1407417
"6._at#1.inner",91.540548,56.187053,1.6292107,.10326842,-18.584052,201.66515
"7._at#0.inner",3.0986998,.48206642,6.427952,1.293e-10,2.153867,4.0435326
"7._at#1.inner",87.762389,53.751099,1.6327553,.10252048,-17.587828,193.11261
"8._at#0.inner",3.0370757,.483202,6.2853128,3.272e-10,2.0900172,3.9841342
"8._at#1.inner",84.093847,51.38488,1.6365485,.10172485,-16.618667,184.80636
"9._at#0.inner",2.9770217,.49599689,6.0020974,1.948e-09,2.0048856,3.9491577
"9._at#1.inner",80.533349,49.087408,1.6406112,.10087816,-15.676203,176.7429
"10._at#0.inner",2.9191572,.5143617,5.6753005,1.384e-08,1.9110268,3.9272876
"10._at#1.inner",77.079325,46.857694,1.6449662,.09997677,-14.760068,168.91872
"11._at#0.inner",2.8641018,.5339773,5.3637145,8.153e-08,1.8175255,3.910678
"11._at#1.inner",73.730203,44.694749,1.649639,.09901679,-13.869896,161.3303
"12._at#0.inner",2.8124748,.55215166,5.0936636,3.512e-07,1.7302774,3.8946722
"12._at#1.inner",70.484411,42.597585,1.6546574,.097994,-13.005321,153.97414
"13._at#0.inner",2.7648958,.567405,4.8728788,1.100e-06,1.6528024,3.8769892
"13._at#1.inner",67.340377,40.565212,1.6600524,.09690392,-12.165978,146.84673
"14._at#0.inner",2.7219842,.5790868,4.7004771,2.596e-06,1.5869949,3.8569735
"14._at#1.inner",64.29653,38.596644,1.665858,.09574169,-11.351502,139.94456
"15._at#0.inner",2.6843595,.58709793,4.5722518,4.825e-06,1.5336687,3.8350503
"15._at#1.inner",61.351298,36.690892,1.6721125,.09450214,-10.561528,133.26413
"16._at#0.inner",2.6526412,.59170436,4.4830516,7.358e-06,1.4929219,3.8123604
"16._at#1.inner",58.50311,34.846968,1.678858,.09317973,-9.7956926,126.80191
"17._at#0.inner",2.6274487,.5934133,4.4276875,9.525e-06,1.46438,3.7905174
"17._at#1.inner",55.750395,33.063886,1.6861416,.09176853,-9.0536317,120.55442
"18._at#0.inner",2.6094014,.59288679,4.4011799,.00001077,1.4473647,3.7714382
"18._at#1.inner",53.091579,31.340659,1.6940161,.09026223,-8.3349833,114.51814
"19._at#0.inner",2.5991189,.59087574,4.3987572,.00001089,1.4410238,3.7572141
"19._at#1.inner",50.525093,29.6763,1.7025402,.08865415,-7.6393856,108.68957
"20._at#0.inner",2.5972207,.58816303,4.4158176,.00001006,1.4444423,3.749999
"20._at#1.inner",48.049363,28.069823,1.7117801,.0869372,-6.9664781,103.0652
"21._at#0.inner",2.6043261,.58550935,4.4479667,8.669e-06,1.4567488,3.7519033
"21._at#1.inner",45.66282,26.520243,1.72181,.08510394,-6.3159011,97.641541
