parm,estimate,stderr,z,p,min95,max95
"1._at#0.inner",157424.99,5961.3249,26.407719,1.12e-153,145741.01,169108.97
"1._at#1.inner",16146.27,2789.9504,5.7872964,7.153e-09,10678.068,21614.472
"2._at#0.inner",159120.99,5640.7063,28.209409,4.48e-175,148065.41,170176.57
"2._at#1.inner",16335.894,2756.7258,5.925832,3.107e-09,10932.811,21738.977
"3._at#0.inner",160816.99,5322.1652,30.216459,1.44e-200,150385.74,171248.24
"3._at#1.inner",16525.518,2723.51,6.0677281,1.297e-09,11187.537,21863.499
"4._at#0.inner",162512.99,5006.0981,32.463004,3.55e-231,152701.21,172324.76
"4._at#1.inner",16715.142,2690.3032,6.213107,5.195e-10,11442.245,21988.04
"5._at#0.inner",164208.98,4693.0049,34.990158,3.18e-268,155010.86,173407.1
"5._at#1.inner",16904.766,2657.106,6.3620971,1.990e-10,11696.934,22112.598
"6._at#0.inner",165904.98,4383.5228,37.847409,0,157313.43,174496.53
"6._at#1.inner",17094.39,2623.9185,6.5148328,7.277e-11,11951.604,22237.176
"7._at#0.inner",167600.98,4078.474,41.094041,0,159607.32,175594.64
"7._at#1.inner",17284.014,2590.7411,6.6714555,2.533e-11,12206.255,22361.773
"8._at#0.inner",169296.98,3778.9323,44.800214,0,161890.4,176703.55
"8._at#1.inner",17473.638,2557.5744,6.8321134,8.367e-12,12460.885,22486.392
"9._at#0.inner",170992.97,3486.3175,49.046874,0,164159.92,177826.03
"9._at#1.inner",17663.262,2524.4186,6.9969624,2.616e-12,12715.493,22611.032
"10._at#0.inner",172688.97,3202.5287,53.922693,0,166412.13,178965.81
"10._at#1.inner",17852.886,2491.2743,7.1661664,7.713e-13,12970.078,22735.694
"11._at#0.inner",174384.97,2930.1317,59.51438,0,168642.02,180127.92
"11._at#1.inner",18042.51,2458.1419,7.3398979,2.138e-13,13224.641,22860.38
"12._at#0.inner",176080.97,2672.6118,65.883479,0,170842.74,181319.19
"12._at#1.inner",18232.134,2425.0218,7.5183383,5.548e-14,13479.179,22985.09
"13._at#0.inner",177776.96,2434.6945,73.018181,0,173005.05,182548.88
"13._at#1.inner",18421.758,2391.9146,7.7016789,1.343e-14,13733.692,23109.825
"14._at#0.inner",179472.96,2222.6834,80.746076,0,175116.58,183829.34
