parm,estimate,stderr,z,p,min95,max95
"1._at#0.inner",97604.485,5218.0183,18.705279,4.484e-78,87377.357,107831.61
"1._at#1.inner",8857.4422,1648.809,5.3720243,7.786e-08,5625.8359,12089.048
"2._at#0.inner",98797.861,5118.5406,19.301959,5.171e-83,88765.706,108830.02
"2._at#1.inner",9028.5352,1639.0424,5.5084207,3.621e-08,5816.0711,12240.999
"3._at#0.inner",99991.236,5020.207,19.917752,2.855e-88,90151.812,109830.66
"3._at#1.inner",9199.6282,1629.277,5.6464484,1.638e-08,6006.3041,12392.952
"4._at#0.inner",101184.61,4923.0862,20.553086,7.222e-94,91535.541,110833.68
"4._at#1.inner",9370.7213,1619.5126,5.7861366,7.202e-09,6196.5349,12544.908
"5._at#0.inner",102377.99,4827.2512,21.208341,8.00e-100,92916.749,111839.23
"5._at#1.inner",9541.8143,1609.7494,5.9275152,3.076e-09,6386.7634,12696.865
"6._at#0.inner",103571.36,4732.7803,21.883831,3.70e-106,94295.285,112847.44
"6._at#1.inner",9712.9073,1599.9874,6.0706148,1.274e-09,6576.9896,12848.825
"7._at#0.inner",104764.74,4639.7566,22.579792,6.85e-113,95670.983,113858.5
"7._at#1.inner",9884.0003,1590.2266,6.2154665,5.117e-10,6767.2134,13000.787
"8._at#0.inner",105958.11,4548.2691,23.29636,4.83e-120,97043.671,114872.56
"8._at#1.inner",10055.093,1580.4671,6.3621025,1.990e-10,6957.4348,13152.752
"9._at#0.inner",107151.49,4458.4124,24.033553,1.24e-127,98413.163,115889.82
"9._at#1.inner",10226.186,1570.7087,6.5105555,7.487e-11,7147.6538,13304.719
"10._at#0.inner",108344.87,4370.2869,24.791248,1.11e-135,99779.261,116910.47
"10._at#1.inner",10397.279,1560.9517,6.6608593,2.722e-11,7337.8703,13456.688
"11._at#0.inner",109538.24,4283.9995,25.569154,3.36e-144,101141.76,117934.73
"11._at#1.inner",10568.372,1551.1959,6.8130482,9.555e-12,7528.0843,13608.66
"12._at#0.inner",110731.62,4199.6636,26.366783,3.30e-153,102500.43,118962.81
"12._at#1.inner",10739.465,1541.4414,6.9671576,3.234e-12,7718.2957,13760.635
"13._at#0.inner",111924.99,4117.399,27.183422,1.02e-162,103855.04,119994.95
"13._at#1.inner",10910.558,1531.6883,7.1232236,1.054e-12,7908.5045,13912.612
"14._at#0.inner",113118.37,4037.3324,28.018097,9.78e-173,105205.34,121031.39
"14._at#1.inner",11081.651,1521.9366,7.2812833,3.307e-13,8098.7105,14064.592
"15._at#0.inner",114311.74,3959.5971,28.86954,2.88e-183,106551.08,122072.41
"15._at#1.inner",11252.744,1512.1863,7.4413747,9.964e-14,8288.9139,14216.575
"16._at#0.inner",115505.12,3884.3331,29.736153,2.62e-194,107891.97,123118.27
"16._at#1.inner",11423.838,1502.4373,7.6035368,2.881e-14,8479.1144,14368.561
"17._at#0.inner",116698.5,3811.6867,30.615973,7.50e-206,109227.73,124169.26
"17._at#1.inner",11594.931,1492.6899,7.7678095,7.986e-15,8669.3122,14520.549
"18._at#0.inner",117891.87,3741.8105,31.506639,7.05e-218,110558.06,125225.69
"18._at#1.inner",11766.024,1482.9439,7.9342339,2.118e-15,8859.507,14672.54
"19._at#0.inner",119085.25,3674.8624,32.405362,2.31e-230,111882.65,126287.85
"19._at#1.inner",11937.117,1473.1994,8.1028519,5.369e-16,9049.6988,14824.534
"20._at#0.inner",120278.62,3611.0053,33.308902,2.87e-243,113201.18,127356.06
"20._at#1.inner",12108.21,1463.4565,8.2737068,1.299e-16,9239.8877,14976.532
"21._at#0.inner",121472,3550.4061,34.213551,1.52e-256,114513.33,128430.67
"21._at#1.inner",12279.303,1453.7151,8.4468427,2.993e-17,9430.0734,15128.532
"22._at#0.inner",122665.37,3493.2342,35.11513,3.96e-270,115818.76,129511.99
"22._at#1.inner",12450.396,1443.9753,8.6223051,6.562e-18,9620.256,15280.535
"23._at#0.inner",123858.75,3439.6606,36.009003,6.05e-284,117117.14,130600.36
"23._at#1.inner",12621.489,1434.2372,8.8001405,1.366e-18,9810.4355,15432.542
"24._at#0.inner",125052.13,3389.8559,36.890101,6.66e-298,118408.13,131696.12
"24._at#1.inner",12792.582,1424.5007,8.9803969,2.698e-19,10000.612,15584.552
"25._at#0.inner",126245.5,3343.9884,37.752972,0,119691.4,132799.6
"25._at#1.inner",12963.675,1414.7659,9.1631233,5.042e-20,10190.784,15736.565
"26._at#0.inner",127438.88,3302.2223,38.591852,0,120966.64,133911.11
"26._at#1.inner",13134.768,1405.0329,9.3483702,8.901e-21,10380.954,15888.582
"27._at#0.inner",128632.25,3264.715,39.40076,0,122233.53,135030.98
"27._at#1.inner",13305.861,1395.3016,9.5361894,1.482e-21,10571.12,16040.602
"28._at#0.inner",129825.63,3231.6147,40.17361,0,123491.78,136159.48
"28._at#1.inner",13476.954,1385.5722,9.7266341,2.321e-22,10761.282,16192.625
"29._at#0.inner",131019,3203.0581,40.904349,0,124741.13,137296.88
"29._at#1.inner",13648.047,1375.8446,9.919759,3.416e-23,10951.441,16344.653
"30._at#0.inner",132212.38,3179.1676,41.587106,0,125981.33,138443.43
"30._at#1.inner",13819.14,1366.1189,10.11562,4.710e-24,11141.596,16496.684
"31._at#0.inner",133405.76,3160.049,42.216356,0,127212.17,139599.34
