parm,estimate,stderr,z,p,min95,max95
"1._at#0.inner",84977.485,3294.4697,25.79398,1.04e-146,78520.443,91434.527
"1._at#1.inner",312268.07,63107.892,4.948162,7.492e-07,188578.87,435957.26
"2._at#0.inner",86926.761,2843.8876,30.566173,3.45e-205,81352.844,92500.678
"2._at#1.inner",300241.11,60581.859,4.9559573,7.198e-07,181502.84,418979.37
"3._at#0.inner",88731.081,2481.9865,35.750025,6.61e-280,83866.476,93595.685
"3._at#1.inner",288532.27,58123.104,4.964158,6.900e-07,174613.08,402451.46
"4._at#0.inner",90395.535,2206.8339,40.961639,0,86070.22,94720.851
"4._at#1.inner",277137.42,55730.733,4.9727933,6.600e-07,167907.19,386367.65
"5._at#0.inner",91925.217,2012.4709,45.677787,0,87980.847,95869.588
"5._at#1.inner",266052.41,53403.856,4.9818951,6.296e-07,161382.77,370722.04
"6._at#0.inner",93325.217,1887.6095,49.440955,0,89625.571,97024.864
"6._at#1.inner",255273.09,51141.578,4.9914981,5.991e-07,155037.44,355508.74
"7._at#0.inner",94600.628,1816.3498,52.082825,0,91040.647,98160.608
"7._at#1.inner",244795.33,48943.007,5.0016405,5.684e-07,148868.8,340721.86
"8._at#0.inner",95756.539,1780.9498,53.767118,0,92265.942,99247.137
"8._at#1.inner",234614.98,46807.251,5.0123639,5.377e-07,142874.45,326355.5
"9._at#0.inner",96798.044,1765.0004,54.84307,0,93338.707,100257.38
"9._at#1.inner",224727.89,44733.417,5.0237139,5.068e-07,137052,312403.78
"10._at#0.inner",97730.233,1755.3941,55.674239,0,94289.724,101170.74
"10._at#1.inner",215129.93,42720.614,5.0357406,4.760e-07,131399.06,298860.79
"11._at#0.inner",98558.199,1742.8033,56.551534,0,95142.367,101974.03
"11._at#1.inner",205816.94,40767.948,5.048499,4.453e-07,125913.24,285720.65
"12._at#0.inner",99287.032,1721.2551,57.682926,0,95913.434,102660.63
"12._at#1.inner",196784.8,38874.527,5.0620499,4.148e-07,120592.12,272977.47
"13._at#0.inner",99921.825,1687.4207,59.215715,0,96614.541,103229.11
"13._at#1.inner",188029.34,37039.461,5.07646,3.845e-07,115433.33,260625.35
"14._at#0.inner",100467.67,1639.951,61.262604,0,97253.423,103681.91
"14._at#1.inner",179546.43,35261.856,5.0918033,3.547e-07,110434.46,248658.4
"15._at#0.inner",100929.65,1578.9707,63.921169,0,97834.928,104024.38
"15._at#1.inner",171331.93,33540.821,5.1081615,3.253e-07,105593.13,237070.73
"16._at#0.inner",101312.87,1505.7356,67.284636,0,98361.686,104264.06
"16._at#1.inner",163381.69,31875.465,5.1256252,2.966e-07,100906.92,225856.45
"17._at#0.inner",101622.42,1422.4277,71.442942,0,98834.511,104410.33
"17._at#1.inner",155691.56,30264.896,5.1442953,2.685e-07,96373.458,215009.67
"18._at#0.inner",101863.38,1332.0596,76.470587,0,99252.592,104474.17
"18._at#1.inner",148257.42,28708.224,5.1642838,2.414e-07,91990.331,204524.5
"19._at#0.inner",102040.85,1238.461,82.393269,0,99613.513,104468.19
"19._at#1.inner",141075.1,27204.556,5.1857158,2.152e-07,87755.147,194395.05
"20._at#0.inner",102159.92,1146.3069,89.120914,0,99913.202,104406.64
"20._at#1.inner",134140.47,25753.004,5.2087309,1.901e-07,83665.506,184615.43
"21._at#0.inner",102225.69,1061.1094,96.338497,0,100145.95,104305.42
"21._at#1.inner",127449.38,24352.676,5.2334857,1.663e-07,79719.012,175179.75
"22._at#0.inner",102243.23,989.01044,103.37932,0,100304.81,104181.66
"22._at#1.inner",120997.69,23002.682,5.2601559,1.439e-07,75913.264,166082.12
"23._at#0.inner",102217.65,936.12922,109.19182,0,100382.87,104052.43
"23._at#1.inner",114781.26,21702.133,5.2889392,1.230e-07,72245.863,157316.66
"24._at#0.inner",102154.04,907.29552,112.5918,0,100375.77,103932.31
"24._at#1.inner",108795.95,20450.14,5.3200587,1.037e-07,68714.408,148877.48
"25._at#0.inner",102057.48,904.48429,112.835,0,100284.73,103830.24
"25._at#1.inner",103037.6,19245.814,5.3537668,8.614e-08,65316.496,140758.7
"26._at#0.inner",101933.08,925.89886,110.09094,0,100118.35,103747.81
"26._at#1.inner",97502.076,18088.267,5.3903493,7.032e-08,62049.725,132954.43
"27._at#0.inner",101785.91,966.47185,105.317,0,99891.665,103680.16
"27._at#1.inner",92185.237,16976.611,5.4301318,5.631e-08,58911.691,125458.78
"28._at#0.inner",101621.08,1019.4135,99.685833,0,99623.07,103619.1
"28._at#1.inner",87082.938,15909.961,5.4734853,4.413e-08,55899.987,118265.89
"29._at#0.inner",101443.68,1077.7556,94.124933,0,99331.314,103556.04
"29._at#1.inner",82191.033,14887.43,5.5208342,3.374e-08,53012.207,111369.86
"30._at#0.inner",101258.78,1135.2794,89.192834,0,99033.677,103483.89
"30._at#1.inner",77505.381,13908.134,5.5726658,2.509e-08,50245.94,104764.82
"31._at#0.inner",101071.5,1186.8782,85.157429,0,98745.261,103397.74
"31._at#1.inner",73021.837,12971.188,5.629541,1.807e-08,47598.775,98444.899
"32._at#0.inner",100886.91,1228.6486,82.112099,0,98478.807,103295.02
"32._at#1.inner",68736.258,12075.712,5.6921079,1.255e-08,45068.296,92404.219
"33._at#0.inner",100710.12,1257.9462,80.059159,0,98244.589,103175.65
"33._at#1.inner",64644.5,11220.825,5.7611183,8.356e-09,42652.087,86636.913
"34._at#0.inner",100546.21,1273.556,78.949181,0,98050.081,103042.33
"34._at#1.inner",60742.42,10405.648,5.8374473,5.301e-09,40347.725,81137.115
"35._at#0.inner",100400.27,1276.0742,78.679016,0,97899.206,102901.32
"35._at#1.inner",57025.874,9629.3048,5.9221175,3.178e-09,38152.784,75898.965
"36._at#0.inner",100277.39,1268.5963,79.045942,0,97790.987,102763.79
"36._at#1.inner",53490.719,8890.9229,6.0163292,1.784e-09,36064.831,70916.608
"37._at#0.inner",100182.67,1257.7644,79.651382,0,97717.499,102647.85
"37._at#1.inner",50132.811,8189.632,6.1214974,9.270e-10,34081.428,66184.195
"38._at#0.inner",100121.2,1255.0263,79.776181,0,97661.396,102581.01
"38._at#1.inner",46948.007,7524.5666,6.2392972,4.395e-10,32200.128,61695.887
"39._at#0.inner",100098.07,1277.3604,78.363216,0,97594.491,102601.65
"39._at#1.inner",43932.163,6894.8659,6.3717212,1.869e-10,30418.474,57445.852
"40._at#0.inner",100118.37,1345.8605,74.389859,0,97480.535,102756.21
"40._at#1.inner",41081.136,6299.6754,6.5211512,6.977e-11,28733.999,53428.272
"41._at#0.inner",100187.2,1481.0075,67.648003,0,97284.475,103089.92
"41._at#1.inner",38390.781,5738.1482,6.6904479,2.225e-11,27144.217,49637.345
"42._at#0.inner",100309.63,1696.9074,59.113205,0,96983.757,103635.51
"42._at#1.inner",35856.956,5209.447,6.8830639,5.858e-12,25646.628,46067.285
"43._at#0.inner",100490.78,1999.2604,50.263978,0,96572.301,104409.26
"43._at#1.inner",33475.517,4712.7464,7.1031867,1.219e-12,24238.704,42712.33
"44._at#0.inner",100735.72,2387.9648,42.184759,0,96055.395,105416.05
"44._at#1.inner",31242.321,4247.2362,7.3559179,1.896e-13,22917.891,39566.751
"45._at#0.inner",101049.55,2860.8299,35.321761,2.72e-273,95442.427,106656.67
"45._at#1.inner",29153.223,3812.1256,7.647498,2.049e-14,21681.594,36624.852
"46._at#0.inner",101437.36,3415.8467,29.696111,8.62e-194,94742.426,108132.3
"46._at#1.inner",27204.081,3406.6488,7.9855842,1.399e-15,20527.172,33880.99
"47._at#0.inner",101904.25,4051.9734,25.149288,1.44e-139,93962.524,109845.97
"47._at#1.inner",25390.75,3030.0724,8.3795854,5.311e-17,19451.918,31329.583
"48._at#0.inner",102455.29,4769.1783,21.482798,2.26e-102,93107.875,111802.71
"48._at#1.inner",23709.088,2681.7054,8.8410486,9.482e-19,18453.042,28965.134
"49._at#0.inner",103095.6,5568.2482,18.514907,1.566e-76,92182.029,114009.16
"49._at#1.inner",22154.951,2360.9128,9.3840613,6.348e-21,17527.647,26782.255
"50._at#0.inner",103830.24,6450.577,16.096272,2.709e-58,91187.346,116473.14
"50._at#1.inner",20724.194,2067.1332,10.025573,1.177e-23,16672.688,24775.701
"51._at#0.inner",104664.33,7417.9934,14.109521,3.318e-45,90125.332,119203.33
"51._at#1.inner",19412.676,1799.9019,10.785408,4.035e-27,15884.933,22940.419
"52._at#0.inner",105602.95,8472.6355,12.464002,1.173e-35,88996.889,122209.01
"52._at#1.inner",18216.252,1558.8805,11.68547,1.512e-31,15160.902,21271.601
"53._at#0.inner",106651.19,9616.8612,11.090021,1.403e-28,87802.487,125499.89
"53._at#1.inner",17130.778,1343.8889,12.747169,3.233e-37,14496.804,19764.751
"54._at#0.inner",107814.14,10853.187,9.9338689,2.965e-23,86542.284,129086
"54._at#1.inner",16152.111,1154.9339,13.985312,1.916e-44,13888.482,18415.74
"55._at#0.inner",109096.9,12184.246,8.9539311,3.430e-19,85216.214,132977.58
"55._at#1.inner",15276.108,992.2103,15.396038,1.740e-53,13331.411,17220.804
"56._at#0.inner",110504.55,13612.753,8.1177223,4.750e-16,83824.044,137185.06
"56._at#1.inner",14498.625,856.02687,16.937114,2.396e-64,12820.843,16176.406
"57._at#0.inner",112042.19,15141.49,7.3996807,1.365e-13,82365.415,141718.97
"57._at#1.inner",13815.518,746.57758,18.505133,1.877e-76,12352.253,15278.783
"58._at#0.inner",113714.91,16773.284,6.7795257,1.206e-11,80839.877,146589.94
"58._at#1.inner",13222.644,663.48437,19.929096,2.276e-88,11922.239,14523.049
"59._at#0.inner",115527.8,18511,6.241035,4.347e-10,79246.907,151808.69
"59._at#1.inner",12715.86,605.16998,21.012046,5.089e-98,11529.748,13901.971
"60._at#0.inner",117485.95,20357.532,5.7711295,7.874e-09,77585.924,157385.98
"60._at#1.inner",12291.021,568.39668,21.62402,1.07e-103,11176.984,13405.058
"61._at#0.inner",119594.46,22315.794,5.3591846,8.360e-08,75856.308,163332.61
"61._at#1.inner",11943.985,548.4284,21.778567,3.70e-105,10869.085,13018.885
"62._at#0.inner",121858.41,24388.719,4.9965073,5.838e-07,74057.401,169659.42
"62._at#1.inner",11670.607,539.87441,21.617263,1.24e-103,10612.473,12728.742
"63._at#0.inner",124282.9,26579.255,4.6759364,2.926e-06,72188.521,176377.28
"63._at#1.inner",11466.745,537.70137,21.32549,6.59e-101,10412.87,12520.62
"64._at#0.inner",126873.02,28890.357,4.3915351,.00001126,70248.96,183497.08
"64._at#1.inner",11328.254,537.87724,21.06104,1.812e-98,10274.034,12382.474
"65._at#0.inner",129633.86,31324.995,4.1383521,.00003498,68237.996,191029.72
"65._at#1.inner",11250.992,537.53709,20.930634,2.817e-97,10197.439,12304.545
"66._at#0.inner",132570.51,33886.142,3.9122337,.00009145,66154.89,198986.13
"66._at#1.inner",11230.814,534.85579,20.997836,6.864e-98,10182.516,12279.112
"67._at#0.inner",135688.06,36576.779,3.7096777,.00020752,63998.892,207377.23
"67._at#1.inner",11263.578,528.82718,21.299165,1.16e-100,10227.095,12300.06
"68._at#0.inner",138991.61,39399.891,3.5277156,.00041916,61769.242,216213.98
"68._at#1.inner",11345.138,519.05692,21.857214,6.64e-106,10327.806,12362.471
"69._at#0.inner",142486.24,42358.468,3.3638196,.00076872,59465.172,225507.32
"69._at#1.inner",11471.353,505.60351,22.688437,5.83e-114,10480.389,12462.318
"70._at#0.inner",146177.06,45455.504,3.2158274,.00130069,57085.906,235268.21
"70._at#1.inner",11638.079,488.86806,23.806175,2.88e-125,10679.915,12596.243
"71._at#0.inner",150069.14,48693.994,3.0818818,.00205696,54630.662,245507.61
"71._at#1.inner",11841.171,469.52239,25.219609,2.44e-140,10920.924,12761.418
"72._at#0.inner",154167.58,52076.939,2.960381,.00307259,52098.656,256236.51
"72._at#1.inner",12076.487,448.46322,26.9286,1.02e-159,11197.515,12955.459
"73._at#0.inner",158477.48,55607.338,2.8499382,.00437277,49489.095,267465.86
"73._at#1.inner",12339.882,426.77941,28.913959,7.97e-184,11503.41,13176.355
"74._at#0.inner",163003.92,59288.195,2.7493486,.00597138,46801.188,279206.64
"74._at#1.inner",12627.214,405.71688,31.123217,1.17e-212,11832.024,13422.405
"75._at#0.inner",167751.99,63122.515,2.6575619,.00787081,44034.135,291469.85
"75._at#1.inner",12934.339,386.62161,33.454776,2.19e-245,12176.575,13692.104
"76._at#0.inner",172726.79,67113.303,2.5736596,.01006292,41187.137,304266.45
"76._at#1.inner",13257.113,370.83786,35.749083,6.84e-280,12530.284,13983.942
"77._at#0.inner",177933.41,71263.566,2.4968357,.0125307,38259.392,317607.44
"77._at#1.inner",13591.393,359.5475,37.801384,0,12886.693,14296.093
"78._at#0.inner",183376.95,75576.312,2.4263812,.01525024,35250.096,331503.8
"78._at#1.inner",13933.035,353.56591,39.407179,0,13240.059,14626.012
"79._at#0.inner",189062.48,80054.551,2.3616706,.0181928,32158.442,345966.52
"79._at#1.inner",14277.896,353.15697,40.429319,0,13585.721,14970.071
"80._at#0.inner",194995.11,84701.292,2.3021503,.0213267,28983.624,361006.59
"80._at#1.inner",14621.832,357.95384,40.848372,0,13920.255,15323.408
"81._at#0.inner",201179.92,89519.547,2.2473295,.02461898,25724.831,376635.01
"81._at#1.inner",14960.699,367.03281,40.761203,0,14241.328,15680.07
"82._at#0.inner",207622.01,94512.325,2.1967718,.02803675,22381.254,392862.76
"82._at#1.inner",15290.354,379.10417,40.332857,0,14547.324,16033.385
"83._at#0.inner",214326.46,99682.639,2.1500882,.03154824,18952.081,409700.85
"83._at#1.inner",15606.654,392.73351,39.738535,0,14836.911,16376.398
"84._at#0.inner",221298.38,105033.5,2.1069314,.03512353,15436.501,427160.26
"84._at#1.inner",15905.455,406.52394,39.125506,0,15108.683,16702.227
"85._at#0.inner",228542.85,110567.92,2.0669905,.03873505,11833.699,445252
"85._at#1.inner",16182.613,419.23872,38.599997,0,15360.921,17004.306
"86._at#0.inner",236064.96,116288.92,2.0299867,.04235789,8142.8623,463987.06
"86._at#1.inner",16433.986,429.88027,38.229216,0,15591.436,17276.536
"87._at#0.inner",243869.8,122199.5,1.9956693,.04596993,4363.1762,483376.43
"87._at#1.inner",16655.428,437.75408,38.047454,0,15797.446,17513.411
"88._at#0.inner",251962.47,128302.69,1.9638129,.04955179,493.82537,503431.12
"88._at#1.inner",16842.798,442.54496,38.058953,0,15975.426,17710.17
"89._at#0.inner",260348.06,134601.49,1.9342139,.05308684,-3466.0059,524162.13
"89._at#1.inner",16991.95,444.42977,38.233151,0,16120.884,17863.017
"90._at#0.inner",269031.66,141098.92,1.9066884,.05656096,-7517.1338,545580.45
"90._at#1.inner",17098.743,444.24559,38.489393,0,16228.038,17969.448
"91._at#0.inner",278018.36,147797.99,1.88107,.0599624,-11660.375,567697.09
"91._at#1.inner",17159.032,443.71836,38.670998,0,16289.36,18028.704
"92._at#0.inner",287313.25,154701.72,1.8572079,.06328159,-15896.547,590523.04
"92._at#1.inner",17168.673,445.71324,38.519549,0,16295.091,18042.255
"93._at#0.inner",296921.42,161813.12,1.8349651,.06651087,-20226.466,614069.31
"93._at#1.inner",17123.524,454.36898,37.686383,0,16232.977,18014.07
"94._at#0.inner",306847.97,169135.21,1.814217,.06964433,-24650.952,638346.89
"94._at#1.inner",17019.44,474.85468,35.841365,2.51e-281,16088.742,17950.138
"95._at#0.inner",317097.99,176671.01,1.7948502,.07267757,-29170.821,663366.79
"95._at#1.inner",16852.278,512.53617,32.880173,4.22e-237,15847.726,17856.831
"96._at#0.inner",327676.56,184423.52,1.7767613,.07560753,-33786.893,689140.01
"96._at#1.inner",16617.895,571.79741,29.062557,1.07e-185,15497.193,17738.597
"97._at#0.inner",338588.79,192395.76,1.7598557,.07843227,-38499.985,715677.56
"97._at#1.inner",16312.147,655.26882,24.893824,8.68e-137,15027.843,17596.45
"98._at#0.inner",349839.75,200590.76,1.7440472,.08115086,-43310.917,742990.42
"98._at#1.inner",15930.89,763.93976,20.853594,1.414e-96,14433.596,17428.184
"99._at#0.inner",361434.55,209011.52,1.7292566,.08376319,-48220.508,771089.61
"99._at#1.inner",15469.981,897.82936,17.230425,1.570e-66,13710.268,17229.694
"100._at#0.inner",373378.27,217661.07,1.7154114,.08626983,-53229.578,799986.12
"100._at#1.inner",14925.277,1056.634,14.125304,2.653e-45,12854.312,16996.241
