parm,estimate,stderr,z,p,min95,max95
"1._at#0.inner",2841.0302,260.0006,10.927014,8.562e-28,2331.4383,3350.622
"1._at#1.inner",-71203.721,47476.328,-1.4997731,.13367318,-164255.61,21848.172
"2._at#0.inner",2923.0347,217.63534,13.430882,3.986e-41,2496.4772,3349.5921
"2._at#1.inner",-68183.56,45561.755,-1.4965086,.13452116,-157482.96,21115.838
"3._at#0.inner",2995.2958,182.02031,16.455833,7.617e-61,2638.5425,3352.049
"3._at#1.inner",-65234.93,43698.243,-1.4928502,.13547641,-150881.91,20412.053
"4._at#0.inner",3058.308,153.33458,19.945325,1.646e-88,2757.7778,3358.8383
"4._at#1.inner",-62356.942,41885.117,-1.4887613,.13655024,-144450.26,19736.38
"5._at#0.inner",3112.5661,131.71517,23.631038,1.85e-123,2854.4091,3370.7231
"5._at#1.inner",-59548.708,40121.704,-1.4842019,.13775537,-138185.8,19088.386
"6._at#0.inner",3158.5645,117.01861,26.991985,1.84e-160,2929.2123,3387.9168
"6._at#1.inner",-56809.34,38407.327,-1.4791277,.1391062,-132086.32,18467.638
"7._at#0.inner",3196.7979,108.52472,29.456864,1.03e-190,2984.0934,3409.5024
"7._at#1.inner",-54137.952,36741.313,-1.4734898,.14061901,-126149.6,17873.7
"8._at#0.inner",3227.7609,104.85795,30.782222,4.53e-208,3022.243,3433.2787
"8._at#1.inner",-51533.654,35122.988,-1.4672343,.14231232,-120373.45,17306.138
"9._at#0.inner",3251.948,104.3052,31.177237,2.17e-213,3047.5135,3456.3824
"9._at#1.inner",-48995.559,33551.677,-1.4603013,.14420728,-114755.64,16764.52
"10._at#0.inner",3269.8538,105.28375,31.057537,9.03e-212,3063.5015,3476.2062
"10._at#1.inner",-46522.779,32026.706,-1.4526245,.14632803,-109293.97,16248.411
"11._at#0.inner",3281.973,106.61377,30.783764,4.32e-208,3073.0139,3490.9322
"11._at#1.inner",-44114.427,30547.401,-1.4441303,.14870233,-103986.23,15757.379
"12._at#0.inner",3288.8002,107.54635,30.580305,2.24e-205,3078.0132,3499.5872
"12._at#1.inner",-41769.615,29113.088,-1.4347367,.15136215,-98830.219,15290.99
