parm,estimate,stderr,z,p,min95,max95
"1._at#0.inner",7796.9072,191.83052,40.64477,0,7420.9263,8172.8881
"1._at#1.inner",12742.1,16363.727,.77867955,.4361685,-19330.216,44814.416
"2._at#0.inner",7749.8168,163.86103,47.295058,0,7428.6551,8070.9785
"2._at#1.inner",12491.113,15697.447,.7957417,.42618218,-18275.318,43257.544
"3._at#0.inner",7706.0708,140.93818,54.676955,0,7429.837,7982.3045
"3._at#1.inner",12243.352,15049.077,.81356167,.4158961,-17252.296,41739
"4._at#0.inner",7665.2616,123.08772,62.274785,0,7424.0141,7906.5091
"4._at#1.inner",11998.814,14418.379,.83218884,.40530236,-16260.689,40258.318
"5._at#0.inner",7626.9821,110.17231,69.227758,0,7411.0483,7842.9158
"5._at#1.inner",11757.498,13805.116,.85167682,.39439349,-15300.033,38815.028
"6._at#0.inner",7590.8248,101.75555,74.598632,0,7391.3876,7790.262
"6._at#1.inner",11519.4,13209.051,.87208382,.38316265,-14369.865,37408.664
"7._at#0.inner",7556.3825,97.049287,77.861288,0,7366.1694,7746.5956
"7._at#1.inner",11284.518,12629.946,.89347322,.37160381,-13469.721,36038.757
"8._at#0.inner",7523.2477,95.026623,79.169894,0,7336.9989,7709.4965
"8._at#1.inner",11052.851,12067.563,.91591412,.35971194,-12599.138,34704.841
"9._at#0.inner",7491.0132,94.64269,79.150468,0,7305.517,7676.5095
"9._at#1.inner",10824.397,11521.666,.93948191,.34748337,-11757.653,33406.447
"10._at#0.inner",7459.2717,95.018996,78.502951,0,7273.0379,7645.5055
"10._at#1.inner",10599.152,10992.016,.96425908,.33491605,-10944.805,32143.108
"11._at#0.inner",7427.6157,95.517706,77.761664,0,7240.4044,7614.827
"11._at#1.inner",10377.114,10478.378,.99033595,.32200994,-10160.129,30914.357
"12._at#0.inner",7395.638,95.730606,77.254687,0,7208.0095,7583.2665
"12._at#1.inner",10158.282,9980.5127,1.0178116,.30876748,-9403.1634,29719.727
"13._at#0.inner",7362.9312,95.433935,77.152128,0,7175.8842,7549.9783
"13._at#1.inner",9942.6529,9498.1842,1.0467951,.29519408,-8673.4461,28558.752
"14._at#0.inner",7329.0881,94.541384,77.522539,0,7143.7904,7514.3858
"14._at#1.inner",9730.2246,9031.1555,1.0774064,.28129875,-7970.5148,27430.964
"15._at#0.inner",7293.7011,93.066834,78.370574,0,7111.2935,7476.1088
"15._at#1.inner",9520.9949,8579.1895,1.1097779,.26709475,-7293.9075,26335.897
"16._at#0.inner",7256.3632,91.097784,79.654662,0,7077.8148,7434.9115
"16._at#1.inner",9314.9615,8142.0497,1.1440561,.25260038,-6643.1627,25273.086
"17._at#0.inner",7216.6668,88.776739,81.290063,0,7042.6676,7390.666
"17._at#1.inner",9112.1221,7719.4995,1.1804032,.23783988,-6017.8189,24242.063
"18._at#0.inner",7174.2047,86.287108,83.143413,0,7005.085,7343.3243
"18._at#1.inner",8912.4744,7311.3024,1.2189996,.22284436,-5417.415,23242.364
"19._at#0.inner",7128.5695,83.8401,85.025774,0,6964.2459,7292.893
"19._at#1.inner",8716.0163,6917.2224,1.2600457,.20765287,-4841.4903,22273.523
"20._at#0.inner",7079.3539,81.659398,86.693682,0,6919.3044,7239.4033
"20._at#1.inner",8522.7455,6537.0233,1.3037655,.19231354,-4289.5846,21335.076
"21._at#0.inner",7026.1505,79.961158,87.869544,0,6869.4295,7182.8715
"21._at#1.inner",8332.6597,6170.4693,1.3504094,.1768847,-3761.238,20426.557
"22._at#0.inner",6968.5521,78.929134,88.288719,0,6813.8538,7123.2504
"22._at#1.inner",8145.7566,5817.3251,1.4002581,.16143604,-3255.9911,19547.504
"23._at#0.inner",6906.1513,78.688343,87.765875,0,6751.925,7060.3776
"23._at#1.inner",7962.0341,5477.3554,1.4536274,.14604963,-2773.3852,18697.453
"24._at#0.inner",6838.5407,79.284416,86.253278,0,6683.1461,6993.9353
"24._at#1.inner",7781.4898,5150.3253,1.5108735,.13082069,-2312.9623,17875.942
"25._at#0.inner",6765.3131,80.676165,83.857644,0,6607.1907,6923.4355
"25._at#1.inner",7604.1215,4836.0004,1.5723989,.11585808,-1874.265,17082.508
"26._at#0.inner",6686.061,82.744499,80.803692,0,6523.8848,6848.2373
