parm,estimate,stderr,z,p,min95,max95
"1._at#0.inner",27276.751,2572.7269,10.602272,2.908e-26,22234.299,32319.203
"1._at#1.inner",216391.82,95107.07,2.2752443,.02289128,29985.39,402798.25
"2._at#0.inner",29649.259,2273.7461,13.039828,7.262e-39,25192.798,34105.719
"2._at#1.inner",207993.05,91387.921,2.2759359,.02284985,28876.017,387110.08
"3._at#0.inner",31832.169,2019.1854,15.764857,5.430e-56,27874.639,35789.7
"3._at#1.inner",199811.72,87765.495,2.2766546,.02280686,27794.508,371828.92
"4._at#0.inner",33833.475,1808.0326,18.712868,3.889e-78,30289.796,37377.153
"4._at#1.inner",191845.02,84238.537,2.2774021,.02276223,26740.522,356949.52
"5._at#0.inner",35661.168,1638.3983,21.765872,4.89e-105,32449.966,38872.369
"5._at#1.inner",184090.17,80805.794,2.2781803,.02271584,25713.719,342466.61
"6._at#0.inner",37323.24,1507.1159,24.764677,2.15e-135,34369.347,40277.133
"6._at#1.inner",176544.35,77466.011,2.2789911,.02266759,24713.76,328374.94
"7._at#0.inner",38827.684,1409.5352,27.546445,4.88e-167,36065.046,41590.322
"7._at#1.inner",169204.78,74217.936,2.2798368,.02261737,23740.304,314669.26
"8._at#0.inner",40182.492,1339.6989,29.993675,1.19e-197,37556.731,42808.254
"8._at#1.inner",162068.66,71060.313,2.2807198,.02256503,22793.01,301344.32
"9._at#0.inner",41395.657,1290.9191,32.066809,1.28e-225,38865.502,43925.812
"9._at#1.inner",155133.19,67991.889,2.2816426,.02251045,21871.539,288394.84
"10._at#0.inner",42475.17,1256.5442,33.803164,1.77e-250,40012.388,44937.951
"10._at#1.inner",148395.57,65011.41,2.2826081,.02245346,20975.55,275815.59
"11._at#0.inner",43429.024,1230.6259,35.290192,8.30e-273,41017.041,45841.006
"11._at#1.inner",141853.01,62117.623,2.2836194,.02239391,20104.703,263601.31
"12._at#0.inner",44265.211,1208.3118,36.63393,8.25e-294,41896.963,46633.458
"12._at#1.inner",135502.7,59309.274,2.2846798,.02233161,19258.656,251746.74
"13._at#0.inner",44991.723,1185.9589,37.937002,0,42667.286,47316.16
"13._at#1.inner",129341.85,56585.109,2.285793,.02226637,18437.07,240246.62
"14._at#0.inner",45616.553,1161.0604,39.288698,0,43340.916,47892.19
"14._at#1.inner",123367.65,53943.875,2.2869632,.02219797,17639.602,229095.71
"15._at#0.inner",46147.693,1132.0906,40.763252,0,43928.836,48366.55
"15._at#1.inner",117577.33,51384.319,2.2881947,.02212618,16865.912,218288.74
"16._at#0.inner",46593.135,1098.3348,42.421615,0,44440.438,48745.832
"16._at#1.inner",111968.06,48905.187,2.2894926,.02205075,16115.659,207820.47
"17._at#0.inner",46960.871,1059.7438,44.313418,0,44883.812,49037.931
"17._at#1.inner",106537.07,46505.226,2.2908623,.02197138,15388.5,197685.64
"18._at#0.inner",47258.895,1016.8222,46.47705,0,45265.96,49251.829
"18._at#1.inner",101281.54,44183.183,2.2923098,.02188778,14684.094,187878.99
"19._at#0.inner",47495.197,970.55182,48.936281,0,45592.95,49397.443
"19._at#1.inner",96198.688,41937.806,2.2938417,.02179959,14002.099,178395.28
"20._at#0.inner",47677.77,922.34467,51.691924,0,45870.008,49485.532
"20._at#1.inner",91285.709,39767.841,2.2954655,.02170646,13342.172,169229.24
"21._at#0.inner",47814.607,874.01116,54.70709,0,46101.577,49527.637
"21._at#1.inner",86539.805,37672.036,2.2971895,.02160796,12703.971,160375.64
"22._at#0.inner",47913.7,827.72496,57.886015,0,46291.388,49536.011
"22._at#1.inner",81958.18,35649.139,2.2990227,.02150365,12087.151,151829.21
"23._at#0.inner",47983.04,785.95078,61.050948,0,46442.605,49523.475
"23._at#1.inner",77538.036,33697.897,2.3009755,.02139302,11491.371,143584.7
"24._at#0.inner",48030.621,751.29011,63.930857,0,46558.119,49503.123
"24._at#1.inner",73276.575,31817.059,2.3030593,.02127551,10916.284,135636.87
"25._at#0.inner",48064.434,726.20216,66.186025,0,46641.104,49487.764
"25._at#1.inner",69170.999,30005.374,2.305287,.0211505,10361.547,127980.45
"26._at#0.inner",48092.472,712.60328,67.488425,0,46695.796,49489.149
"26._at#1.inner",65218.511,28261.589,2.3076732,.02101732,9826.8147,120610.21
"27._at#0.inner",48122.728,711.44341,67.640977,0,46728.324,49517.131
"27._at#1.inner",61416.313,26584.454,2.3102341,.0208752,9311.74,113520.89
"28._at#0.inner",48163.192,722.44202,66.667208,0,46747.232,49579.153
"28._at#1.inner",57761.606,24972.719,2.3129883,.02072328,8815.9762,106707.24
